count,crashYear,crashSeverity
289,2015,Fatal Crash
7656,2015,Minor Crash
22327,2015,Non-Injury Crash
1832,2015,Serious Crash
285,2016,Fatal Crash
7772,2016,Minor Crash
27064,2016,Non-Injury Crash
2129,2016,Serious Crash
341,2017,Fatal Crash
8494,2017,Minor Crash
28070,2017,Non-Injury Crash
2409,2017,Serious Crash
332,2018,Fatal Crash
9223,2018,Minor Crash
26786,2018,Non-Injury Crash
2129,2018,Serious Crash
296,2019,Fatal Crash
9308,2019,Minor Crash
25170,2019,Non-Injury Crash
2157,2019,Serious Crash
292,2020,Fatal Crash
8172,2020,Minor Crash
22489,2020,Non-Injury Crash
1867,2020,Serious Crash
287,2021,Fatal Crash
8505,2021,Minor Crash
23369,2021,Non-Injury Crash
1995,2021,Serious Crash
334,2022,Fatal Crash
8536,2022,Minor Crash
20280,2022,Non-Injury Crash
2102,2022,Serious Crash
305,2023,Fatal Crash
8571,2023,Minor Crash
20549,2023,Non-Injury Crash
2086,2023,Serious Crash
249,2024,Fatal Crash
8306,2024,Minor Crash
18689,2024,Non-Injury Crash
2090,2024,Serious Crash
259,2025,Fatal Crash
8222,2025,Minor Crash
18475,2025,Non-Injury Crash
2061,2025,Serious Crash
154,2026,Fatal Crash
4486,2026,Minor Crash
8817,2026,Non-Injury Crash
1116,2026,Serious Crash
