year,target_code,target_label,count,pct,year_total
2022,0,Minor,8536,0.7779803135253373,10972
2022,1,Serious,2102,0.19157856361647832,10972
2022,2,Fatal,334,0.03044112285818447,10972
2023,0,Minor,8571,0.7818828680897646,10962
2023,1,Serious,2086,0.19029374201787994,10962
2023,2,Fatal,305,0.02782338989235541,10962
2024,0,Minor,8306,0.7802724283701268,10645
2024,1,Serious,2090,0.19633630812588068,10645
2024,2,Fatal,249,0.023391263503992486,10645
2025,0,Minor,8222,0.7799279074179473,10542
2025,1,Serious,2061,0.19550369948776322,10542
2025,2,Fatal,259,0.024568393094289508,10542
