protocol,seed,feature,feature_type,training_levels,validation_unseen_count,training_missing_count,validation_missing_count,training_fitted_imputation_value,missing_indicator_fitted
temporal,year_based,feature_advisory_speed,numeric,,,20720,10094,55.0,True
temporal,year_based,feature_speed_limit,numeric,,,350,187,50.0,True
temporal,year_based,feature_temporary_speed_limit,numeric,,,21164,10278,40.0,True
temporal,year_based,feature_number_of_lanes,categorical,10,0,0,0,,
temporal,year_based,feature_state_highway,categorical,4,0,0,0,,
temporal,year_based,feature_terrain,categorical,3,0,0,0,,
temporal,year_based,feature_light,categorical,5,0,0,0,,
temporal,year_based,feature_road_character,categorical,9,0,0,0,,
temporal,year_based,feature_road_lane,categorical,4,0,0,0,,
temporal,year_based,feature_road_surface,categorical,4,0,0,0,,
temporal,year_based,feature_street_light,categorical,4,0,0,0,,
temporal,year_based,feature_traffic_control,categorical,8,0,0,0,,
temporal,year_based,feature_urban,categorical,2,0,0,0,,
temporal,year_based,feature_weather_primary,categorical,7,0,0,0,,
temporal,year_based,feature_weather_secondary,categorical,4,0,0,0,,
random_reference,1103,feature_advisory_speed,numeric,,,21560,4611,55.0,True
random_reference,1103,feature_speed_limit,numeric,,,379,83,50.0,True
random_reference,1103,feature_temporary_speed_limit,numeric,,,22011,4706,40.0,True
random_reference,1103,feature_number_of_lanes,categorical,10,0,0,0,,
random_reference,1103,feature_state_highway,categorical,4,0,0,0,,
random_reference,1103,feature_terrain,categorical,3,0,0,0,,
random_reference,1103,feature_light,categorical,5,0,0,0,,
random_reference,1103,feature_road_character,categorical,9,0,0,0,,
random_reference,1103,feature_road_lane,categorical,4,0,0,0,,
random_reference,1103,feature_road_surface,categorical,4,0,0,0,,
random_reference,1103,feature_street_light,categorical,4,0,0,0,,
random_reference,1103,feature_traffic_control,categorical,8,0,0,0,,
random_reference,1103,feature_urban,categorical,2,0,0,0,,
random_reference,1103,feature_weather_primary,categorical,7,0,0,0,,
random_reference,1103,feature_weather_secondary,categorical,4,0,0,0,,
random_reference,2207,feature_advisory_speed,numeric,,,21560,4623,55.0,True
random_reference,2207,feature_speed_limit,numeric,,,351,91,50.0,True
random_reference,2207,feature_temporary_speed_limit,numeric,,,22010,4720,30.0,True
random_reference,2207,feature_number_of_lanes,categorical,10,0,0,0,,
random_reference,2207,feature_state_highway,categorical,4,0,0,0,,
random_reference,2207,feature_terrain,categorical,3,0,0,0,,
random_reference,2207,feature_light,categorical,5,0,0,0,,
random_reference,2207,feature_road_character,categorical,9,0,0,0,,
random_reference,2207,feature_road_lane,categorical,4,0,0,0,,
random_reference,2207,feature_road_surface,categorical,4,0,0,0,,
random_reference,2207,feature_street_light,categorical,4,0,0,0,,
random_reference,2207,feature_traffic_control,categorical,8,0,0,0,,
random_reference,2207,feature_urban,categorical,2,0,0,0,,
random_reference,2207,feature_weather_primary,categorical,7,0,0,0,,
random_reference,2207,feature_weather_secondary,categorical,4,0,0,0,,
random_reference,3301,feature_advisory_speed,numeric,,,21560,4617,55.0,True
random_reference,3301,feature_speed_limit,numeric,,,392,72,50.0,True
random_reference,3301,feature_temporary_speed_limit,numeric,,,22003,4743,30.0,True
random_reference,3301,feature_number_of_lanes,categorical,10,0,0,0,,
random_reference,3301,feature_state_highway,categorical,4,0,0,0,,
random_reference,3301,feature_terrain,categorical,3,0,0,0,,
random_reference,3301,feature_light,categorical,5,0,0,0,,
random_reference,3301,feature_road_character,categorical,9,0,0,0,,
random_reference,3301,feature_road_lane,categorical,4,0,0,0,,
random_reference,3301,feature_road_surface,categorical,4,0,0,0,,
random_reference,3301,feature_street_light,categorical,4,0,0,0,,
random_reference,3301,feature_traffic_control,categorical,8,0,0,0,,
random_reference,3301,feature_urban,categorical,2,0,0,0,,
random_reference,3301,feature_weather_primary,categorical,7,0,0,0,,
random_reference,3301,feature_weather_secondary,categorical,4,0,0,0,,
random_reference,4409,feature_advisory_speed,numeric,,,21546,4627,55.0,True
random_reference,4409,feature_speed_limit,numeric,,,358,94,50.0,True
random_reference,4409,feature_temporary_speed_limit,numeric,,,22036,4700,40.0,True
random_reference,4409,feature_number_of_lanes,categorical,10,0,0,0,,
random_reference,4409,feature_state_highway,categorical,4,0,0,0,,
random_reference,4409,feature_terrain,categorical,3,0,0,0,,
random_reference,4409,feature_light,categorical,5,0,0,0,,
random_reference,4409,feature_road_character,categorical,9,0,0,0,,
random_reference,4409,feature_road_lane,categorical,4,0,0,0,,
random_reference,4409,feature_road_surface,categorical,4,0,0,0,,
random_reference,4409,feature_street_light,categorical,4,0,0,0,,
random_reference,4409,feature_traffic_control,categorical,8,0,0,0,,
random_reference,4409,feature_urban,categorical,2,0,0,0,,
random_reference,4409,feature_weather_primary,categorical,7,0,0,0,,
random_reference,4409,feature_weather_secondary,categorical,4,0,0,0,,
random_reference,5501,feature_advisory_speed,numeric,,,21525,4660,55.0,True
random_reference,5501,feature_speed_limit,numeric,,,365,102,50.0,True
random_reference,5501,feature_temporary_speed_limit,numeric,,,22000,4719,40.0,True
random_reference,5501,feature_number_of_lanes,categorical,10,0,0,0,,
random_reference,5501,feature_state_highway,categorical,4,0,0,0,,
random_reference,5501,feature_terrain,categorical,3,0,0,0,,
random_reference,5501,feature_light,categorical,5,0,0,0,,
random_reference,5501,feature_road_character,categorical,9,0,0,0,,
random_reference,5501,feature_road_lane,categorical,4,0,0,0,,
random_reference,5501,feature_road_surface,categorical,4,0,0,0,,
random_reference,5501,feature_street_light,categorical,4,0,0,0,,
random_reference,5501,feature_traffic_control,categorical,8,0,0,0,,
random_reference,5501,feature_urban,categorical,2,0,0,0,,
random_reference,5501,feature_weather_primary,categorical,7,0,0,0,,
random_reference,5501,feature_weather_secondary,categorical,4,0,0,0,,
