year,field_name,observed_value,count,pct
2022,advisorySpeed,__MISSING__,10374,0.9454976303317536
2022,advisorySpeed,45.0,130,0.011848341232227487
2022,advisorySpeed,55.0,114,0.010390083849799489
2022,advisorySpeed,65.0,101,0.00920524972657674
2022,advisorySpeed,35.0,95,0.008658403208166241
2022,advisorySpeed,75.0,84,0.007655851257746992
2022,advisorySpeed,25.0,30,0.0027342325920524974
2022,advisorySpeed,85.0,29,0.002643091505650747
2022,advisorySpeed,95.0,11,0.001002551950419249
2022,advisorySpeed,15.0,4,0.0003645643456069996
2022,speedLimit,50.0,5239,0.4774881516587678
2022,speedLimit,100.0,3458,0.31516587677725116
2022,speedLimit,80.0,935,0.08521691578563617
2022,speedLimit,60.0,551,0.0502187386073642
2022,speedLimit,70.0,246,0.022420707254830478
2022,speedLimit,__MISSING__,191,0.017407947502734233
2022,speedLimit,30.0,177,0.016131972293109732
2022,speedLimit,40.0,88,0.008020415603353991
2022,speedLimit,10.0,33,0.003007655851257747
2022,speedLimit,110.0,21,0.001913962814436748
2022,speedLimit,90.0,17,0.0015493984688297485
2022,speedLimit,20.0,16,0.0014582573824279985
2022,temporarySpeedLimit,__MISSING__,10633,0.9691031717098068
2022,temporarySpeedLimit,30.0,141,0.012850893182646737
2022,temporarySpeedLimit,50.0,81,0.007382427998541743
2022,temporarySpeedLimit,40.0,42,0.003827925628873496
2022,temporarySpeedLimit,70.0,29,0.002643091505650747
2022,temporarySpeedLimit,80.0,16,0.0014582573824279985
2022,temporarySpeedLimit,60.0,11,0.001002551950419249
2022,temporarySpeedLimit,90.0,8,0.0007291286912139992
2022,temporarySpeedLimit,20.0,6,0.0005468465184104995
2022,temporarySpeedLimit,10.0,5,0.00045570543200874956
2022,NumberOfLanes,2.0,8683,0.7913780532263944
2022,NumberOfLanes,4.0,799,0.07282172803499817
2022,NumberOfLanes,3.0,640,0.058330295297119944
2022,NumberOfLanes,1.0,370,0.03372220196864747
2022,NumberOfLanes,__MISSING__,208,0.018957345971563982
2022,NumberOfLanes,5.0,140,0.012759752096244987
2022,NumberOfLanes,6.0,65,0.005924170616113744
2022,NumberOfLanes,0.0,57,0.0051950419248997445
2022,NumberOfLanes,8.0,8,0.0007291286912139992
2022,NumberOfLanes,7.0,2,0.0001822821728034998
2022,crashSHDescription,No,7694,0.7012395187750639
2022,crashSHDescription,Yes,3276,0.2985781990521327
2022,crashSHDescription,Unknown,2,0.0001822821728034998
2022,flatHill,Flat,8642,0.7876412686839227
2022,flatHill,Hill Road,2327,0.21208530805687204
2022,flatHill,Null,3,0.0002734232592052497
2022,light,Bright sun,3925,0.3577287641268684
2022,light,Overcast,3256,0.2967553773240977
2022,light,Dark,3249,0.2961173897192855
2022,light,Twilight,541,0.0493073277433467
2022,light,Unknown,1,9.11410864017499e-05
2022,roadCharacter,Nil,10343,0.9426722566532993
2022,roadCharacter,Bridge,281,0.025610645278891724
2022,roadCharacter,Motorway ramp,173,0.015767407947502733
2022,roadCharacter,Speed hump,54,0.004921618665694495
2022,roadCharacter,Overpass,50,0.004557054320087495
2022,roadCharacter,Rail xing,37,0.0033722201968647467
2022,roadCharacter,Underpass,25,0.0022785271600437476
2022,roadCharacter,Tunnel,9,0.0008202697776157491
2022,roadLane,2-way,9508,0.8665694495078381
2022,roadLane,1-way,1209,0.11018957345971564
2022,roadLane,Off road,250,0.022785271600437477
2022,roadLane,Null,5,0.00045570543200874956
2022,roadSurface,Sealed,10640,0.969741159314619
2022,roadSurface,Unsealed,319,0.029074006562158222
2022,roadSurface,End of seal,11,0.001002551950419249
2022,roadSurface,Null,2,0.0001822821728034998
2022,streetLight,Off,4832,0.44039372949325556
2022,streetLight,None,3673,0.33476121035362744
2022,streetLight,On,2346,0.2138169886985053
2022,streetLight,Null,121,0.01102807145461174
2022,trafficControl,Nil,7002,0.6381698869850528
2022,trafficControl,Give way,1931,0.17599343784177907
2022,trafficControl,Traffic Signals,844,0.07692307692307693
2022,trafficControl,Stop,758,0.06908494349252643
2022,trafficControl,Unknown,405,0.03691213999270871
2022,trafficControl,Isolated Pedestrian signal (non-intersection),22,0.002005103900838498
2022,trafficControl,Pointsman,9,0.0008202697776157491
2022,trafficControl,School Patrol/warden,1,9.11410864017499e-05
2022,urban,Urban,6541,0.5961538461538461
2022,urban,Open,4431,0.40384615384615385
2022,weatherA,Fine,8752,0.7976667881881152
2022,weatherA,Light rain,1646,0.15001822821728036
2022,weatherA,Heavy rain,378,0.034451330659861466
2022,weatherA,Mist or Fog,180,0.016405395552314985
2022,weatherA,Snow,9,0.0008202697776157491
2022,weatherA,Hail or Sleet,5,0.00045570543200874956
2022,weatherA,Null,2,0.0001822821728034998
2022,weatherB,Null,10502,0.9571636893911776
2022,weatherB,Strong wind,303,0.027615749179730222
2022,weatherB,Frost,150,0.013671162960262486
2022,weatherB,None,17,0.0015493984688297485
2022,holiday,__MISSING__,10237,0.9330113014947138
2022,holiday,Christmas New Year,384,0.034998177178271965
