year,field_name,non_missing_count,minimum,maximum,unique_values
2022,advisorySpeed,598,15.0,95.0,15.0|25.0|35.0|45.0|55.0|65.0|75.0|85.0|95.0
2022,speedLimit,10781,10.0,110.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0|110.0
2022,temporarySpeedLimit,339,10.0,90.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0
2022,NumberOfLanes,10764,0.0,8.0,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0
2023,advisorySpeed,616,15.0,95.0,15.0|25.0|30.0|35.0|45.0|55.0|65.0|75.0|85.0|95.0
2023,speedLimit,10803,5.0,110.0,5.0|10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0|110.0
2023,temporarySpeedLimit,431,10.0,90.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0
2023,NumberOfLanes,10791,0.0,8.0,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0
2024,advisorySpeed,551,15.0,95.0,15.0|25.0|35.0|45.0|55.0|65.0|75.0|85.0|95.0
2024,speedLimit,10458,5.0,110.0,5.0|10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0|110.0
2024,temporarySpeedLimit,367,10.0,90.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0
2024,NumberOfLanes,10477,0.0,8.0,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0
2025,advisorySpeed,555,15.0,95.0,15.0|25.0|35.0|45.0|55.0|65.0|75.0|85.0|95.0
2025,speedLimit,10381,10.0,110.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0|110.0
2025,temporarySpeedLimit,357,10.0,90.0,10.0|20.0|30.0|40.0|50.0|60.0|70.0|80.0|90.0
2025,NumberOfLanes,10394,0.0,8.0,0.0|1.0|2.0|3.0|4.0|5.0|6.0|7.0|8.0
