field_name,left_year,right_year,total_variation,max_shift_category,max_absolute_pct_point_shift
trafficControl,2022,2024,0.049398965418100856,Nil,0.044404091408559165
light,2023,2025,0.04932795728234661,Bright sun,0.0485545502718191
weatherA,2023,2024,0.03409846852129939,Fine,0.0321596215767026
streetLight,2023,2024,0.029312388695942597,On,0.029312388695942576
flatHill,2023,2025,0.01841021246159315,Flat,0.018410212461593134
NumberOfLanes,2023,2025,0.01702222309448577,2.0,0.01525807007329194
urban,2022,2023,0.01586950724881761,Urban,0.015869507248817638
roadLane,2023,2024,0.01190772272873308,2-way,0.011907722728733083
weatherB,2023,2024,0.008340045534130465,Strong wind,0.006846281989217804
crashSHDescription,2022,2023,0.005930871922046905,Yes,0.005930871922046943
roadCharacter,2023,2025,0.005031143443013213,Nil,0.0031317895722347
roadSurface,2023,2025,0.003549385744742259,Sealed,0.003399647169395781
