field_name,split,train_category_count,split_category_count,unseen_categories,unseen_row_count,unseen_row_pct
NumberOfLanes,validation_2024,10,10,,0,0.0
NumberOfLanes,test_2025,10,10,,0,0.0
crashSHDescription,validation_2024,4,3,,0,0.0
crashSHDescription,test_2025,4,3,,0,0.0
flatHill,validation_2024,3,3,,0,0.0
flatHill,test_2025,3,3,,0,0.0
light,validation_2024,5,5,,0,0.0
light,test_2025,5,5,,0,0.0
roadCharacter,validation_2024,9,9,,0,0.0
roadCharacter,test_2025,9,9,,0,0.0
roadLane,validation_2024,4,4,,0,0.0
roadLane,test_2025,4,4,,0,0.0
roadSurface,validation_2024,4,4,,0,0.0
roadSurface,test_2025,4,4,,0,0.0
streetLight,validation_2024,4,4,,0,0.0
streetLight,test_2025,4,4,,0,0.0
trafficControl,validation_2024,8,8,,0,0.0
trafficControl,test_2025,8,7,,0,0.0
urban,validation_2024,2,2,,0,0.0
urban,test_2025,2,2,,0,0.0
weatherA,validation_2024,7,7,,0,0.0
weatherA,test_2025,7,7,,0,0.0
weatherB,validation_2024,4,4,,0,0.0
weatherB,test_2025,4,4,,0,0.0
