field_name,alias,description,changed_2019_12_17
advisorySpeed,Advisory Speed,The advisory (adv) speed (spd) at the crash site at the time of the crash.,False
areaUnitID,Area Unit ID,The unique identifier of an area unit.,False
bicycle,Bicycle,Derived variable to indicate how many bicycles were involved in the crash.,False
bridge,Bridge,"Derived variable to indicate how many times a bridge, tunnel, the abutments, handrails were struck in the crash.",False
bus,Bus,Derived variable to indicate how many buses were involved in the crash (excluding school buses which are counted in the SCHOOL_BUS field).,False
carStationWagon,Car/Station Wagon,Derived variable to indicate how many cars or station wagons were involved in the crash.,False
cliffBank,Cliff or Bank,Derived variable to indicate how many times a 'cliff' or 'bank' was struck in the crash. This includes retaining walls,False
crashDirectionDescription,Crash Direction Description,"The direction (dirn) of the crash from the reference point. Values possible are 'North', 'East', 'South' or 'West'.",False
crashDistance,Crash Distance,The distance (dist) of the crash from the reference point for the crash. The reference point is often the intersection of 'crash road' and 'side road' (refer to 'cr_rd_sd_rd' variable).,False
crashFinancialYear,Crash Financial Year,"The financial (fin) year in which a crash occurred, if known. This is displayed as a string field. eg 2004/2005",False
crashLocation1,Crash Location 1,"Part 1 of the 'crash location' (crash_locn). May be a road name, route position (RP), landmark, or other, e.g. 'Ninety Mile Beach'. Used for location descriptions in reports etc.",False
crashLocation2,Crash Location 2,"Part 2 of the 'crash location' (crash_locn). May be a side road name, landmark etc. Used for location descriptions in reports etc.",False
crashSeverity,Crash Severity,"The severity of a crash. Possible values are 'F' (fatal), 'S' (serious), 'M' (minor), 'N' (non-injury). This is determined by the worst injury sustained in the crash at time of entry.",False
crashSHDescription,Crash SH Description,"Indicates where a crash is reported to have occurred on a State Highway (SH) marked ‘1’, or on another road type marked ‘2’.",True
crashYear,Crash Year,"The year in which a crash occurred, if known.",False
debris,Debris,"Derived variable to indicate how many times debris, boulders or items dropped or thrown from a vehicle(s) were struck in the crash",False
directionRoleDescription,Direction Role Description,"The direction (dirn) of the principal vehicle involved in the crash. Possible values are North, South, East or West.",False
ditch,Ditch,Derived variable to indicate how many times a 'ditch' or 'waterable drainage channel' was struck in a crash.,False
easting,Easting,"The easting coordinate of an object (usually a crash) expressed in NZMG referred to the WGS84 datum to a precision of 1m. Please note, in some instances crashes are not able to be assigned to GPS co-ordinates. These crashes have been assigned eastings and northings of ‘0,0’ in this dataset. There are two main reasons that a GPS coordinate cannot be allocated to a crash. Firstly, that the crash has been reported but the location was unknown. Secondly in a small number of instances, a crash may have occurred on a road which is not yet captured on the CAS spatial layer.",False
fatalCount,Fatal Count,A count of the number of fatal casualties associated with this crash.,False
fence,Fence,"Derived variable to indicate how many times a 'fence' was struck in the crash. This includes letterbox(es), hoardings, private roadside furniture, hedges, sight rails, etc.",False
flatHill,Flat Hill,Whether the road is flat or sloped. Possible values include 'Flat or 'Hill'.,False
guardRail,Guard Rail,"Derived variable to indicate how many times a guard or guard rail was struck in the crash. This includes 'New Jersey' barriers, 'ARMCO', sand filled barriers, wire catch fences, etc.",False
holiday,Holiday,"Indicates where a crash occurred during a 'Christmas/New Year', 'Easter', 'Queens Birthday' or 'Labour Weekend' holiday period, otherwise 'None'.",False
houseOrBuilding,House or Building,"Derived variable to indicate how many times a houses, garages, sheds or other buildings(Bldg) were struck in the crash",False
intersectionMidblock,Intersection Midblock,"A derived variable to indicate if a crash occured at an intersection (intsn) or not. The 'intsn_midblock' variable is calculated using the 'intersection' and 'junction_type' variables. Values are 'Intersection' (where intersection variable = 'Intersection' or {'Intersection' = 'At Landmark' and junction_type is not in ('Unknown' or 'Driveway')} OR {Intersection = 'Unknown' and crash_dist <= 10}), otherwise 'Midblock' for crashes not meeting the criteria for 'Intersection').",False
kerb,Kerb,"Derived variable to indicate how many times a kerb was struck in the crash, that contributed directly to the crash.",False
light,Light,"The light at the time and place of the crash. Possible values: 'Bright Sun', 'Overcast', 'Twilight, 'Dark' or ' Unknown'.",False
meshblockId,Meshblock ID,The unique identifier of a meshblock.,False
minorInjuryCount,Minor Injury Count,A count of the number of minor injuries (inj) associated with this crash.,False
moped,Moped,Derived variable to indicate how many mopeds were involved in the crash.,False
motorcycle,Motorcycle,Derived variable to indicate how many motorcycles were involved in the crash.,False
northing,Northing,"The northing coordinate of an object (usually a crash) expressed in NZMG referred to the WGS84 datum to a precision of 1m. Please note, in some instances crashes are not able to be assigned to GPS co-ordinates. These crashes have been assigned eastings and northings of ‘0,0’ in this dataset. There are two main reasons that a GPS coordinate cannot be allocated to a crash. Firstly, that the crash has been reported but the location was unknown. Secondly in a small number of instances, a crash may have occurred on a road which is not yet captured on the CAS spatial layer.",False
NumberOfLanes,Number of Lanes,The number(num) of lanes on the crash road.,False
objectThrownOrDropped,Object thrown or dropped,Derived variable to indicate how many times objects were thrown at or dropped on vehicles in the crash.,False
otherObject,Other Object,"Derived variable to indicate how many times an object was struck in a crash and the object struck was not pre-defined. This variable includes stockpiled materials, rubbish bins, fallen poles, fallen trees, etc.",False
otherVehicleType,Other Vehicle Type,Derived variable to indicate how many other vehicles (not included in any other category) were involved in the crash.,False
overBank,Over Bank,Derived variable to indicate how many times an embankment was struck or driven over during a crash. This variable includes other vertical drops driven over during a crash.,False
parkedVehicle,Parked Vehicle,Derived variable to indicate how many times a parked or unattended vehicle was struck in the crash. This variable can include trailers.,False
phoneBoxEtc,Phone Box etc.,"Derived variable to indicate how many times a telephone kiosk traffic signal controllers, bus shelters or other public furniture was struck in the crash",False
pedestrian,Pedestrian,"Derived variable to indicate how many pedestrians were involved in the crash. This includes pedestrians on skateboards, scooters and wheelchairs.",False
postOrPole,Post or Pole,"Derived variable to indicate how many times a post or pole was struck in the crash. This includes light, power, phone, utility poles and objects practically forming part of a pole (i.e. 'Transformer Guy' wires)",False
region,Region,Identifies the local government (LG) region. The boundaries match territorial local authority (TLA) boundaries,False
roadCharacter,Road Character,"The general nature of the road. Possible values include 'Bridge', 'Motorway Ramp', ‘Rail crossing’ or 'Nil'.",True
roadLane,Road Lane,"The lane configuration of the road. Possible values : '1' (one way), '2' (two way), 'M' (for where a median exists), 'O' (for off-road lane configuations), ' ' ( for unknown or invalid configuarations).",False
roadMarkings,Road Markings,"The road markings at the crash site. Possible values: 'Ped Crossing' (for pedestrian crossings), 'Raised Island', 'Painted Island', 'No Passing Lanes', 'Centre Line', 'No Marks' or ' Unknown'.",False
roadSurface,Road Surface,The road surface description applying at the crash site. Possible values: 'Sealed' or 'Unsealed'.,False
roadworks,Road works,"Derived variable to indicate how many times an object associated with 'roadworks' (including signs, cones, drums, barriers, but not roadwork vehicles) was struck during the crash",False
schoolBus,School Bus,Derived variable to indicate how many school buses were involved in the crash.,False
