evaluation_group,model,source_split,role_column,role_value,rows,years,prediction_file,prediction_sha256,model_protocol_sha256,preprocessing_refit,threshold_tuning
temporal_2025,dummy_most_frequent,temporal,temporal_role,test,10542,2025,results/cas_evaluation/predictions/temporal_2025__dummy_most_frequent.csv.gz,40f9d4ee6a055dabce5fd461cab30f08fe08ea323f52dc3791277659cf143038,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
temporal_2025,logistic_weighted,temporal,temporal_role,test,10542,2025,results/cas_evaluation/predictions/temporal_2025__logistic_weighted.csv.gz,f83a89cc4b0ccbf6c89f63ef7498c6646cc42d7bb37e0789d47c0f9236fdd773,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
temporal_2025,lightgbm_weighted,temporal,temporal_role,test,10542,2025,results/cas_evaluation/predictions/temporal_2025__lightgbm_weighted.csv.gz,b6afbf95f8aea77ff1fcd78fdc77308435a2d7874644eb8a2fad08af9c2c231a,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_1103_internal_test,dummy_most_frequent,random_seed_1103,random_role_seed_1103,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_1103_internal_test__dummy_most_frequent.csv.gz,ff420ea5a473923904b1b15a70ca9ddcb8d9cdc6555e21f60a1800f546e882c1,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_1103_internal_test,logistic_weighted,random_seed_1103,random_role_seed_1103,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_1103_internal_test__logistic_weighted.csv.gz,52bbcd936d548ee8581cabc41959f95ac01cada2e3c930ec6705bb8f85602080,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_1103_internal_test,lightgbm_weighted,random_seed_1103,random_role_seed_1103,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_1103_internal_test__lightgbm_weighted.csv.gz,7556356448745233e0eaa25d2aeddc3adbd75617391d9e91a0cae2328f548961,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_1103_2025_diagnostic,dummy_most_frequent,random_seed_1103,random_role_seed_1103,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_1103_2025_diagnostic__dummy_most_frequent.csv.gz,40f9d4ee6a055dabce5fd461cab30f08fe08ea323f52dc3791277659cf143038,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_1103_2025_diagnostic,logistic_weighted,random_seed_1103,random_role_seed_1103,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_1103_2025_diagnostic__logistic_weighted.csv.gz,9794bc1e96e8a8c5316aa37901b133bd76b51ac1ad2a008bb76f00f5f271b1ef,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_1103_2025_diagnostic,lightgbm_weighted,random_seed_1103,random_role_seed_1103,locked_temporal_test,10542,2025,results/cas_evaluation/predictions/random_seed_1103_2025_diagnostic__lightgbm_weighted.csv.gz,c63ef6640aee8cfcf104316704de5bc039d30b2fb9290f848cfa67921ed037ad,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695,False,False
random_seed_2207_internal_test,dummy_most_frequent,random_seed_2207,random_role_seed_2207,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_2207_internal_test__dummy_most_frequent.csv.gz,04cb504e2c7ae4d083e94753c8679b68f179645b354679b4a401f1436dd2041e,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
random_seed_2207_internal_test,logistic_weighted,random_seed_2207,random_role_seed_2207,test,4887,2022;2023;2024,results/cas_evaluation/predictions/random_seed_2207_internal_test__logistic_weighted.csv.gz,c67bf346d4de12ca84f3aaee99c370e051ba74e5786356455feda283a59c7117,a742946b90e270603f5f4fbaced51adc1445441b04a511be338b141c3c501bbd,False,False
