seed,explanation_cohort,selection_seed,sample_rows,target_code,target_label,target_rows,row_positions_sha256,model_sha256,preprocessing_bundle_sha256
1103,random_internal_test,all_internal_test_rows,4887,0,Minor,3812,b12f1cabeb71f52f8971f9dd762678d1af39cc13657b4e02973e299b14d84692,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
1103,random_internal_test,all_internal_test_rows,4887,1,Serious,942,b12f1cabeb71f52f8971f9dd762678d1af39cc13657b4e02973e299b14d84692,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
1103,random_internal_test,all_internal_test_rows,4887,2,Fatal,133,b12f1cabeb71f52f8971f9dd762678d1af39cc13657b4e02973e299b14d84692,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
1103,matched_2025,20262004,4887,0,Minor,3812,d3c591336443a0aff856e3c2328a1d3dc6b07360847239b124044d575e0d56a8,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
1103,matched_2025,20262004,4887,1,Serious,942,d3c591336443a0aff856e3c2328a1d3dc6b07360847239b124044d575e0d56a8,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
1103,matched_2025,20262004,4887,2,Fatal,133,d3c591336443a0aff856e3c2328a1d3dc6b07360847239b124044d575e0d56a8,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
2207,random_internal_test,all_internal_test_rows,4887,0,Minor,3812,0e699c43639ff97ef11b81f1d443e6aef71907218c796d70b114235566aa95d8,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
2207,random_internal_test,all_internal_test_rows,4887,1,Serious,942,0e699c43639ff97ef11b81f1d443e6aef71907218c796d70b114235566aa95d8,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
2207,random_internal_test,all_internal_test_rows,4887,2,Fatal,133,0e699c43639ff97ef11b81f1d443e6aef71907218c796d70b114235566aa95d8,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
2207,matched_2025,20263108,4887,0,Minor,3812,26445341eb9fdb9bff714bde809746ea41636e0864219d672292a3568982e3fa,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
2207,matched_2025,20263108,4887,1,Serious,942,26445341eb9fdb9bff714bde809746ea41636e0864219d672292a3568982e3fa,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
2207,matched_2025,20263108,4887,2,Fatal,133,26445341eb9fdb9bff714bde809746ea41636e0864219d672292a3568982e3fa,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
3301,random_internal_test,all_internal_test_rows,4887,0,Minor,3812,2f1ad2eab1dafc543968149e1235d8cb6db4ad9084f6919963447a896a04efdf,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
3301,random_internal_test,all_internal_test_rows,4887,1,Serious,942,2f1ad2eab1dafc543968149e1235d8cb6db4ad9084f6919963447a896a04efdf,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
3301,random_internal_test,all_internal_test_rows,4887,2,Fatal,133,2f1ad2eab1dafc543968149e1235d8cb6db4ad9084f6919963447a896a04efdf,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
3301,matched_2025,20264202,4887,0,Minor,3812,47d2f22cf3d329935e8ff652cdfe1c57e50182d0cec6ff4249258bd36bcf431f,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
3301,matched_2025,20264202,4887,1,Serious,942,47d2f22cf3d329935e8ff652cdfe1c57e50182d0cec6ff4249258bd36bcf431f,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
3301,matched_2025,20264202,4887,2,Fatal,133,47d2f22cf3d329935e8ff652cdfe1c57e50182d0cec6ff4249258bd36bcf431f,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
4409,random_internal_test,all_internal_test_rows,4887,0,Minor,3812,05c00f1cadc68f0495b7078a9f2e474dbf76a9e04b7aea13f72e1d79688d4be3,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
4409,random_internal_test,all_internal_test_rows,4887,1,Serious,942,05c00f1cadc68f0495b7078a9f2e474dbf76a9e04b7aea13f72e1d79688d4be3,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
4409,random_internal_test,all_internal_test_rows,4887,2,Fatal,133,05c00f1cadc68f0495b7078a9f2e474dbf76a9e04b7aea13f72e1d79688d4be3,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
4409,matched_2025,20265310,4887,0,Minor,3812,1922d0fdd2d6dbcb93c0a9838f55904c75653806b9ca5be6cbbd96422bafa85d,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
4409,matched_2025,20265310,4887,1,Serious,942,1922d0fdd2d6dbcb93c0a9838f55904c75653806b9ca5be6cbbd96422bafa85d,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
4409,matched_2025,20265310,4887,2,Fatal,133,1922d0fdd2d6dbcb93c0a9838f55904c75653806b9ca5be6cbbd96422bafa85d,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
