crashYear,crashSeverity,mapped_severity,count,pct_within_year
2022,Fatal Crash,Fatal,334,0.03044112285818447
2022,Minor Crash,Minor,8536,0.7779803135253373
2022,Serious Crash,Serious,2102,0.19157856361647832
2023,Fatal Crash,Fatal,305,0.02782338989235541
2023,Minor Crash,Minor,8571,0.7818828680897646
2023,Serious Crash,Serious,2086,0.19029374201787994
2024,Fatal Crash,Fatal,249,0.023391263503992486
2024,Minor Crash,Minor,8306,0.7802724283701268
2024,Serious Crash,Serious,2090,0.19633630812588068
2025,Fatal Crash,Fatal,259,0.024568393094289508
2025,Minor Crash,Minor,8222,0.7799279074179473
2025,Serious Crash,Serious,2061,0.19550369948776322
