field_position,field_name,alias,arcgis_type,nullable,documented_on_hub_page,official_description,changed_2019_12_17,availability_time,decision,model_handling,risk_type,rationale,audit_status
1,OBJECTID,OBJECTID,esriFieldTypeOID,False,False,,False,record_identifier_after_entry,EXCLUDE_IDENTIFIER,drop,memorization,System-maintained row identifier has no transferable meaning.,CAS_FEASIBILITY_V1
2,advisorySpeed,Advisory Speed,esriFieldTypeSmallInteger,True,True,The advisory (adv) speed (spd) at the crash site at the time of the crash.,False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,numeric,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
3,areaUnitID,Area Unit ID,esriFieldTypeInteger,True,True,The unique identifier of an area unit.,False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
4,bicycle,Bicycle,esriFieldTypeInteger,True,True,Derived variable to indicate how many bicycles were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
5,bridge,Bridge,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a bridge, tunnel, the abutments, handrails were struck in the crash.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
6,bus,Bus,esriFieldTypeInteger,True,True,Derived variable to indicate how many buses were involved in the crash (excluding school buses which are counted in the SCHOOL_BUS field).,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
7,carStationWagon,Car Station Wagon,esriFieldTypeInteger,True,True,Derived variable to indicate how many cars or station wagons were involved in the crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
8,cliffBank,Cliff Bank,esriFieldTypeInteger,True,True,Derived variable to indicate how many times a 'cliff' or 'bank' was struck in the crash. This includes retaining walls,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
9,crashDirectionDescription,Crash Direction Description,esriFieldTypeString,True,True,"The direction (dirn) of the crash from the reference point. Values possible are 'North', 'East', 'South' or 'West'.",False,coded_from_crash_event,EXCLUDE_EVENT_DERIVED,drop,post_collision_or_event_description,Direction is assigned from the recorded crash event or principal vehicle.,CAS_FEASIBILITY_V1
10,crashFinancialYear,Crash Financial Year,esriFieldTypeString,True,True,"The financial (fin) year in which a crash occurred, if known. This is displayed as a string field. eg 2004/2005",False,known_at_collision,EXCLUDE_TEMPORAL_REDUNDANCY,drop,temporal_shortcut,Redundant with crash year and unsuitable as a deployable feature.,CAS_FEASIBILITY_V1
11,crashLocation1,Crash Location 1,esriFieldTypeString,True,True,"Part 1 of the 'crash location' (crash_locn). May be a road name, route position (RP), landmark, or other, e.g. 'Ninety Mile Beach'. Used for location descriptions in reports etc.",False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
12,crashLocation2,Crash Location 2,esriFieldTypeString,True,True,"Part 2 of the 'crash location' (crash_locn). May be a side road name, landmark etc. Used for location descriptions in reports etc.",False,location_attribute_before_collision,EXCLUDE_EXACT_GEOGRAPHY,drop,spatial_shortcut,Fine location identifiers encourage memorization and reduce transportability.,CAS_FEASIBILITY_V1
13,crashRoadSideRoad,Crash Road Side Road,esriFieldTypeInteger,True,False,,False,not_verified_in_current_documentation,EXCLUDE_UNDOCUMENTED,drop unless NZTA supplies a current definition,semantic_uncertainty,The live schema contains this field but the official description page does not define it.,CAS_FEASIBILITY_V1
14,crashSeverity,Crash Severity,esriFieldTypeString,True,True,"The severity of a crash. Possible values are 'F' (fatal), 'S' (serious), 'M' (minor), 'N' (non-injury). This is determined by the worst injury sustained in the crash at time of entry.",False,outcome_after_collision,TARGET,map injury crashes to Minor < Serious < Fatal,target,Worst injury in the crash is the prespecified ordinal outcome.,CAS_FEASIBILITY_V1
15,crashSHDescription,Crash SH Description,esriFieldTypeString,True,True,"Indicates where a crash is reported to have occurred on a State Highway (SH) marked ‘1’, or on another road type marked ‘2’.",True,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
16,crashYear,Crash Year,esriFieldTypeInteger,True,True,"The year in which a crash occurred, if known.",False,known_at_collision,SPLIT_ONLY,temporal split and reporting only,temporal_shortcut,Including year would let the model exploit year-specific prevalence.,CAS_FEASIBILITY_V1
17,debris,Debris,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times debris, boulders or items dropped or thrown from a vehicle(s) were struck in the crash",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
18,directionRoleDescription,Direction Role Description,esriFieldTypeString,True,True,"The direction (dirn) of the principal vehicle involved in the crash. Possible values are North, South, East or West.",False,coded_from_crash_event,EXCLUDE_EVENT_DERIVED,drop,post_collision_or_event_description,Direction is assigned from the recorded crash event or principal vehicle.,CAS_FEASIBILITY_V1
19,ditch,Ditch,esriFieldTypeInteger,True,True,Derived variable to indicate how many times a 'ditch' or 'waterable drainage channel' was struck in a crash.,False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
20,fatalCount,Fatal Count,esriFieldTypeInteger,True,True,A count of the number of fatal casualties associated with this crash.,False,outcome_after_collision,EXCLUDE_OUTCOME,drop,direct_target_leakage,Casualty counts directly determine or reveal crash severity.,CAS_FEASIBILITY_V1
21,fence,Fence,esriFieldTypeInteger,True,True,"Derived variable to indicate how many times a 'fence' was struck in the crash. This includes letterbox(es), hoardings, private roadside furniture, hedges, sight rails, etc.",False,known_or_derived_after_impact,EXCLUDE_POST_COLLISION,drop,event_consequence_or_participant_information,Official documentation defines this as an involved/struck-object count or other event-derived variable.,CAS_FEASIBILITY_V1
22,flatHill,Flat Hill,esriFieldTypeString,True,True,Whether the road is flat or sloped. Possible values include 'Flat or 'Hill'.,False,exists_or_observable_at_collision,INCLUDE_CANDIDATE,categorical,retrospective_recording,Road or environmental condition precedes the injury outcome.,CAS_FEASIBILITY_V1
