relative_path,bytes,sha256
config/cas/cas_lightgbm_protocol.json,8577,a086baf7facdbdb94dee34e28507eb848fe749b6750e4806b88e24c037d3c695
config/cas/cas_lightgbm_selected.json,2113,baf3376508ddf5c825120e8ae848faa5f8daf0524bdd9aa83c2c40c5f0053d82
logs/cas/cas_lightgbm_checkpoint.md,335,79cdad206291ac604ed601380d79e098ce8d00583a3f4702889187ec569439da
logs/cas/cas_lightgbm_preprocessing_audit.csv,9477,32949fd4e50262d87ade014463ae009c8a5f0fa061b14a7edc7d70bdd9e332de
logs/cas/cas_lightgbm_training_audit.csv,1031,0c4ef31d0711d2cb071f0b96ff55d285f79dbfb6880eaba982d11f6f46e85e66
models/cas_lightgbm/random_seed_1103/lightgbm_weighted.joblib,4290085,20bc5db794efeb6524b6b6c01ea68dfe0469791a1e00ae7b7307790865f34e92
models/cas_lightgbm/random_seed_1103/preprocessing_bundle.joblib,915,b06ef05f1e95360a2aae15fcfa5ebc3bd4354b60afafb284de278aca70f9d979
models/cas_lightgbm/random_seed_2207/lightgbm_weighted.joblib,4289116,bf30d320428dd9c46214d162d3b5bc25f640232e7e4cfc97f3570a878de89e9d
models/cas_lightgbm/random_seed_2207/preprocessing_bundle.joblib,915,5c9b7aa8f710668246a7fff749b6f2cd942a7be94b61bfcdd89cc51f11d6b64b
models/cas_lightgbm/random_seed_3301/lightgbm_weighted.joblib,4286790,3f56862040a291c30659ca8fb38b5b50669d0a928c50bedc817c278a48df0bca
models/cas_lightgbm/random_seed_3301/preprocessing_bundle.joblib,913,44cb6a2f1a182e9671bb58ce7aad1e0d9f7e875366fecafe40ab330a316cc260
models/cas_lightgbm/random_seed_4409/lightgbm_weighted.joblib,4290926,edff8df7beb8578b9a1f7b1d57ab46af41b742617efb996f2c153e54cf416582
models/cas_lightgbm/random_seed_4409/preprocessing_bundle.joblib,914,12645e8b31bab2b5b75c52eb13e80c2ffd3a67a5e15d740add37a314422728da
models/cas_lightgbm/random_seed_5501/lightgbm_weighted.joblib,4287326,71ef20ffcbbbbc74699809a6a0cea4089c1714bd6aac934d78957844e3ae340c
models/cas_lightgbm/random_seed_5501/preprocessing_bundle.joblib,913,a4c90a6870d0092ecdd4854c297f49c9b450a49a67ac17f595e9177cdf1623f8
models/cas_lightgbm/temporal/lightgbm_weighted.joblib,4285108,83ed1cf82d5fd5dc1491955403278bb1216c56f02adf724d1fd8c604da6b4dfc
models/cas_lightgbm/temporal/preprocessing_bundle.joblib,907,c944e61f2b27e5f45a97fb16ac649e53388af94595e3e81801f015480c02c043
results/cas_lightgbm/tuning_results.csv,2405,b9824b3b6380943a91a16d242953537b37302a9981624332fc55040f17c6bb52
results/cas_lightgbm/validation_confusion_matrices.csv,5093,534b6d257606f26dbce3c3d20a3facf58bd23d641546762c583625ea1559d194
results/cas_lightgbm/validation_metrics.csv,2425,9d0c1629fd5f473d64ed321e38a4a2b50e5ca31b7d691a7a9baca43732641766
results/cas_lightgbm/validation_predictions/random_seed_1103__lightgbm_weighted.csv.gz,110391,b24814869705d253160e4375d6b8ea4c21ec1fe0820f947f5a5a82674346aa11
results/cas_lightgbm/validation_predictions/random_seed_2207__lightgbm_weighted.csv.gz,107012,0db4066077600382ec0b547f05b07c475e9e85b6762743fc0f94b474ee953073
results/cas_lightgbm/validation_predictions/random_seed_3301__lightgbm_weighted.csv.gz,106881,72a16269942a929849013deaddbb9a617dde5d04aee23913680fb99cc847913e
results/cas_lightgbm/validation_predictions/random_seed_4409__lightgbm_weighted.csv.gz,107146,ac762e78411e0bbbd578b113c54fa919691718e53eec0c96f46642e6c1df4036
results/cas_lightgbm/validation_predictions/random_seed_5501__lightgbm_weighted.csv.gz,108197,260df446354ed8201d839223e5a6cb1eeb7fdbe9d2ea004fe6ed636c87400e68
results/cas_lightgbm/validation_predictions/temporal__lightgbm_weighted.csv.gz,224385,a3a0a82d7cfc8b1e126353850c0e118fee1b31516c182c992f7e8607cea5e852
