group_key,evaluation_scope,split_slug,sample_role,model,prediction_file,rows,slight_rows,serious_rows,fatal_rows,collision_ids_unique,aligned_with_group,D11_metrics_reproduced,bootstrap_seconds_for_group,bootstrap_stream_key
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,dummy_most_frequent,results/d11/predictions/temporal__dummy_most_frequent__test.csv.gz,100927,75858,23567,1502,True,True,True,1.0568337999866344,temporal_test_2024
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,logistic_unweighted,results/d11/predictions/temporal__logistic_unweighted__test.csv.gz,100927,75858,23567,1502,True,True,True,1.0568337999866344,temporal_test_2024
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,logistic_weighted,results/d11/predictions/temporal__logistic_weighted__test.csv.gz,100927,75858,23567,1502,True,True,True,1.0568337999866344,temporal_test_2024
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,ordered_logit_unweighted,results/d11/predictions/temporal__ordered_logit_unweighted__test.csv.gz,100927,75858,23567,1502,True,True,True,1.0568337999866344,temporal_test_2024
temporal_test_2024,temporal_test_2024,temporal,strict_temporal_test,lightgbm_weighted,results/d11/predictions/temporal__lightgbm_weighted__test.csv.gz,100927,75858,23567,1502,True,True,True,1.0568337999866344,temporal_test_2024
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,dummy_most_frequent,results/d11/predictions/random_seed_1103__dummy_most_frequent__test.csv.gz,96408,75156,19854,1398,True,True,True,1.0216864999965765,random_seed_1103__internal_test
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,logistic_unweighted,results/d11/predictions/random_seed_1103__logistic_unweighted__test.csv.gz,96408,75156,19854,1398,True,True,True,1.0216864999965765,random_seed_1103__internal_test
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,logistic_weighted,results/d11/predictions/random_seed_1103__logistic_weighted__test.csv.gz,96408,75156,19854,1398,True,True,True,1.0216864999965765,random_seed_1103__internal_test
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,ordered_logit_unweighted,results/d11/predictions/random_seed_1103__ordered_logit_unweighted__test.csv.gz,96408,75156,19854,1398,True,True,True,1.0216864999965765,random_seed_1103__internal_test
random_seed_1103__internal_test,random_reference_test,random_seed_1103,random_internal_test,lightgbm_weighted,results/d11/predictions/random_seed_1103__lightgbm_weighted__test.csv.gz,96408,75156,19854,1398,True,True,True,1.0216864999965765,random_seed_1103__internal_test
random_seed_1103__2024_diagnostic,random_model_on_2024,random_seed_1103,random_model_future_test,dummy_most_frequent,results/d11/predictions/random_seed_1103__dummy_most_frequent__2024_diagnostic.csv.gz,100927,75858,23567,1502,True,True,True,1.0473248999915086,random_seed_1103__2024_diagnostic
