feature,feature_type,training_levels,training_missing,validation_missing,test_missing,validation_unseen,test_unseen,fit_scope
feature_day_of_week,categorical,7,0,0,0,0,0,exclude2020_training_only
feature_first_road_class,categorical,6,0,0,0,0,0,exclude2020_training_only
feature_road_type,categorical,6,0,0,0,0,0,exclude2020_training_only
feature_junction_detail,categorical,7,0,0,0,0,2,exclude2020_training_only
feature_junction_control,categorical,7,0,0,0,0,0,exclude2020_training_only
feature_second_road_class,categorical,9,0,0,0,0,0,exclude2020_training_only
feature_pedestrian_crossing,categorical,10,0,0,0,0,0,exclude2020_training_only
feature_light_conditions,categorical,6,0,0,0,0,0,exclude2020_training_only
feature_weather_conditions,categorical,10,0,0,0,0,0,exclude2020_training_only
feature_road_surface_conditions,categorical,7,0,0,0,0,0,exclude2020_training_only
feature_special_conditions_at_site,categorical,10,0,0,0,0,0,exclude2020_training_only
feature_carriageway_hazards,categorical,14,0,0,0,0,0,exclude2020_training_only
feature_urban_or_rural_area,categorical,4,0,0,0,0,0,exclude2020_training_only
feature_trunk_road_flag,categorical,3,0,0,0,0,0,exclude2020_training_only
feature_speed_limit,numeric,,80,0,3,,,exclude2020_training_only
feature_month,categorical,12,0,0,0,0,0,exclude2020_training_only
feature_hour,categorical,24,0,0,0,0,0,exclude2020_training_only
