feature_name,category,total_count,total_pct,years_present,pre_2024_count,year_2024_count,rare_global_lt_100,semantic_unknown_or_not_applicable,unseen_in_2018_2023_but_present_2024,present_2018_2023_but_absent_2024,D5_action,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023,count_2024
feature_day_of_week,1:Sunday,83635,0.1124661465267076,2018;2019;2020;2021;2022;2023;2024,72247,11388,False,False,False,False,retain_category,13801,12935,10315,11496,12001,11699,11388
feature_day_of_week,2:Monday,103523,0.1392100542462408,2018;2019;2020;2021;2022;2023;2024,89472,14051,False,False,False,False,retain_category,17740,16643,12772,13974,14055,14288,14051
feature_day_of_week,3:Tuesday,108764,0.1462577624299734,2018;2019;2020;2021;2022;2023;2024,93867,14897,False,False,False,False,retain_category,17950,17598,13267,14603,15018,15431,14897
feature_day_of_week,4:Wednesday,111038,0.149315669014558,2018;2019;2020;2021;2022;2023;2024,96123,14915,False,False,False,False,retain_category,18397,17775,13564,14901,15737,15749,14915
feature_day_of_week,5:Thursday,113335,0.15240450429370964,2018;2019;2020;2021;2022;2023;2024,97874,15461,False,False,False,False,retain_category,18656,17973,14056,15125,16273,15791,15461
feature_day_of_week,6:Friday,122466,0.16468319603682396,2018;2019;2020;2021;2022;2023;2024,106022,16444,False,False,False,False,retain_category,20021,19056,14889,17027,17911,17118,16444
feature_day_of_week,7:Saturday,100885,0.13566266745198657,2018;2019;2020;2021;2022;2023;2024,87114,13771,False,False,False,False,retain_category,16070,15556,12336,13961,15009,14182,13771
feature_first_road_class,1:Motorway,22807,0.03066916247784564,2018;2019;2020;2021;2022;2023;2024,19778,3029,False,False,False,False,retain_category,4225,3810,2374,3105,3143,3121,3029
feature_first_road_class,2:A(M),1909,0.0025670816490642053,2018;2019;2020;2021;2022;2023;2024,1680,229,False,False,False,False,retain_category,341,320,207,283,292,237,229
feature_first_road_class,3:A,328448,0.4416725162241174,2018;2019;2020;2021;2022;2023;2024,284306,44142,False,False,False,False,retain_category,53499,52342,40604,45054,46935,45872,44142
feature_first_road_class,4:B,91715,0.12333153140069333,2018;2019;2020;2021;2022;2023;2024,79038,12677,False,False,False,False,retain_category,14210,14538,11490,12611,13072,13117,12677
feature_first_road_class,5:C,35935,0.04832272344637099,2018;2019;2020;2021;2022;2023;2024,31551,4384,False,False,False,False,retain_category,7005,6067,4815,4438,4630,4596,4384
feature_first_road_class,6:Unclassified,262832,0.35343698480190844,2018;2019;2020;2021;2022;2023;2024,226366,36466,False,False,False,False,retain_category,43355,40459,31709,35596,37932,37315,36466
feature_road_type,1:Roundabout,44416,0.059727343386503796,2018;2019;2020;2021;2022;2023;2024,38212,6204,False,False,False,False,retain_category,7573,6880,5580,5947,6285,5947,6204
feature_road_type,2:One way street,17148,0.0230593588885034,2018;2019;2020;2021;2022;2023;2024,14924,2224,False,False,False,False,retain_category,3366,2664,1966,2300,2392,2236,2224
feature_road_type,3:Dual carriageway,112778,0.151655491994847,2018;2019;2020;2021;2022;2023;2024,98107,14671,False,False,False,False,retain_category,19473,18590,13206,15299,16127,15412,14671
feature_road_type,6:Single carriageway,539487,0.725462115038607,2018;2019;2020;2021;2022;2023;2024,465869,73618,False,False,False,False,retain_category,88323,85320,66929,73054,76558,75685,73618
feature_road_type,7:Slip road,12169,0.01636396887766491,2018;2019;2020;2021;2022;2023;2024,10527,1642,False,False,False,False,retain_category,1508,1939,1512,1880,1887,1801,1642
feature_road_type,9:Unknown,17648,0.023731721813873806,2018;2019;2020;2021;2022;2023;2024,15080,2568,False,True,False,False,retain_explicit_semantic_category,2392,2143,2006,2607,2755,3177,2568
feature_junction_detail,-1:Data missing or out of range,16960,0.022806550428564127,2018;2019;2020;2021;2022;2023;2024,9955,7005,False,True,False,False,retain_explicit_semantic_category,772,1397,1510,2061,1817,2398,7005
feature_junction_detail,0:Not at junction or within 20 metres,381287,0.512726485451411,2018;2019;2020;2021;2022;2023;2024,335148,46139,False,False,False,False,retain_category,65445,61391,47763,52176,55139,53234,46139
feature_junction_detail,13:T or staggered junction,209643,0.2819123615268555,2018;2019;2020;2021;2022;2023;2024,181639,28004,False,False,False,False,retain_category,35958,33660,25626,27699,29657,29039,28004
feature_junction_detail,16:Crossroads,69188,0.09303889216105513,2018;2019;2020;2021;2022;2023;2024,59693,9495,False,False,False,False,retain_category,11422,11221,8429,9371,9743,9507,9495
feature_junction_detail,17:Junction with more than four arms (not roundabout),10798,0.014520349736299261,2018;2019;2020;2021;2022;2023;2024,9129,1669,False,False,False,False,retain_category,1587,1479,1279,1520,1630,1634,1669
feature_junction_detail,18:Using private drive or entrance,16413,0.022070985388208907,2018;2019;2020;2021;2022;2023;2024,14157,2256,False,False,False,False,retain_category,2801,2722,1887,2209,2275,2263,2256
feature_junction_detail,19:Other junction,39355,0.05292168585590456,2018;2019;2020;2021;2022;2023;2024,32998,6357,False,False,False,False,retain_category,4650,5666,4705,6051,5743,6183,6357
feature_junction_detail,99:unknown (self reported),2,2.689451701481619e-06,2024,0,2,True,True,True,False,map_to___UNSEEN___when_2024_is_out_of_sample,0,0,0,0,0,0,2
feature_junction_control,-1:Data missing or out of range,313425,0.4214706997684382,2018;2019;2020;2021;2022;2023;2024,270844,42581,False,True,False,False,retain_explicit_semantic_category,52351,49366,38298,42057,44977,43795,42581
feature_junction_control,0:Not at junction or within 20 metres,4,5.378903402963238e-06,2019,4,0,True,False,False,True,audit_flag_only; any pooling must be training-only,0,4,0,0,0,0,0
feature_junction_control,1:Authorised person,3046,0.004096034941356506,2018;2019;2020;2021;2022;2023;2024,2628,418,False,False,False,False,retain_category,461,379,377,398,394,619,418
feature_junction_control,2:Auto traffic signal,82703,0.11121286203381717,2018;2019;2020;2021;2022;2023;2024,71676,11027,False,False,False,False,retain_category,13323,13122,10407,11302,11873,11649,11027
feature_junction_control,3:Stop sign,4941,0.00664429042851034,2018;2019;2020;2021;2022;2023;2024,4280,661,False,False,False,False,retain_category,750,773,583,651,760,763,661
feature_junction_control,4:Give way or uncontrolled,324806,0.4367750246757194,2018;2019;2020;2021;2022;2023;2024,280474,44332,False,False,False,False,retain_category,53259,50882,39998,44789,46338,45208,44332
feature_junction_control,9:unknown (self reported),14721,0.019795709248755455,2018;2019;2020;2021;2022;2023;2024,12813,1908,False,True,False,False,retain_explicit_semantic_category,2491,3010,1536,1890,1662,2224,1908
feature_second_road_class,-1:Data missing or out of range,11755,0.015807252375458214,2018;2019;2020;2021;2022;2023;2024,588,11167,False,True,False,False,retain_explicit_semantic_category,163,115,82,55,89,84,11167
feature_second_road_class,0:Not at junction or within 20 metres,280592,0.3773193159110652,2018;2019;2020;2021;2022;2023;2024,267744,12848,False,False,False,False,retain_category,52047,48991,37956,41538,44250,42962,12848
feature_second_road_class,1:Motorway,3234,0.004348843401295778,2018;2019;2020;2021;2022;2023;2024,2487,747,False,False,False,False,retain_category,677,522,314,337,325,312,747
feature_second_road_class,2:A(M),345,0.00046393041850557924,2018;2019;2020;2021;2022;2023;2024,269,76,False,False,False,False,retain_category,73,65,36,23,28,44,76
feature_second_road_class,3:A,78051,0.10495719737617092,2018;2019;2020;2021;2022;2023;2024,66152,11899,False,False,False,False,retain_category,12213,12520,9566,10783,10793,10277,11899
feature_second_road_class,4:B,29554,0.039742027792793885,2018;2019;2020;2021;2022;2023;2024,25076,4478,False,False,False,False,retain_category,4662,4778,3656,3923,4052,4005,4478
feature_second_road_class,5:C,22539,0.030308775949847103,2018;2019;2020;2021;2022;2023;2024,19766,2773,False,False,False,False,retain_category,4168,3763,3154,2782,2921,2978,2773
feature_second_road_class,6:Unclassified,317575,0.4270513120490126,2018;2019;2020;2021;2022;2023;2024,260636,56939,False,False,False,False,retain_category,48631,46782,36435,41646,43546,43596,56939
feature_second_road_class,9:Unknown (self rep only),1,1.3447258507408095e-06,2018,1,0,True,True,False,True,retain_explicit_semantic_category,1,0,0,0,0,0,0
feature_pedestrian_crossing,-1:Data missing or out of range,5077,0.00682717314421109,2018;2019;2020;2021;2022;2023;2024,4043,1034,False,True,False,False,retain_explicit_semantic_category,91,143,132,225,684,2768,1034
feature_pedestrian_crossing,0:No physical crossing facility within 50m,562499,0.7564069463158546,2018;2019;2020;2021;2022;2023;2024,487711,74788,False,False,False,False,retain_category,95274,90637,69735,76990,80150,74925,74788
feature_pedestrian_crossing,11:Human crossing control by school crossing patrol,3023,0.004065106246789467,2018;2019;2020;2021;2022;2023;2024,2646,377,False,False,False,False,retain_category,422,477,386,438,488,435,377
feature_pedestrian_crossing,12:Human crossing control by other authorised person,8238,0.011077851558402789,2018;2019;2020;2021;2022;2023;2024,7237,1001,False,False,False,False,retain_category,1116,1241,980,1217,1388,1295,1001
feature_pedestrian_crossing,13:Zebra crossing,29232,0.03930902606885534,2018;2019;2020;2021;2022;2023;2024,25117,4115,False,False,False,False,retain_category,4316,4491,3582,4220,4304,4204,4115
feature_pedestrian_crossing,14:Pedestrian light crossing (pelican or puffin or toucan or similar),40574,0.054560906667957605,2018;2019;2020;2021;2022;2023;2024,34301,6273,False,False,False,False,retain_category,6742,6088,4552,5303,5913,5703,6273
feature_pedestrian_crossing,15:Pedestrian phase at traffic signal,55814,0.07505452863324753,2018;2019;2020;2021;2022;2023;2024,48472,7342,False,False,False,False,retain_category,9306,9095,7080,7606,7802,7583,7342
feature_pedestrian_crossing,16:Footbridge or subway,1731,0.002327720447632341,2018;2019;2020;2021;2022;2023;2024,1490,241,False,False,False,False,retain_category,268,252,195,258,267,250,241
feature_pedestrian_crossing,17:Central refuge - no other controls,18706,0.02515444176395758,2018;2019;2020;2021;2022;2023;2024,15962,2744,False,False,False,False,retain_category,3065,2907,2396,2435,2574,2585,2744
feature_pedestrian_crossing,99:unknown (self reported),18752,0.02521629915309166,2018;2019;2020;2021;2022;2023;2024,15740,3012,False,True,False,False,retain_explicit_semantic_category,2035,2205,2161,2395,2434,4510,3012
feature_light_conditions,-1:Data missing or out of range,20,2.689451701481619e-05,2019;2020;2021;2022;2024,14,6,True,True,False,False,retain_explicit_semantic_category,0,1,1,11,1,0,6
feature_light_conditions,1:Daylight,531783,0.7151023470844999,2018;2019;2020;2021;2022;2023;2024,460233,71550,False,False,False,False,retain_category,88435,83511,64458,73627,75961,74241,71550
feature_light_conditions,4:Darkness - lights lit,153308,0.206157230725372,2018;2019;2020;2021;2022;2023;2024,132067,21241,False,False,False,False,retain_category,24746,24407,19026,19876,22009,22003,21241
feature_light_conditions,5:Darkness - lights unlit,5419,0.0072870693851644465,2018;2019;2020;2021;2022;2023;2024,4663,756,False,False,False,False,retain_category,857,891,685,711,768,751,756
feature_light_conditions,6:Darkness - no lighting,38803,0.05217939718629563,2018;2019;2020;2021;2022;2023;2024,33108,5695,False,False,False,False,retain_category,6120,6092,4835,4878,5555,5628,5695
feature_light_conditions,7:Darkness - lighting unknown,14313,0.019247061101653206,2018;2019;2020;2021;2022;2023;2024,12634,1679,False,True,False,False,retain_explicit_semantic_category,2477,2634,2194,1984,1710,1635,1679
feature_weather_conditions,-1:Data missing or out of range,32,4.3031227223705904e-05,2018;2020;2021,32,0,True,True,False,True,retain_explicit_semantic_category,19,0,1,12,0,0,0
feature_weather_conditions,1:Fine no high winds,592493,0.7967406534829744,2018;2019;2020;2021;2022;2023;2024,512892,79601,False,False,False,False,retain_category,99221,92316,70729,81658,86939,82029,79601
feature_weather_conditions,2:Raining no high winds,85270,0.11466477329266882,2018;2019;2020;2021;2022;2023;2024,72942,12328,False,False,False,False,retain_category,12789,15294,11583,10425,10011,12840,12328
feature_weather_conditions,3:Snowing no high winds,3169,0.004261436220997625,2018;2019;2020;2021;2022;2023;2024,2927,242,False,False,False,False,retain_category,1075,353,185,606,312,396,242
feature_weather_conditions,4:Fine + high winds,7522,0.010115027849272368,2018;2019;2020;2021;2022;2023;2024,6587,935,False,False,False,False,retain_category,1134,1230,1401,875,970,977,935
feature_weather_conditions,5:Raining + high winds,8665,0.011652049496669113,2018;2019;2020;2021;2022;2023;2024,7540,1125,False,False,False,False,retain_category,1277,1430,1665,1034,909,1225,1125
