metadata_field,category,total_count,total_pct,years_present,count_2018,count_2019,count_2020,count_2021,count_2022,count_2023,count_2024
meta_police_force,1,161244,0.2168289750768511,2018;2019;2020;2021;2022;2023;2024,25390,25055,20906,22992,23327,22740,20834
meta_police_force,3,6278,0.008442188890950802,2018;2019;2020;2021;2022;2023;2024,1244,1025,755,743,854,863,794
meta_police_force,4,19655,0.02643058659631061,2018;2019;2020;2021;2022;2023;2024,3379,2949,2354,2715,2765,2762,2731
meta_police_force,5,14450,0.019431288543204698,2018;2019;2020;2021;2022;2023;2024,2287,2149,1717,1998,2267,2130,1902
meta_police_force,6,20918,0.028128975345796253,2018;2019;2020;2021;2022;2023;2024,3762,3622,2399,3008,2804,2530,2793
meta_police_force,7,11411,0.015344666682803376,2018;2019;2020;2021;2022;2023;2024,2029,1729,1363,1597,1685,1533,1475
meta_police_force,10,13704,0.018428123058552053,2018;2019;2020;2021;2022;2023;2024,2340,2296,1690,1770,1874,1900,1834
meta_police_force,11,4797,0.006450649906003663,2018;2019;2020;2021;2022;2023;2024,951,851,601,631,621,571,571
meta_police_force,12,9451,0.01270900401535139,2018;2019;2020;2021;2022;2023;2024,1620,1376,1180,1311,1174,1443,1347
meta_police_force,13,27106,0.03645013891018038,2018;2019;2020;2021;2022;2023;2024,4132,3620,2764,3886,4397,4247,4060
meta_police_force,14,15264,0.020525895385707715,2018;2019;2020;2021;2022;2023;2024,2469,2377,2021,2065,2038,2187,2107
meta_police_force,16,13930,0.018732031100819477,2018;2019;2020;2021;2022;2023;2024,2305,2311,1709,1821,1913,1975,1896
meta_police_force,17,4244,0.005707016510543996,2018;2019;2020;2021;2022;2023;2024,608,662,570,623,674,607,500
meta_police_force,20,33773,0.04541542615706936,2018;2019;2020;2021;2022;2023;2024,5490,5416,3933,4681,4943,4688,4622
meta_police_force,21,7313,0.00983398014646754,2018;2019;2020;2021;2022;2023;2024,1417,1312,879,819,507,883,1496
meta_police_force,22,11355,0.015269362035161892,2018;2019;2020;2021;2022;2023;2024,1788,1879,1446,1596,1658,1449,1539
meta_police_force,23,6982,0.009388875889872332,2018;2019;2020;2021;2022;2023;2024,1212,1108,855,856,865,994,1092
meta_police_force,30,12012,0.016152846919098605,2018;2019;2020;2021;2022;2023;2024,1661,1705,1462,1787,1974,1767,1656
meta_police_force,31,14302,0.019232269117295055,2018;2019;2020;2021;2022;2023;2024,2433,2354,1677,1858,1889,2022,2069
meta_police_force,32,11755,0.015807252375458214,2018;2019;2020;2021;2022;2023;2024,1882,1893,1396,1531,1604,1724,1725
meta_police_force,33,8670,0.011658773125922818,2018;2019;2020;2021;2022;2023;2024,1586,1316,1133,1129,1076,1224,1206
meta_police_force,34,7769,0.01044717513440535,2018;2019;2020;2021;2022;2023;2024,1041,1113,886,1027,1229,1233,1240
meta_police_force,35,10457,0.014061798221196645,2018;2019;2020;2021;2022;2023;2024,1803,1696,1246,1336,1485,1518,1373
meta_police_force,36,10648,0.014318640858688138,2018;2019;2020;2021;2022;2023;2024,1782,1648,1324,1375,1537,1354,1628
meta_police_force,37,8119,0.010917829182164633,2018;2019;2020;2021;2022;2023;2024,1463,1362,995,1065,1163,930,1141
meta_police_force,40,8807,0.011843000567474308,2018;2019;2020;2021;2022;2023;2024,1498,1390,1084,1080,1285,1297,1173
meta_police_force,41,12250,0.016472891671574917,2018;2019;2020;2021;2022;2023;2024,2053,1960,1398,1598,1780,1813,1648
meta_police_force,42,19942,0.026816522915473224,2018;2019;2020;2021;2022;2023;2024,3163,2913,2536,2778,2901,2840,2811
meta_police_force,43,22218,0.029877118951759304,2018;2019;2020;2021;2022;2023;2024,3832,3564,2767,2973,3256,2949,2877
meta_police_force,44,24127,0.03244420060082351,2018;2019;2020;2021;2022;2023;2024,3957,3657,3016,3232,3485,3351,3429
meta_police_force,45,18868,0.025372287351777593,2018;2019;2020;2021;2022;2023;2024,3113,2964,2334,2480,2783,2740,2454
meta_police_force,46,26987,0.03629011653394223,2018;2019;2020;2021;2022;2023;2024,4403,4196,3405,3760,3983,3896,3344
meta_police_force,47,24644,0.033139423865656506,2018;2019;2020;2021;2022;2023;2024,3859,3991,3107,3167,3678,3534,3308
meta_police_force,48,1324,0.0017804170263808318,2018;2019;2020;2021;2022;2023;2024,272,283,107,147,175,174,166
meta_police_force,50,20671,0.027796828060663272,2018;2019;2020;2021;2022;2023;2024,3448,3404,2616,2825,2752,2806,2820
meta_police_force,52,17443,0.02345605301447194,2018;2019;2020;2021;2022;2023;2024,2956,2935,2044,2322,2404,2281,2501
meta_police_force,53,6103,0.00820686186707116,2018;2019;2020;2021;2022;2023;2024,778,845,695,749,930,1076,1030
meta_police_force,54,8829,0.011872584536190606,2018;2019;2020;2021;2022;2023;2024,1286,1333,961,1254,1380,1353,1262
meta_police_force,55,9286,0.012487124249979156,2018;2019;2020;2021;2022;2023;2024,1324,1276,1158,1299,1449,1387,1393
meta_police_force,60,5436,0.00730992972462704,2018;2019;2020;2021;2022;2023;2024,985,913,658,780,802,777,521
meta_police_force,61,4093,0.005503962907082133,2018;2019;2020;2021;2022;2023;2024,624,715,487,609,587,502,569
meta_police_force,62,7620,0.010246810982644967,2018;2019;2020;2021;2022;2023;2024,1465,1546,958,953,944,955,799
meta_police_force,63,7040,0.0094668699892153,2018;2019;2020;2021;2022;2023;2024,1140,1143,771,959,982,1021,1024
meta_police_force,91,843,0.0011336038921745024,2018;2019,438,405,0,0,0,0,0
meta_police_force,92,785,0.0010556097928315353,2018;2019,422,363,0,0,0,0,0
meta_police_force,93,749,0.0010071996622048663,2018;2019,405,344,0,0,0,0,0
meta_police_force,94,632,0.0008498667376681916,2018;2019,328,304,0,0,0,0,0
meta_police_force,95,2771,0.003726235332402783,2018;2019,1471,1300,0,0,0,0,0
meta_police_force,96,612,0.0008229722206533754,2018;2019,328,284,0,0,0,0,0
meta_police_force,97,5244,0.007051742361284805,2018;2019,2755,2489,0,0,0,0,0
meta_police_force,98,453,0.0006091608103855867,2018;2019,258,195,0,0,0,0,0
meta_police_force,99,20262,0.027246835187710282,2020;2021;2022;2023;2024,0,0,3836,3902,4125,4232,4167
meta_injury_based,0,389008,0.5231091137449808,2018;2019;2020;2021;2022;2023;2024,79661,68028,50244,50929,50275,48241,41630
meta_injury_based,1,354638,0.4768908862550192,2018;2019;2020;2021;2022;2023;2024,42974,49508,40955,50158,55729,56017,59297
