year,target_code,target_label,count,pct,year_total
2018,0,Slight,97996,0.799086720756717,122635
2018,1,Serious,22968,0.18728747910466018,122635
2018,2,Fatal,1671,0.013625800138622742,122635
2019,0,Slight,92898,0.7903791178872855,117536
2019,1,Serious,22980,0.19551456575006806,117536
2019,2,Fatal,1658,0.014106316362646339,117536
2020,0,Slight,71453,0.7834844680314477,91199
2020,1,Serious,18355,0.20126317174530423,91199
2020,2,Fatal,1391,0.015252360223248062,91199
2021,0,Slight,78329,0.7748671936055082,101087
2021,1,Serious,21284,0.2105513072897603,101087
2021,2,Fatal,1474,0.014581499104731568,101087
2022,0,Slight,81069,0.7647730274329271,106004
2022,1,Serious,23333,0.2201143353081016,106004
2022,2,Fatal,1602,0.01511263725897136,106004
2023,0,Slight,79298,0.7605939112586084,104258
2023,1,Serious,23438,0.2248076886186192,104258
2023,2,Fatal,1522,0.014598400122772354,104258
2024,0,Slight,75858,0.7516125516462394,100927
2024,1,Serious,23567,0.23350540489660843,100927
2024,2,Fatal,1502,0.014882043457152199,100927
ALL,0,Slight,576901,0.7757736880182238,743646
ALL,1,Serious,155925,0.20967637827676072,743646
ALL,2,Fatal,10820,0.014549933705015559,743646
