protocol,seed,role_column,role,rows,years,unique_collision_ids
temporal,year_based,temporal_role,train,538461,2018;2019;2020;2021;2022,538461
temporal,year_based,temporal_role,validation,104258,2023,104258
temporal,year_based,temporal_role,test,100927,2024,100927
random_reference,1103,random_role_seed_1103,train,449903,2018;2019;2020;2021;2022;2023,449903
random_reference,1103,random_role_seed_1103,validation,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,1103,random_role_seed_1103,test,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,1103,random_role_seed_1103,locked_temporal_test,100927,2024,100927
random_reference,2207,random_role_seed_2207,train,449903,2018;2019;2020;2021;2022;2023,449903
random_reference,2207,random_role_seed_2207,validation,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,2207,random_role_seed_2207,test,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,2207,random_role_seed_2207,locked_temporal_test,100927,2024,100927
random_reference,3301,random_role_seed_3301,train,449903,2018;2019;2020;2021;2022;2023,449903
random_reference,3301,random_role_seed_3301,validation,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,3301,random_role_seed_3301,test,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,3301,random_role_seed_3301,locked_temporal_test,100927,2024,100927
random_reference,4409,random_role_seed_4409,train,449903,2018;2019;2020;2021;2022;2023,449903
random_reference,4409,random_role_seed_4409,validation,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,4409,random_role_seed_4409,test,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,4409,random_role_seed_4409,locked_temporal_test,100927,2024,100927
random_reference,5501,random_role_seed_5501,train,449903,2018;2019;2020;2021;2022;2023,449903
random_reference,5501,random_role_seed_5501,validation,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,5501,random_role_seed_5501,test,96408,2018;2019;2020;2021;2022;2023,96408
random_reference,5501,random_role_seed_5501,locked_temporal_test,100927,2024,100927
