protocol,seed,encoded_position,encoded_feature
temporal,year_based,0,categorical__feature_day_of_week_1:Sunday
temporal,year_based,1,categorical__feature_day_of_week_2:Monday
temporal,year_based,2,categorical__feature_day_of_week_3:Tuesday
temporal,year_based,3,categorical__feature_day_of_week_4:Wednesday
temporal,year_based,4,categorical__feature_day_of_week_5:Thursday
temporal,year_based,5,categorical__feature_day_of_week_6:Friday
temporal,year_based,6,categorical__feature_day_of_week_7:Saturday
temporal,year_based,7,categorical__feature_day_of_week___UNSEEN__
temporal,year_based,8,categorical__feature_first_road_class_1:Motorway
temporal,year_based,9,categorical__feature_first_road_class_2:A(M)
temporal,year_based,10,categorical__feature_first_road_class_3:A
temporal,year_based,11,categorical__feature_first_road_class_4:B
temporal,year_based,12,categorical__feature_first_road_class_5:C
temporal,year_based,13,categorical__feature_first_road_class_6:Unclassified
temporal,year_based,14,categorical__feature_first_road_class___UNSEEN__
temporal,year_based,15,categorical__feature_road_type_1:Roundabout
temporal,year_based,16,categorical__feature_road_type_2:One way street
temporal,year_based,17,categorical__feature_road_type_3:Dual carriageway
temporal,year_based,18,categorical__feature_road_type_6:Single carriageway
temporal,year_based,19,categorical__feature_road_type_7:Slip road
temporal,year_based,20,categorical__feature_road_type_9:Unknown
temporal,year_based,21,categorical__feature_road_type___UNSEEN__
temporal,year_based,22,categorical__feature_junction_detail_-1:Data missing or out of range
temporal,year_based,23,categorical__feature_junction_detail_0:Not at junction or within 20 metres
temporal,year_based,24,categorical__feature_junction_detail_13:T or staggered junction
temporal,year_based,25,categorical__feature_junction_detail_16:Crossroads
temporal,year_based,26,categorical__feature_junction_detail_17:Junction with more than four arms (not roundabout)
temporal,year_based,27,categorical__feature_junction_detail_18:Using private drive or entrance
temporal,year_based,28,categorical__feature_junction_detail_19:Other junction
temporal,year_based,29,categorical__feature_junction_detail___UNSEEN__
temporal,year_based,30,categorical__feature_junction_control_-1:Data missing or out of range
temporal,year_based,31,categorical__feature_junction_control_0:Not at junction or within 20 metres
temporal,year_based,32,categorical__feature_junction_control_1:Authorised person
temporal,year_based,33,categorical__feature_junction_control_2:Auto traffic signal
temporal,year_based,34,categorical__feature_junction_control_3:Stop sign
temporal,year_based,35,categorical__feature_junction_control_4:Give way or uncontrolled
temporal,year_based,36,categorical__feature_junction_control_9:unknown (self reported)
temporal,year_based,37,categorical__feature_junction_control___UNSEEN__
temporal,year_based,38,categorical__feature_second_road_class_-1:Data missing or out of range
temporal,year_based,39,categorical__feature_second_road_class_0:Not at junction or within 20 metres
temporal,year_based,40,categorical__feature_second_road_class_1:Motorway
temporal,year_based,41,categorical__feature_second_road_class_2:A(M)
temporal,year_based,42,categorical__feature_second_road_class_3:A
temporal,year_based,43,categorical__feature_second_road_class_4:B
temporal,year_based,44,categorical__feature_second_road_class_5:C
temporal,year_based,45,categorical__feature_second_road_class_6:Unclassified
temporal,year_based,46,categorical__feature_second_road_class_9:Unknown (self rep only)
temporal,year_based,47,categorical__feature_second_road_class___UNSEEN__
temporal,year_based,48,categorical__feature_pedestrian_crossing_-1:Data missing or out of range
temporal,year_based,49,categorical__feature_pedestrian_crossing_0:No physical crossing facility within 50m
temporal,year_based,50,categorical__feature_pedestrian_crossing_11:Human crossing control by school crossing patrol
temporal,year_based,51,categorical__feature_pedestrian_crossing_12:Human crossing control by other authorised person
temporal,year_based,52,categorical__feature_pedestrian_crossing_13:Zebra crossing
temporal,year_based,53,categorical__feature_pedestrian_crossing_14:Pedestrian light crossing (pelican or puffin or toucan or similar)
temporal,year_based,54,categorical__feature_pedestrian_crossing_15:Pedestrian phase at traffic signal
temporal,year_based,55,categorical__feature_pedestrian_crossing_16:Footbridge or subway
temporal,year_based,56,categorical__feature_pedestrian_crossing_17:Central refuge - no other controls
temporal,year_based,57,categorical__feature_pedestrian_crossing_99:unknown (self reported)
temporal,year_based,58,categorical__feature_pedestrian_crossing___UNSEEN__
temporal,year_based,59,categorical__feature_light_conditions_-1:Data missing or out of range
temporal,year_based,60,categorical__feature_light_conditions_1:Daylight
temporal,year_based,61,categorical__feature_light_conditions_4:Darkness - lights lit
temporal,year_based,62,categorical__feature_light_conditions_5:Darkness - lights unlit
temporal,year_based,63,categorical__feature_light_conditions_6:Darkness - no lighting
temporal,year_based,64,categorical__feature_light_conditions_7:Darkness - lighting unknown
temporal,year_based,65,categorical__feature_light_conditions___UNSEEN__
temporal,year_based,66,categorical__feature_weather_conditions_-1:Data missing or out of range
