protocol,seed,feature,feature_type,training_levels,validation_unseen_count,training_missing_count,validation_missing_count,training_fitted_imputation_value
temporal,year_based,feature_speed_limit,numeric,,,92,0,30.0
temporal,year_based,feature_day_of_week,categorical,7,0,0,0,
temporal,year_based,feature_first_road_class,categorical,6,0,0,0,
temporal,year_based,feature_road_type,categorical,6,0,0,0,
temporal,year_based,feature_junction_detail,categorical,7,0,0,0,
temporal,year_based,feature_junction_control,categorical,7,0,0,0,
temporal,year_based,feature_second_road_class,categorical,9,0,0,0,
temporal,year_based,feature_pedestrian_crossing,categorical,10,0,0,0,
temporal,year_based,feature_light_conditions,categorical,6,0,0,0,
temporal,year_based,feature_weather_conditions,categorical,10,0,0,0,
temporal,year_based,feature_road_surface_conditions,categorical,7,0,0,0,
temporal,year_based,feature_special_conditions_at_site,categorical,10,0,0,0,
temporal,year_based,feature_carriageway_hazards,categorical,14,0,0,0,
temporal,year_based,feature_urban_or_rural_area,categorical,4,0,0,0,
temporal,year_based,feature_trunk_road_flag,categorical,3,0,0,0,
temporal,year_based,feature_month,categorical,12,0,0,0,
temporal,year_based,feature_hour,categorical,24,0,0,0,
random_reference,1103,feature_speed_limit,numeric,,,69,14,30.0
random_reference,1103,feature_day_of_week,categorical,7,0,0,0,
random_reference,1103,feature_first_road_class,categorical,6,0,0,0,
random_reference,1103,feature_road_type,categorical,6,0,0,0,
random_reference,1103,feature_junction_detail,categorical,7,0,0,0,
random_reference,1103,feature_junction_control,categorical,7,0,0,0,
random_reference,1103,feature_second_road_class,categorical,9,0,0,0,
random_reference,1103,feature_pedestrian_crossing,categorical,10,0,0,0,
random_reference,1103,feature_light_conditions,categorical,6,0,0,0,
random_reference,1103,feature_weather_conditions,categorical,10,0,0,0,
random_reference,1103,feature_road_surface_conditions,categorical,7,0,0,0,
random_reference,1103,feature_special_conditions_at_site,categorical,10,0,0,0,
random_reference,1103,feature_carriageway_hazards,categorical,14,0,0,0,
random_reference,1103,feature_urban_or_rural_area,categorical,4,0,0,0,
random_reference,1103,feature_trunk_road_flag,categorical,3,0,0,0,
random_reference,1103,feature_month,categorical,12,0,0,0,
random_reference,1103,feature_hour,categorical,24,0,0,0,
random_reference,2207,feature_speed_limit,numeric,,,59,19,30.0
random_reference,2207,feature_day_of_week,categorical,7,0,0,0,
