meta_collision_year,meta_injury_based,target_severity,records
2018,0,0,64451
2018,0,1,14158
2018,0,2,1052
2018,1,0,33545
2018,1,1,8810
2018,1,2,619
2019,0,0,55304
2019,0,1,11820
2019,0,2,904
2019,1,0,37594
2019,1,1,11160
2019,1,2,754
2020,0,0,41150
2020,0,1,8428
2020,0,2,666
2020,1,0,30303
2020,1,1,9927
2020,1,2,725
2021,0,0,41462
2021,0,1,8867
2021,0,2,600
2021,1,0,36867
2021,1,1,12417
2021,1,2,874
2022,0,0,40599
2022,0,1,9092
2022,0,2,584
2022,1,0,40470
2022,1,1,14241
2022,1,2,1018
2023,0,0,38986
2023,0,1,8685
2023,0,2,570
2023,1,0,40312
2023,1,1,14753
2023,1,2,952
2024,0,0,33435
2024,0,1,7743
2024,0,2,452
2024,1,0,42423
2024,1,1,15824
2024,1,2,1050
