evaluation_design,metric,higher_is_better,group_count,point_difference_mean,point_difference_sd,point_difference_min,point_difference_max,groups_favoring_lightgbm
random_2025_diagnostic,accuracy,True,5,0.02705369000189718,0.01731546051490001,-0.0002845759817871052,0.04287611458926205,4
random_2025_diagnostic,fatal_recall,True,5,-0.17374517374517376,0.014186234031562776,-0.19691119691119685,-0.16216216216216223,0
random_2025_diagnostic,macro_f1,True,5,0.006743607165283183,0.004738361433874994,-0.0013243804569635365,0.010274347254575211,4
random_2025_diagnostic,mean_asymmetric_cost,False,5,-0.052646556630620386,0.013179381151497874,-0.06421931322329733,-0.030449630051223697,5
random_2025_diagnostic,minor_recall,True,5,0.031841401118949134,0.029577167335558725,-0.014594989053758223,0.05935295548528341,4
random_2025_diagnostic,ordinal_mae,False,5,-0.07419844431796623,0.0161763083293256,-0.09040030354771389,-0.049326503509770414,5
random_2025_diagnostic,qwk,True,5,-0.008394169090252123,0.010521572353935625,-0.026925963340323045,-0.0014941480941604857,0
random_2025_diagnostic,serious_or_fatal_recall,True,5,-0.05913793103448275,0.02021593080968034,-0.08275862068965512,-0.03448275862068961,0
random_2025_diagnostic,serious_recall,True,5,0.0331877729257642,0.030850566036073272,0.0029112081513828214,0.08151382823871911,5
random_internal_test,accuracy,True,5,0.031757724575404156,0.01826174911733601,0.009208103130755096,0.05831798649478209,5
random_internal_test,fatal_recall,True,5,-0.15789473684210525,0.05395751915190721,-0.22556390977443608,-0.09774436090225569,0
random_internal_test,macro_f1,True,5,0.009904990905901644,0.005883649739008381,0.004046703701972965,0.018887551769824984,5
random_internal_test,mean_asymmetric_cost,False,5,-0.05921833435645592,0.014442055511510137,-0.07918968692449357,-0.04092490280335592,5
random_internal_test,minor_recall,True,5,0.03934942287513114,0.029178185955885953,0.0013116474291710034,0.07974816369359916,5
random_internal_test,ordinal_mae,False,5,-0.08209535502353182,0.017330017223567133,-0.10926949048496015,-0.06568446899938618,5
random_internal_test,qwk,True,5,-0.004835711858570591,0.00831002650277603,-0.017699709665513597,0.005401736687453029,1
random_internal_test,serious_or_fatal_recall,True,5,-0.06493023255813953,0.028576465599417244,-0.10883720930232554,-0.037209302325581395,0
random_internal_test,serious_recall,True,5,0.027813163481953285,0.02894022795989594,-0.00424628450106157,0.06475583864118895,4
temporal_test,accuracy,True,1,0.010813887307911219,,0.010813887307911219,0.010813887307911219,1
temporal_test,fatal_recall,True,1,-0.16216216216216217,,-0.16216216216216217,-0.16216216216216217,0
temporal_test,macro_f1,True,1,-0.0007218047669418359,,-0.0007218047669418359,-0.0007218047669418359,0
temporal_test,mean_asymmetric_cost,False,1,-0.022102067918800983,,-0.022102067918800983,-0.022102067918800983,1
temporal_test,minor_recall,True,1,0.013621989783507593,,0.013621989783507593,0.013621989783507593,1
temporal_test,ordinal_mae,False,1,-0.03984063745019917,,-0.03984063745019917,-0.03984063745019917,1
temporal_test,qwk,True,1,-0.014584394024504732,,-0.014584394024504732,-0.014584394024504732,0
temporal_test,serious_or_fatal_recall,True,1,-0.04439655172413792,,-0.04439655172413792,-0.04439655172413792,0
temporal_test,serious_recall,True,1,0.021348859776807394,,0.021348859776807394,0.021348859776807394,1
