protocol,seed,evaluation_role,model,true_code,true_label,predicted_code,predicted_label,count,row_pct
temporal_tuning,year_based,validation,C01,0,Slight,0,Slight,46581,0.5874170849201745
temporal_tuning,year_based,validation,C01,0,Slight,1,Serious,19416,0.24484854599107164
temporal_tuning,year_based,validation,C01,0,Slight,2,Fatal,13301,0.1677343690887538
temporal_tuning,year_based,validation,C01,1,Serious,0,Slight,10518,0.4487584264869016
temporal_tuning,year_based,validation,C01,1,Serious,1,Serious,7006,0.2989162897858179
temporal_tuning,year_based,validation,C01,1,Serious,2,Fatal,5914,0.25232528372728047
temporal_tuning,year_based,validation,C01,2,Fatal,0,Slight,373,0.24507227332457293
temporal_tuning,year_based,validation,C01,2,Fatal,1,Serious,339,0.22273324572930356
temporal_tuning,year_based,validation,C01,2,Fatal,2,Fatal,810,0.5321944809461235
temporal_tuning,year_based,validation,C02,0,Slight,0,Slight,47427,0.5980857020353603
temporal_tuning,year_based,validation,C02,0,Slight,1,Serious,20727,0.261381119322051
temporal_tuning,year_based,validation,C02,0,Slight,2,Fatal,11144,0.1405331786425887
temporal_tuning,year_based,validation,C02,1,Serious,0,Slight,10869,0.4637341070057172
temporal_tuning,year_based,validation,C02,1,Serious,1,Serious,7537,0.32157180646812866
temporal_tuning,year_based,validation,C02,1,Serious,2,Fatal,5032,0.2146940865261541
temporal_tuning,year_based,validation,C02,2,Fatal,0,Slight,389,0.2555847568988173
temporal_tuning,year_based,validation,C02,2,Fatal,1,Serious,418,0.27463863337713534
temporal_tuning,year_based,validation,C02,2,Fatal,2,Fatal,715,0.46977660972404733
temporal_tuning,year_based,validation,C03,0,Slight,0,Slight,48271,0.6087290978334888
temporal_tuning,year_based,validation,C03,0,Slight,1,Serious,22254,0.2806375948952054
temporal_tuning,year_based,validation,C03,0,Slight,2,Fatal,8773,0.11063330727130571
temporal_tuning,year_based,validation,C03,1,Serious,0,Slight,11249,0.4799470944619848
temporal_tuning,year_based,validation,C03,1,Serious,1,Serious,8136,0.3471285945899821
temporal_tuning,year_based,validation,C03,1,Serious,2,Fatal,4053,0.17292431094803312
temporal_tuning,year_based,validation,C03,2,Fatal,0,Slight,439,0.28843626806833117
temporal_tuning,year_based,validation,C03,2,Fatal,1,Serious,493,0.32391590013140603
temporal_tuning,year_based,validation,C03,2,Fatal,2,Fatal,590,0.3876478318002628
temporal_tuning,year_based,validation,C04,0,Slight,0,Slight,47415,0.5979343741330172
temporal_tuning,year_based,validation,C04,0,Slight,1,Serious,20754,0.2617216071023229
temporal_tuning,year_based,validation,C04,0,Slight,2,Fatal,11129,0.14034401876465988
temporal_tuning,year_based,validation,C04,1,Serious,0,Slight,10827,0.461942145234235
temporal_tuning,year_based,validation,C04,1,Serious,1,Serious,7566,0.32280911340558066
temporal_tuning,year_based,validation,C04,1,Serious,2,Fatal,5045,0.21524874136018432
temporal_tuning,year_based,validation,C04,2,Fatal,0,Slight,396,0.26018396846254926
temporal_tuning,year_based,validation,C04,2,Fatal,1,Serious,415,0.2726675427069645
temporal_tuning,year_based,validation,C04,2,Fatal,2,Fatal,711,0.4671484888304862
temporal_tuning,year_based,validation,C05,0,Slight,0,Slight,47167,0.5948069308179273
temporal_tuning,year_based,validation,C05,0,Slight,1,Serious,20975,0.2645085626371409
temporal_tuning,year_based,validation,C05,0,Slight,2,Fatal,11156,0.14068450654493178
temporal_tuning,year_based,validation,C05,1,Serious,0,Slight,10817,0.4615154876695964
temporal_tuning,year_based,validation,C05,1,Serious,1,Serious,7578,0.32332110248314705
temporal_tuning,year_based,validation,C05,1,Serious,2,Fatal,5043,0.2151634098472566
temporal_tuning,year_based,validation,C05,2,Fatal,0,Slight,396,0.26018396846254926
temporal_tuning,year_based,validation,C05,2,Fatal,1,Serious,413,0.27135348226018396
temporal_tuning,year_based,validation,C05,2,Fatal,2,Fatal,713,0.46846254927726677
temporal_tuning,year_based,validation,C06,0,Slight,0,Slight,47155,0.5946556029155843
temporal_tuning,year_based,validation,C06,0,Slight,1,Serious,21016,0.26502559963681305
temporal_tuning,year_based,validation,C06,0,Slight,2,Fatal,11127,0.1403187974476027
temporal_tuning,year_based,validation,C06,1,Serious,0,Slight,10739,0.45818755866541516
temporal_tuning,year_based,validation,C06,1,Serious,1,Serious,7739,0.3301902892738288
temporal_tuning,year_based,validation,C06,1,Serious,2,Fatal,4960,0.21162215206075605
temporal_tuning,year_based,validation,C06,2,Fatal,0,Slight,391,0.2568988173455979
temporal_tuning,year_based,validation,C06,2,Fatal,1,Serious,424,0.278580814717477
temporal_tuning,year_based,validation,C06,2,Fatal,2,Fatal,707,0.4645203679369251
