model,true_code,true_label,predicted_code,predicted_label,error_direction,ordinal_distance,asymmetric_cost_per_case,count,share_within_true_class,mean_assigned_class_probability,median_assigned_class_probability,p90_assigned_class_probability
logistic_weighted,0,Slight,1,Serious,overestimate,1,1.0,9264,0.12212291386538006,0.421300730812477,0.41828368724278897,0.47826470340259236
logistic_weighted,0,Slight,2,Fatal,overestimate,2,2.0,6025,0.07942471459832845,0.4862016097667785,0.4655642487136722,0.6316197653328438
logistic_weighted,1,Serious,0,Slight,underestimate,1,2.0,17807,0.7555904442652862,0.5590135482327807,0.5559127393019925,0.6895578672869181
logistic_weighted,1,Serious,2,Fatal,overestimate,1,1.0,2112,0.08961683710272839,0.5002092962273345,0.48162559789594195,0.6553866804251592
logistic_weighted,2,Fatal,0,Slight,underestimate,2,5.0,952,0.6338215712383488,0.535064888723702,0.5342895674955657,0.6553570228538679
logistic_weighted,2,Fatal,1,Serious,underestimate,1,3.0,223,0.1484687083888149,0.42539215099708416,0.4222103666872189,0.4821779281803345
lightgbm_weighted,0,Slight,1,Serious,overestimate,1,1.0,12976,0.1710564475730971,0.5055231639420364,0.5024393462486023,0.6056059529856861
lightgbm_weighted,0,Slight,2,Fatal,overestimate,2,2.0,2993,0.03945529805689578,0.5055474287599593,0.4900759001703842,0.6498909164630533
lightgbm_weighted,1,Serious,0,Slight,underestimate,1,2.0,17282,0.7333135316332159,0.6262656956316841,0.6252781629056154,0.7687606789551015
lightgbm_weighted,1,Serious,2,Fatal,overestimate,1,1.0,1070,0.04540246955488607,0.5227421333483078,0.5069636995559751,0.669576711325799
lightgbm_weighted,2,Fatal,0,Slight,underestimate,2,5.0,897,0.5972037283621837,0.6170003895032671,0.6103309592342122,0.7655310168978875
lightgbm_weighted,2,Fatal,1,Serious,underestimate,1,3.0,429,0.2856191744340879,0.5276945159526775,0.5228516887626827,0.627278133281582
