meta_collision_index,model,target_severity,true_label,predicted_severity,predicted_label,error_type,assigned_class_probability,prob_slight,prob_serious,prob_fatal,selection_rule,appendix_interpretation,meta_collision_year,meta_date,meta_police_force,feature_day_of_week,feature_first_road_class,feature_road_type,feature_junction_detail,feature_junction_control,feature_second_road_class,feature_pedestrian_crossing,feature_light_conditions,feature_weather_conditions,feature_road_surface_conditions,feature_special_conditions_at_site,feature_carriageway_hazards,feature_urban_or_rural_area,feature_trunk_road_flag,feature_speed_limit,feature_month,feature_hour
2024311447225,logistic_weighted,2,Fatal,0,Slight,Fatal_to_Slight,0.8505064975674262,0.8505064975674262,0.1380804119092774,0.0114130905232964,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-04-23,31,3:Tuesday,6:Unclassified,3:Dual carriageway,0:Not at junction or within 20 metres,-1:Data missing or out of range,-1:Data missing or out of range,0:No physical crossing facility within 50m,1:Daylight,8:Other,-1:Data missing or out of range,-1:Data missing or out of range,0:None,1:Urban,2:Non-trunk,20.0,M04,H15
2024311519985,logistic_weighted,2,Fatal,0,Slight,Fatal_to_Slight,0.8334040061476361,0.8334040061476361,0.1663503719591568,0.0002456218932071,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-11-22,31,6:Friday,6:Unclassified,1:Roundabout,-1:Data missing or out of range,4:Give way or uncontrolled,6:Unclassified,0:No physical crossing facility within 50m,1:Daylight,8:Other,3:Snow,-1:Data missing or out of range,0:None,1:Urban,2:Non-trunk,30.0,M11,H09
2024061403860,logistic_weighted,2,Fatal,0,Slight,Fatal_to_Slight,0.8069096200178141,0.8069096200178141,0.140966869657109,0.0521235103250768,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-01-29,6,2:Monday,1:Motorway,3:Dual carriageway,0:Not at junction or within 20 metres,-1:Data missing or out of range,-1:Data missing or out of range,0:No physical crossing facility within 50m,1:Daylight,2:Raining no high winds,2:Wet or damp,-1:Data missing or out of range,0:None,1:Urban,1:Trunk (Roads managed by Highways England),70.0,M01,H09
2024991524085,logistic_weighted,2,Fatal,1,Serious,Fatal_to_Serious,0.5416511685463979,0.3876474828073579,0.5416511685463979,0.0707013486462441,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-12-01,99,1:Sunday,6:Unclassified,6:Single carriageway,19:Other junction,4:Give way or uncontrolled,6:Unclassified,14:Pedestrian light crossing (pelican or puffin or toucan or similar),4:Darkness - lights lit,1:Fine no high winds,2:Wet or damp,-1:Data missing or out of range,0:None,1:Urban,-1:Data missing or out of range,20.0,M12,H17
2024991468854,logistic_weighted,2,Fatal,1,Serious,Fatal_to_Serious,0.5265839418299816,0.2906956180762586,0.5265839418299816,0.1827204400937597,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-07-17,99,4:Wednesday,4:B,6:Single carriageway,19:Other junction,4:Give way or uncontrolled,6:Unclassified,0:No physical crossing facility within 50m,1:Daylight,1:Fine no high winds,1:Dry,-1:Data missing or out of range,0:None,2:Rural,-1:Data missing or out of range,60.0,M07,H07
2024201435114,logistic_weighted,2,Fatal,1,Serious,Fatal_to_Serious,0.517972444112496,0.4224837832331635,0.517972444112496,0.0595437726543405,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-04-14,20,1:Sunday,6:Unclassified,6:Single carriageway,13:T or staggered junction,4:Give way or uncontrolled,6:Unclassified,0:No physical crossing facility within 50m,4:Darkness - lights lit,1:Fine no high winds,1:Dry,-1:Data missing or out of range,17:Other object in carriageway,1:Urban,2:Non-trunk,30.0,M04,H19
2024010505646,logistic_weighted,1,Serious,0,Slight,Serious_to_Slight,0.948428286270084,0.948428286270084,0.0515706222785561,1.091451359657204e-06,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-04-12,1,6:Friday,6:Unclassified,9:Unknown,-1:Data missing or out of range,9:unknown (self reported),6:Unclassified,99:unknown (self reported),1:Daylight,9:Unknown,1:Dry,9:unknown (self reported),0:None,1:Urban,2:Non-trunk,30.0,M04,H17
2024010532871,logistic_weighted,1,Serious,0,Slight,Serious_to_Slight,0.9299010299630264,0.9299010299630264,0.0700975982592647,1.3717777089243115e-06,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-09-18,1,4:Wednesday,5:C,9:Unknown,-1:Data missing or out of range,9:unknown (self reported),6:Unclassified,99:unknown (self reported),1:Daylight,9:Unknown,9:unknown (self reported),9:unknown (self reported),99:unknown (self reported),1:Urban,2:Non-trunk,20.0,M09,H09
2024010519571,logistic_weighted,1,Serious,0,Slight,Serious_to_Slight,0.9223342538942022,0.9223342538942022,0.0776641059008467,1.6402049510644806e-06,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-07-01,1,2:Monday,5:C,9:Unknown,-1:Data missing or out of range,9:unknown (self reported),6:Unclassified,99:unknown (self reported),1:Daylight,9:Unknown,9:unknown (self reported),9:unknown (self reported),99:unknown (self reported),1:Urban,2:Non-trunk,20.0,M07,H12
2024320323210,logistic_weighted,0,Slight,2,Fatal,Slight_to_Fatal,0.8793039555161303,0.0445814882149715,0.0761145562688981,0.8793039555161303,highest incorrect assigned-class probability; tie by collision_index,illustrative high-confidence error; not representative or causal,2024,2024-06-02,32,1:Sunday,3:A,6:Single carriageway,0:Not at junction or within 20 metres,-1:Data missing or out of range,0:Not at junction or within 20 metres,11:Human crossing control by school crossing patrol,-1:Data missing or out of range,1:Fine no high winds,-1:Data missing or out of range,0:None,0:None,2:Rural,2:Non-trunk,60.0,M06,H11
