seed,model,comparison,output_scope,features_ranked,internal_sample_rows,future_sample_rows,spearman_rho,ci_lower,ci_upper,bootstrap_iterations
1103,lightgbm_weighted,same_model_random_internal_vs_2024,overall_equal_class_mean,17,10000,10000,0.6151960784313726,0.5955882352941176,0.6200980392156863,2000
1103,lightgbm_weighted,same_model_random_internal_vs_2024,Slight,17,10000,10000,0.6519607843137255,0.5931372549019608,0.6617647058823529,2000
1103,lightgbm_weighted,same_model_random_internal_vs_2024,Serious,17,10000,10000,0.8357843137254902,0.8308823529411765,0.8676470588235294,2000
1103,lightgbm_weighted,same_model_random_internal_vs_2024,Fatal,17,10000,10000,0.6200980392156864,0.6078431372549019,0.6642156862745098,2000
2207,lightgbm_weighted,same_model_random_internal_vs_2024,overall_equal_class_mean,17,10000,10000,0.5833333333333334,0.5735294117647058,0.5906862745098039,2000
2207,lightgbm_weighted,same_model_random_internal_vs_2024,Slight,17,10000,10000,0.5294117647058825,0.5220588235294118,0.5441176470588235,2000
2207,lightgbm_weighted,same_model_random_internal_vs_2024,Serious,17,10000,10000,0.9411764705882353,0.9215686274509803,0.9583333333333334,2000
2207,lightgbm_weighted,same_model_random_internal_vs_2024,Fatal,17,10000,10000,0.7303921568627452,0.6838235294117647,0.7352941176470589,2000
3301,lightgbm_weighted,same_model_random_internal_vs_2024,overall_equal_class_mean,17,10000,10000,0.5710784313725491,0.5661764705882353,0.5955882352941176,2000
3301,lightgbm_weighted,same_model_random_internal_vs_2024,Slight,17,10000,10000,0.5049019607843138,0.48284313725490197,0.5343137254901961,2000
3301,lightgbm_weighted,same_model_random_internal_vs_2024,Serious,17,10000,10000,0.8284313725490197,0.821078431372549,0.8480392156862745,2000
3301,lightgbm_weighted,same_model_random_internal_vs_2024,Fatal,17,10000,10000,0.7132352941176472,0.6740196078431373,0.7549019607843137,2000
4409,lightgbm_weighted,same_model_random_internal_vs_2024,overall_equal_class_mean,17,10000,10000,0.6323529411764707,0.6102941176470589,0.6691176470588235,2000
4409,lightgbm_weighted,same_model_random_internal_vs_2024,Slight,17,10000,10000,0.536764705882353,0.5171568627450981,0.5735294117647058,2000
4409,lightgbm_weighted,same_model_random_internal_vs_2024,Serious,17,10000,10000,0.9460784313725492,0.9411764705882353,0.9632352941176471,2000
4409,lightgbm_weighted,same_model_random_internal_vs_2024,Fatal,17,10000,10000,0.7549019607843138,0.75,0.7696078431372549,2000
5501,lightgbm_weighted,same_model_random_internal_vs_2024,overall_equal_class_mean,17,10000,10000,0.627450980392157,0.6029411764705882,0.6299019607843137,2000
5501,lightgbm_weighted,same_model_random_internal_vs_2024,Slight,17,10000,10000,0.607843137254902,0.5906862745098039,0.6200980392156863,2000
5501,lightgbm_weighted,same_model_random_internal_vs_2024,Serious,17,10000,10000,0.911764705882353,0.9044117647058824,0.9215686274509803,2000
5501,lightgbm_weighted,same_model_random_internal_vs_2024,Fatal,17,10000,10000,0.6936274509803922,0.6715073529411765,0.7009803921568627,2000
