split_slug,seed,explanation_cohort,sample_key,rows,features,classes,runtime_seconds,max_abs_additivity_error,unseen_category_total
random_seed_1103,1103,random_internal_test,random_seed_1103_internal,10000,17,3,117.97951279999688,6.483702463810914e-14,0
random_seed_1103,1103,future_2024,future_2024,10000,17,3,113.29012719995808,7.016609515630989e-14,1
random_seed_2207,2207,random_internal_test,random_seed_2207_internal,10000,17,3,116.61502279998967,7.993605777301127e-14,0
random_seed_2207,2207,future_2024,future_2024,10000,17,3,116.14230830001179,7.105427357601002e-14,1
random_seed_3301,3301,random_internal_test,random_seed_3301_internal,10000,17,3,112.49146929994458,8.171241461241152e-14,0
random_seed_3301,3301,future_2024,future_2024,10000,17,3,112.69706370000495,8.526512829121202e-14,1
random_seed_4409,4409,random_internal_test,random_seed_4409_internal,10000,17,3,117.47479210002348,8.881784197001252e-14,0
random_seed_4409,4409,future_2024,future_2024,10000,17,3,118.17490809998708,8.704148513061227e-14,1
random_seed_5501,5501,random_internal_test,random_seed_5501_internal,10000,17,3,115.48905899998499,6.927791673660977e-14,0
random_seed_5501,5501,future_2024,future_2024,10000,17,3,115.8303053000127,8.348877145181177e-14,1
temporal,year_based,future_2024,future_2024,10000,17,3,224.7394705999759,7.638334409421077e-14,1
