comparison,definition,metric,direction,raw_delta,raw_ci_lower,raw_ci_upper,oriented_advantage,oriented_ci_lower,oriented_ci_upper,positive_oriented_value_favors,bootstrap_iterations
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,macro_f1,higher_is_better,0.020623367567970008,0.017397641318130277,0.023891514662172018,0.020623367567970008,0.017397641318130277,0.023891514662172018,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,macro_f1,higher_is_better,-0.0038384615115438225,-0.0050540571135247545,-0.002585009375161341,-0.0038384615115438225,-0.0050540571135247545,-0.002585009375161341,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,macro_f1,higher_is_better,0.0028892668102077357,0.0003554514466431888,0.005385172284620382,0.0028892668102077357,0.0003554514466431888,0.005385172284620382,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,macro_f1,higher_is_better,0.006727728321751558,0.003924435118324875,0.009489722968151206,0.006727728321751558,0.003924435118324875,0.009489722968151206,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,qwk,higher_is_better,0.02701754821160296,0.02107320660135507,0.03274673211216325,0.02701754821160296,0.02107320660135507,0.03274673211216325,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,qwk,higher_is_better,-0.0058062091375695735,-0.007666383413409947,-0.003866407394034166,-0.0058062091375695735,-0.007666383413409947,-0.003866407394034166,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,qwk,higher_is_better,0.0074842302873563415,0.0027316189498048983,0.011907986273484893,0.0074842302873563415,0.0027316189498048983,0.011907986273484893,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,qwk,higher_is_better,0.013290439424925915,0.008094393912375783,0.018157809956331095,0.013290439424925915,0.008094393912375783,0.018157809956331095,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,ordinal_mae,lower_is_better,-0.03550090659585642,-0.03841439852566709,-0.032528461165000466,0.03550090659585642,0.032528461165000466,0.03841439852566709,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,ordinal_mae,lower_is_better,-0.0037353730914422845,-0.0048252697494228225,-0.0026851090392065458,0.0037353730914422845,0.0026851090392065458,0.0048252697494228225,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,ordinal_mae,lower_is_better,-0.0013574167467575449,-0.0035372100627185667,0.000901889484478867,0.0013574167467575449,-0.0009018894844788683,0.0035372100627185667,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,ordinal_mae,lower_is_better,0.0023779563446847396,-0.00014911767911458538,0.004845086052295222,-0.0023779563446847396,-0.004845086052295222,0.0001491176791145827,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,accuracy,higher_is_better,0.003051710642345551,0.000574425079512908,0.0055289962051779705,0.003051710642345551,0.000574425079512908,0.0055289962051779705,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,accuracy,higher_is_better,0.002516670464791315,0.0016447531384069514,0.003448036699792878,0.002516670464791315,0.0016447531384069514,0.003448036699792878,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,accuracy,higher_is_better,-0.001724018349896439,-0.0038247941581539325,0.0002576119373407515,-0.001724018349896439,-0.0038247941581539325,0.0002576119373407515,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,accuracy,higher_is_better,-0.004240688814687754,-0.006519811348796626,-0.001991043031101694,-0.004240688814687754,-0.006519811348796626,-0.001991043031101694,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,fatal_recall,higher_is_better,-0.09187749667110519,-0.10652463382157125,-0.07656458055925433,-0.09187749667110519,-0.10652463382157125,-0.07656458055925433,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,fatal_recall,higher_is_better,-0.01664447403462052,-0.023968042609853524,-0.00932090545938749,-0.01664447403462052,-0.023968042609853524,-0.00932090545938749,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,fatal_recall,higher_is_better,-0.007989347536617841,-0.017310252996005332,0.0013315579227696356,-0.007989347536617841,-0.017310252996005332,0.0013315579227696356,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,fatal_recall,higher_is_better,0.00865512649800268,-0.0026631158455392573,0.019973368841544603,0.00865512649800268,-0.0026631158455392573,0.019973368841544603,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,serious_or_fatal_recall,higher_is_better,0.052694563006103146,0.04754776815987872,0.05792113766005823,0.052694563006103146,0.04754776815987872,0.05792113766005823,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,serious_or_fatal_recall,higher_is_better,-0.013961466352866103,-0.015916071642267327,-0.011966971159599493,-0.013961466352866103,-0.015916071642267327,-0.011966971159599493,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,serious_or_fatal_recall,higher_is_better,0.015596952411344678,0.01088894650763892,0.02034484821891576,0.015596952411344678,0.01088894650763892,0.02034484821891576,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,serious_or_fatal_recall,higher_is_better,0.02955841876421078,0.024451513821851633,0.03434620447564725,0.02955841876421078,0.024451513821851633,0.03434620447564725,larger LightGBM advantage after excluding 2020,2000
sensitivity_H2,exclude2020 LightGBM minus exclude2020 Logistic,mean_asymmetric_cost,lower_is_better,-0.04585492484667131,-0.049511280430410066,-0.04208908418956277,0.04585492484667131,0.04208908418956277,0.049511280430410066,first_named_model_or_exclude2020,2000
exclude2020_effect_logistic,exclude2020 Logistic minus main Logistic,mean_asymmetric_cost,lower_is_better,0.00022788748303226303,-0.0011790700209062255,0.0015654879269175748,-0.00022788748303226303,-0.0015654879269175748,0.0011790700209062255,first_named_model_or_exclude2020,2000
exclude2020_effect_lightgbm,exclude2020 LightGBM minus main LightGBM,mean_asymmetric_cost,lower_is_better,-0.004993708323837942,-0.00789704439842662,-0.0018230998642583263,0.004993708323837942,0.0018230998642583263,0.007897044398426619,first_named_model_or_exclude2020,2000
H2_contrast_change,exclude2020 H2 contrast minus main H2 contrast,mean_asymmetric_cost,lower_is_better,-0.005221595806870205,-0.008472212589297243,-0.0019803917683078945,0.005221595806870205,0.0019803917683078875,0.00847221258929724,larger LightGBM advantage after excluding 2020,2000
