protocol,seed,evaluation_role,model,true_code,true_label,predicted_code,predicted_label,count,row_pct
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,0,Slight,0,Slight,44082,0.5559030492572322
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,0,Slight,1,Serious,18003,0.2270296854901763
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,0,Slight,2,Fatal,17213,0.21706726525259148
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,1,Serious,0,Slight,9821,0.4190203942315897
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,1,Serious,1,Serious,6328,0.2699889069033194
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,1,Serious,2,Fatal,7289,0.3109906988650909
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,2,Fatal,0,Slight,327,0.21484888304862024
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,2,Fatal,1,Serious,278,0.18265440210249673
exclude2020_temporal_sensitivity,year_based,validation,logistic_weighted,2,Fatal,2,Fatal,917,0.602496714848883
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,0,Slight,0,Slight,48568,0.6124744634164796
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,0,Slight,1,Serious,22715,0.28645110847688465
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,0,Slight,2,Fatal,8015,0.10107442810663572
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,1,Serious,0,Slight,11334,0.4835736837614131
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,1,Serious,1,Serious,8349,0.35621640071678473
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,1,Serious,2,Fatal,3755,0.1602099155218022
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,2,Fatal,0,Slight,453,0.297634691195795
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,2,Fatal,1,Serious,503,0.3304862023653088
exclude2020_temporal_sensitivity,year_based,validation,lightgbm_weighted,2,Fatal,2,Fatal,566,0.3718791064388962
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,0,Slight,0,Slight,61099,0.8054391099158955
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,0,Slight,1,Serious,8884,0.11711355427245643
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,0,Slight,2,Fatal,5875,0.07744733581164807
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,1,Serious,0,Slight,18130,0.7692960495608265
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,1,Serious,1,Serious,3397,0.14414223278312896
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,1,Serious,2,Fatal,2040,0.08656171765604447
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,2,Fatal,0,Slight,979,0.651797603195739
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,2,Fatal,1,Serious,221,0.14713715046604528
exclude2020_temporal_sensitivity,year_based,test,logistic_weighted,2,Fatal,2,Fatal,302,0.2010652463382157
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,0,Slight,0,Slight,59307,0.7818160246776873
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,0,Slight,1,Serious,13807,0.1820111260513064
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,0,Slight,2,Fatal,2744,0.036172849271006356
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,1,Serious,0,Slight,16953,0.7193533330504519
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,1,Serious,1,Serious,5635,0.2391055289175542
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,1,Serious,2,Fatal,979,0.04154113803199389
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,2,Fatal,0,Slight,835,0.5559254327563249
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,2,Fatal,1,Serious,503,0.3348868175765646
exclude2020_temporal_sensitivity,year_based,test,lightgbm_weighted,2,Fatal,2,Fatal,164,0.10918774966711052
