evaluation_group,evaluation_design,seed,metric,higher_is_better,contrast,logistic_value,lightgbm_value,point_difference,ci_lower,ci_upper,iterations,valid_iterations,bootstrap_design
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,accuracy,True,lightgbm_minus_logistic,0.47694934547524187,0.51982546006450392,0.042876114589262049,0.033769683172073628,0.052551697970024625,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,fatal_recall,True,lightgbm_minus_logistic,0.59073359073359077,0.42857142857142855,-0.16216216216216223,-0.21235521235521237,-0.11196911196911197,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,macro_f1,True,lightgbm_minus_logistic,0.32654761580063402,0.33682196305520923,0.010274347254575211,0.0015774638307907306,0.01919293404803131,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.83779169038133183,0.77357237715803451,-0.064219313223297325,-0.079683646366913233,-0.049134414722064097,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,minor_recall,True,lightgbm_minus_logistic,0.53077110192167354,0.59012405740695695,0.05935295548528341,0.049136463147652631,0.070177572366820762,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,ordinal_mae,False,lightgbm_minus_logistic,0.73781066211345092,0.64741035856573703,-0.090400303547713889,-0.1031113640675394,-0.077966704610130957,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,qwk,True,lightgbm_minus_logistic,0.099661574246413531,0.096807787102043186,-0.0028537871443703455,-0.014118918353961391,0.008966980922462342,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,serious_or_fatal_recall,True,lightgbm_minus_logistic,0.63706896551724135,0.55431034482758623,-0.082758620689655116,-0.10215517241379313,-0.062489224137931093,2000,2000,paired_stratified
random_seed_1103_2025_diagnostic,random_2025_diagnostic,1103,serious_recall,True,lightgbm_minus_logistic,0.24793789422610382,0.25084910237748664,0.0029112081513828214,-0.019420184376516283,0.025715672003881612,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,accuracy,True,lightgbm_minus_logistic,0.47779824022917944,0.53611622672396153,0.058317986494782093,0.045012277470840988,0.072851442602823849,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,fatal_recall,True,lightgbm_minus_logistic,0.5714285714285714,0.45864661654135336,-0.11278195488721804,-0.18796992481203006,-0.037593984962406068,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,macro_f1,True,lightgbm_minus_logistic,0.32546644038290934,0.34435399215273432,0.018887551769824984,0.00579282680334481,0.032212996976088509,2000,2000,paired_stratified
random_seed_1103_internal_test,random_internal_test,1103,mean_asymmetric_cost,False,lightgbm_minus_logistic,0.84325762226314716,0.76406793533865358,-0.079189686924493574,-0.10149887456517291,-0.05606200122774712,2000,2000,paired_stratified
