dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
cas,1103,future,Fatal,feature_advisory_speed,0.052866936479780642,13,-0.0015004245570407356,0.91160220994475138,0.088397790055248615
cas,1103,future,Fatal,feature_light,0.20718432506145942,6,-0.011365322353279628,0.40311029261305503,0.59688970738694491
cas,1103,future,Fatal,feature_number_of_lanes,0.37082062830382018,2,0.0079396456294239821,0.81133619807652957,0.18866380192347043
cas,1103,future,Fatal,feature_road_character,0.089038124252463782,11,-0.0010274239190957654,0.94454675670145283,0.055453243298547165
cas,1103,future,Fatal,feature_road_lane,0.29688939896518729,4,-0.025606000353664712,0.84980560671168404,0.15019439328831594
cas,1103,future,Fatal,feature_road_surface,0.015657827661240336,15,0.003157678281076434,0.33803969715571924,0.66196030284428076
cas,1103,future,Fatal,feature_speed_limit,0.38725653360345752,1,-0.0077138358385792812,0.43441784325762228,0.56558215674237777
cas,1103,future,Fatal,feature_state_highway,0.15095914321524542,8,0.00593501999407158,0.34192756292203808,0.65807243707796192
cas,1103,future,Fatal,feature_street_light,0.17839518749911026,7,0.010403227429816387,0.52404338039697151,0.47595661960302843
cas,1103,future,Fatal,feature_temporary_speed_limit,0.12900633355200711,10,-0.0073073172653493447,0.96419071004706369,0.035809289952936363
cas,1103,future,Fatal,feature_terrain,0.076700421535210297,12,-0.0047189053820823447,0.44976468180888068,0.55023531819111926
cas,1103,future,Fatal,feature_traffic_control,0.30098680517695975,3,0.026747139141811441,0.67546552076938815,0.32453447923061185
cas,1103,future,Fatal,feature_urban,0.15001407039606704,9,-0.0074410467214419615,0.3830570902394107,0.6169429097605893
cas,1103,future,Fatal,feature_weather_primary,0.23677904618306209,5,0.010946001671852165,0.8033558420298752,0.19664415797012483
cas,1103,future,Fatal,feature_weather_secondary,0.051719599284719912,14,-0.001894041163123125,0.95805197462656022,0.041948025373439737
cas,1103,future,Minor,feature_advisory_speed,0.022188495438958435,14,-0.0010772804168690826,0.15203601391446694,0.84796398608553303
cas,1103,future,Minor,feature_light,0.095629415326503112,6,0.0088366802937156555,0.59075097196644155,0.40924902803355839
cas,1103,future,Minor,feature_number_of_lanes,0.06944146558979139,7,-0.00056034654117671746,0.26846736239001434,0.73153263760998566
cas,1103,future,Minor,feature_road_character,0.035624663306993549,12,0.0016289866123075732,0.045835891139758542,0.9541641088602415
cas,1103,future,Minor,feature_road_lane,0.10200944175589781,4,0.0044255966349921703,0.20871700429711479,0.79128299570288518
cas,1103,future,Minor,feature_road_surface,0.0061204385907106199,15,0.00043915814000826614,0.41600163699611215,0.58399836300388785
cas,1103,future,Minor,feature_speed_limit,0.168398766346641,1,0.0044324198890595221,0.58870472682627384,0.41129527317372622
cas,1103,future,Minor,feature_state_highway,0.056673880743915155,8,0.00012998976179951017,0.62021690198485779,0.37978309801514221
cas,1103,future,Minor,feature_street_light,0.1191910208320882,3,-0.00058375158583176144,0.59893595252711274,0.40106404747288726
cas,1103,future,Minor,feature_temporary_speed_limit,0.044930337517942301,10,0.0029221860108841532,0.035809289952936363,0.96419071004706369
cas,1103,future,Minor,feature_terrain,0.046912922061221211,9,0.0036803484479339074,0.61285041948025376,0.38714958051974624
cas,1103,future,Minor,feature_traffic_control,0.098550616420432335,5,-0.019793571920264361,0.29670554532432986,0.7032944546756702
cas,1103,future,Minor,feature_urban,0.040516693451829525,11,0.0035143611171294209,0.61919377941477394,0.38080622058522612
cas,1103,future,Minor,feature_weather_primary,0.12693909309669454,2,-0.0096792822517865022,0.18375281358706774,0.81624718641293226
cas,1103,future,Minor,feature_weather_secondary,0.033053391285678975,13,-0.00041979923616413707,0.035809289952936363,0.96419071004706369
cas,1103,future,Serious,feature_advisory_speed,0.029548168092208196,10,-0.00071395370671342815,0.14241866175567833,0.8575813382443217
cas,1103,future,Serious,feature_light,0.079006394273866049,3,0.0050687571878534621,0.55289543687333742,0.44710456312666258
cas,1103,future,Serious,feature_number_of_lanes,0.062757618432117399,5,-0.0061118117052288952,0.22406384284837325,0.77593615715162678
cas,1103,future,Serious,feature_road_character,0.021530908291695461,12,0.00039904187332004214,0.16881522406384286,0.83118477593615714
cas,1103,future,Serious,feature_road_lane,0.035270151211534415,9,0.0049031828935789182,0.28708819316554124,0.71291180683445876
cas,1103,future,Serious,feature_road_surface,0.0087105907534170742,15,-0.0013301082309440215,0.22672396153059138,0.77327603846940862
cas,1103,future,Serious,feature_speed_limit,0.098313180748084747,1,0.0083901304117073149,0.54184571311643137,0.45815428688356863
cas,1103,future,Serious,feature_state_highway,0.09565294221010473,2,0.002522217478928431,0.67873951299365665,0.32126048700634335
cas,1103,future,Serious,feature_street_light,0.058873711188681226,6,-0.0062382887324764699,0.45365254757519952,0.54634745242480054
cas,1103,future,Serious,feature_temporary_speed_limit,0.026575050710223636,11,0.0024085489185129401,0.057704112952731736,0.9422958870472683
cas,1103,future,Serious,feature_terrain,0.044471820869973797,7,0.00073013532882005509,0.40229179455698794,0.59770820544301206
cas,1103,future,Serious,feature_traffic_control,0.066553866347004109,4,0.0013733498702698497,0.47882136279926335,0.52117863720073665
cas,1103,future,Serious,feature_urban,0.020782314657886779,13,-0.0012074789934985934,0.53939021894823003,0.46060978105177003
cas,1103,future,Serious,feature_weather_primary,0.038210175043199429,8,-0.0022933839351513708,0.4653161448741559,0.53468385512584404
cas,1103,future,Serious,feature_weather_secondary,0.018411611287735278,14,0.00086869551009343955,0.44976468180888068,0.55023531819111926
cas,1103,future,overall,feature_advisory_speed,0.034867866670315516,13,-0.0010972195602077487,0.69551872314303254,0.30448127685696746
cas,1103,future,overall,feature_light,0.12727337822061061,6,0.00084670504276316346,0.53427460609781052,0.46572539390218948
cas,1103,future,overall,feature_number_of_lanes,0.16767323744190954,2,0.00042249579433945586,0.81542868835686511,0.18457131164313484
cas,1103,future,overall,feature_road_character,0.048731231950383452,12,0.00033353485551061642,0.94290976058931864,0.0570902394106814
cas,1103,future,overall,feature_road_lane,0.14472299731087518,4,-0.005425740275031208,0.85021485573971767,0.14978514426028239
cas,1103,future,overall,feature_road_surface,0.010162952335122712,15,0.00075557606338022597,0.063433599345201555,0.93656640065479846
cas,1103,future,overall,feature_speed_limit,0.21798949356605976,1,0.0017029048207291857,0.45692653979946796,0.54307346020053204
cas,1103,future,overall,feature_state_highway,0.10109532205642256,8,0.0028624090782665072,0.53591160220994472,0.46408839779005523
cas,1103,future,overall,feature_street_light,0.11881997317329573,7,0.0011937290371693849,0.56680990382647845,0.43319009617352161
cas,1103,future,overall,feature_temporary_speed_limit,0.066837240593390343,10,-0.00065886077865075069,0.96541845713116436,0.034581542868835684
cas,1103,future,overall,feature_terrain,0.056028388155469171,11,-0.00010280720177612755,0.39472068753836709,0.60527931246163291
cas,1103,future,overall,feature_traffic_control,0.1553637626481309,3,0.0027756390306056451,0.66748516472273378,0.33251483527726622
cas,1103,future,overall,feature_urban,0.070437692835260635,9,-0.0017113881992703776,0.37405361162267242,0.62594638837732763
cas,1103,future,overall,feature_weather_primary,0.13397610477431857,5,-0.00034222150502856902,0.78453038674033149,0.21546961325966851
cas,1103,future,overall,feature_weather_secondary,0.034394867286044732,14,-0.00048171496306460777,0.90730509515039903,0.092694904849600981
cas,1103,internal,Fatal,feature_advisory_speed,0.048289749319070693,13,0.0033126479140668992,0.91958256599140575,0.080417434008594232
cas,1103,internal,Fatal,feature_light,0.21837416897175807,6,-0.0048748528059056892,0.42336811950071618,0.57663188049928382
cas,1103,internal,Fatal,feature_number_of_lanes,0.38172277932446391,2,-0.0077196826896053818,0.79435236341313686,0.20564763658686311
cas,1103,internal,Fatal,feature_road_character,0.091094300710917148,11,-0.0034511506884809832,0.93943114385103332,0.060568856148966649
cas,1103,internal,Fatal,feature_road_lane,0.28425475794880312,4,-0.012839333954551415,0.85471659504808672,0.14528340495191325
cas,1103,internal,Fatal,feature_road_surface,0.015954911755679896,15,0.0042666200923728538,0.34295068549212193,0.65704931450787807
cas,1103,internal,Fatal,feature_speed_limit,0.38807960788303514,1,0.00036250009317176216,0.43666871291180681,0.56333128708819313
cas,1103,internal,Fatal,feature_state_highway,0.14590324936440055,9,0.010520432003125003,0.35359116022099446,0.64640883977900554
cas,1103,internal,Fatal,feature_street_light,0.17999499483616324,7,0.012451798092676939,0.52854511970534068,0.47145488029465932
cas,1103,internal,Fatal,feature_temporary_speed_limit,0.11857526246557099,10,0.0036759143856271875,0.96705545324329856,0.03294454675670145
cas,1103,internal,Fatal,feature_terrain,0.073350282007386081,12,-0.0012083523373432571,0.45303867403314918,0.54696132596685088
cas,1103,internal,Fatal,feature_traffic_control,0.3334589219301356,3,-0.010323138177804472,0.65275219971352572,0.34724780028647434
cas,1103,internal,Fatal,feature_urban,0.15201004769191878,8,-0.0077890978371311309,0.37916922447309187,0.62083077552690813
cas,1103,internal,Fatal,feature_weather_primary,0.2478615959908177,5,-0.0049651866295910962,0.78637200736648249,0.21362799263351751
cas,1103,internal,Fatal,feature_weather_secondary,0.048237094295543799,14,0.0010759345018564034,0.96296296296296291,0.037037037037037035
cas,1103,internal,Minor,feature_advisory_speed,0.021132901795085608,14,-0.0024356214881866862,0.14937589523224881,0.85062410476775119
cas,1103,internal,Minor,feature_light,0.097150489989150823,6,0.004935909878834987,0.5711070186208308,0.4288929813791692
cas,1103,internal,Minor,feature_number_of_lanes,0.073416848767043477,7,0.0040683275714543275,0.27931246163290363,0.72068753836709643
cas,1103,internal,Minor,feature_road_character,0.035157409565456078,12,0.0010573396071508272,0.04910988336402701,0.950890116635973
cas,1103,internal,Minor,feature_road_lane,0.097940079272749267,5,0.00080673147161171039,0.21362799263351751,0.78637200736648249
cas,1103,internal,Minor,feature_road_surface,0.0059271436603904057,15,0.00045584509419102821,0.41170452220175979,0.58829547779824021
cas,1103,internal,Minor,feature_speed_limit,0.169107342746602,1,0.0018914655118004494,0.58911397585430736,0.41088602414569264
cas,1103,internal,Minor,feature_state_highway,0.056345188732726863,8,-0.0016825475515806912,0.61182729691016979,0.38817270308983015
cas,1103,internal,Minor,feature_street_light,0.11671602043299652,3,0.0010372664945254564,0.60261919377941475,0.39738080622058525
cas,1103,internal,Minor,feature_temporary_speed_limit,0.041396574873778305,10,-0.00039907983311593566,0.033353795784735012,0.96664620421526504
cas,1103,internal,Minor,feature_terrain,0.044568634899791987,9,0.00092395085191220982,0.59873132801309592,0.40126867198690402
cas,1103,internal,Minor,feature_traffic_control,0.11396119387322443,4,-0.0023734653145038214,0.31921424186617559,0.68078575813382447
cas,1103,internal,Minor,feature_urban,0.039811684800704794,11,0.0041589708180387614,0.62246777163904232,0.37753222836095762
cas,1103,internal,Minor,feature_weather_primary,0.12938895373450054,2,-0.0032993389003215827,0.20216901984857785,0.79783098015142218
cas,1103,internal,Minor,feature_weather_secondary,0.031567376338599573,13,-0.0010684238863706203,0.031307550644567222,0.96869244935543275
cas,1103,internal,Serious,feature_advisory_speed,0.027287418371007538,10,-0.0033371112896374683,0.13730304890525885,0.8626969510947412
cas,1103,internal,Serious,feature_light,0.081406360788553608,3,0.00038065101435566615,0.53529772866789438,0.46470227133210557
cas,1103,internal,Serious,feature_number_of_lanes,0.065102720446337942,5,-0.0043365692982190425,0.22958870472682627,0.77041129527317376
cas,1103,internal,Serious,feature_road_character,0.023048809698144285,12,0.0015601533519477204,0.15653775322283608,0.84346224677716386
cas,1103,internal,Serious,feature_road_lane,0.034004137109437144,9,0.0034772120482838248,0.28504194802537342,0.71495805197462658
cas,1103,internal,Serious,feature_road_surface,0.0086616757546121251,15,-0.00125381917735554,0.21833435645590341,0.78166564354409662
cas,1103,internal,Serious,feature_speed_limit,0.095524526453004216,1,0.0061478849456754392,0.55064456721915289,0.44935543278084716
cas,1103,internal,Serious,feature_state_highway,0.091343021774904637,2,-0.00060159450015985743,0.66584816861059959,0.33415183138940047
cas,1103,internal,Serious,feature_street_light,0.059379831434398907,6,-0.0066918663826203645,0.45017393083691426,0.54982606916308574
cas,1103,internal,Serious,feature_temporary_speed_limit,0.024441673758689338,11,-0.00087611166182584559,0.051770002046245142,0.94822999795375484
cas,1103,internal,Serious,feature_terrain,0.04139335278872671,7,0.00037031007282574158,0.40658890935134029,0.59341109064865971
cas,1103,internal,Serious,feature_traffic_control,0.067962338769240141,4,0.00077618885029511256,0.47534274606097809,0.52465725393902185
cas,1103,internal,Serious,feature_urban,0.020669734128629262,13,-0.00080101197051323891,0.5508491917331696,0.44915080826683035
cas,1103,internal,Serious,feature_weather_primary,0.041022643690781783,8,-0.00068607421386056788,0.46020053202373645,0.53979946797626355
cas,1103,internal,Serious,feature_weather_secondary,0.016597037059752524,14,-0.00013405973991587538,0.43155310006138736,0.56844689993861264
cas,1103,internal,overall,feature_advisory_speed,0.032236689828387927,13,-0.00082002828791908526,0.69470022508696538,0.30529977491303456
cas,1103,internal,overall,feature_light,0.13231033991648872,6,0.00014723602909498767,0.52383875588295481,0.47616124411704525
cas,1103,internal,overall,feature_number_of_lanes,0.1734141161792811,2,-0.0026626414721233659,0.80396971557192554,0.19603028442807449
cas,1103,internal,overall,feature_road_character,0.049766839991505489,12,-0.00027788590979414509,0.93861264579496628,0.061387354205033766
cas,1103,internal,overall,feature_road_lane,0.13873299144366524,5,-0.0028517968115519608,0.85573971761817069,0.14426028238182934
cas,1103,internal,overall,feature_road_surface,0.010181243723560812,15,0.001156215336402781,0.060773480662983423,0.93922651933701662
cas,1103,internal,overall,feature_speed_limit,0.21757049236088077,1,0.0028006168502158848,0.45774503785553511,0.54225496214446489
cas,1103,internal,overall,feature_state_highway,0.097863819957345291,8,0.0027454299837948179,0.53120523838755884,0.46879476161244116
cas,1103,internal,overall,feature_street_light,0.11869694890118938,7,0.0022657327348606766,0.57888275015346835,0.42111724984653159
cas,1103,internal,overall,feature_temporary_speed_limit,0.061471170366012538,10,0.00080024096356180188,0.96787395129936571,0.032126048700634333
cas,1103,internal,overall,feature_terrain,0.0531040898986355,11,2.8636195798231573e-05,0.38121546961325969,0.61878453038674031
cas,1103,internal,overall,feature_traffic_control,0.17179415152419839,3,-0.0039734715473377265,0.64681808880703906,0.35318191119296094
cas,1103,internal,overall,feature_urban,0.070830488873750222,9,-0.0014770463298685358,0.37753222836095762,0.62246777163904232
cas,1103,internal,overall,feature_weather_primary,0.13942439780536708,4,-0.002983533247924415,0.77266216492735829,0.22733783507264171
cas,1103,internal,overall,feature_weather_secondary,0.032133835897965278,14,-4.2183041476697259e-05,0.90750971966441585,0.092490280335584207
cas,2207,future,Fatal,feature_advisory_speed,0.040732218314825056,14,-0.0049028320985730345,0.59136484550849189,0.40863515449150806
cas,2207,future,Fatal,feature_light,0.26791813964349487,6,-0.015805951941017103,0.4593820339676693,0.5406179660323307
cas,2207,future,Fatal,feature_number_of_lanes,0.46737916751873987,3,0.03087967718671936,0.80417434008594224,0.1958256599140577
cas,2207,future,Fatal,feature_road_character,0.056877983347326119,12,0.016426817292314488,0.88459177409453649,0.11540822590546347
cas,2207,future,Fatal,feature_road_lane,0.2904329215487651,5,-0.025010310486715412,0.83711888684264379,0.16288111315735626
cas,2207,future,Fatal,feature_road_surface,0.026751299629199966,15,0.0015105277172945458,0.078780437896459998,0.92121956210354006
cas,2207,future,Fatal,feature_speed_limit,0.49876660659462385,2,0.0152754116736147,0.41968487824841416,0.58031512175158584
cas,2207,future,Fatal,feature_state_highway,0.14503592061599674,9,0.0082197374957894299,0.37343973808062209,0.62656026191937797
