split,cohort,scope,feature,mean_abs_shap,rank
random_seed_1103,future,Fatal,feature_day_of_week,0.09704334850543031,13
random_seed_1103,future,Fatal,feature_first_road_class,0.15205268594811677,9
random_seed_1103,future,Fatal,feature_hour,0.27168054523525598,6
random_seed_1103,future,Fatal,feature_junction_control,0.21790776410300533,8
random_seed_1103,future,Fatal,feature_junction_detail,0.27957590086763412,5
random_seed_1103,future,Fatal,feature_light_conditions,0.047503076102756017,15
random_seed_1103,future,Fatal,feature_month,0.14815261633520715,10
random_seed_1103,future,Fatal,feature_pedestrian_crossing,0.33048843027342228,3
random_seed_1103,future,Fatal,feature_road_surface_conditions,0.097509861765843212,12
random_seed_1103,future,Fatal,feature_road_type,0.31142268909139259,4
random_seed_1103,future,Fatal,feature_second_road_class,0.3444945861456768,1
random_seed_1103,future,Fatal,feature_speed_limit,0.34223512728358157,2
random_seed_1103,future,Fatal,feature_trunk_road_flag,0.071724598703914302,14
random_seed_1103,future,Fatal,feature_urban_or_rural_area,0.11621379885078693,11
random_seed_1103,future,Fatal,feature_weather_conditions,0.27094083149434151,7
random_seed_1103,future,Serious,feature_day_of_week,0.040310695934604915,6
random_seed_1103,future,Serious,feature_first_road_class,0.051365963264323168,3
random_seed_1103,future,Serious,feature_hour,0.066253965837113071,1
random_seed_1103,future,Serious,feature_junction_control,0.03506715495772661,7
random_seed_1103,future,Serious,feature_junction_detail,0.04740745946790368,5
random_seed_1103,future,Serious,feature_light_conditions,0.033125056773999628,9
random_seed_1103,future,Serious,feature_month,0.059084219114753866,2
random_seed_1103,future,Serious,feature_pedestrian_crossing,0.018562478243284393,13
random_seed_1103,future,Serious,feature_road_surface_conditions,0.015621814036726116,14
random_seed_1103,future,Serious,feature_road_type,0.020064857515948952,11
random_seed_1103,future,Serious,feature_second_road_class,0.019895415888532015,12
random_seed_1103,future,Serious,feature_speed_limit,0.049650522731275952,4
random_seed_1103,future,Serious,feature_trunk_road_flag,0.034958859614232389,8
random_seed_1103,future,Serious,feature_urban_or_rural_area,0.010997020612745139,15
random_seed_1103,future,Serious,feature_weather_conditions,0.023842341025762114,10
random_seed_1103,future,Slight,feature_day_of_week,0.044510163974777327,14
random_seed_1103,future,Slight,feature_first_road_class,0.05325516995943208,9
random_seed_1103,future,Slight,feature_hour,0.08971119509447216,6
random_seed_1103,future,Slight,feature_junction_control,0.046099175165433416,12
random_seed_1103,future,Slight,feature_junction_detail,0.090243154775693196,5
random_seed_1103,future,Slight,feature_light_conditions,0.051276964784711797,10
random_seed_1103,future,Slight,feature_month,0.054431670222809814,8
random_seed_1103,future,Slight,feature_pedestrian_crossing,0.045168941093994899,13
random_seed_1103,future,Slight,feature_road_surface_conditions,0.033593609319819612,15
random_seed_1103,future,Slight,feature_road_type,0.096539100505140113,3
random_seed_1103,future,Slight,feature_second_road_class,0.1045179593105228,2
random_seed_1103,future,Slight,feature_speed_limit,0.13280584180075286,1
random_seed_1103,future,Slight,feature_trunk_road_flag,0.047997952116479274,11
