dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
cas,1103,dummy_most_frequent,accuracy,0.00010074001401505495,0.00010074001401505495,0.00010074001401505495,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,macro_f1,2.1197338917866571e-05,2.1197338917866571e-05,2.1197338917866571e-05,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,-0.007738521781796126,-0.007738521781796126,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,ordinal_mae,-0.002545927255927033,-0.002545927255927033,-0.002545927255927033,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
cas,1103,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,accuracy,0.015637587042574785,-0.00069939773776361012,0.031759496260332656,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,fatal_recall,0.033936191830928664,-0.070752895752895742,0.13574984759195285,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,macro_f1,0.0077905768261012365,-0.0068254787107124622,0.022658636638088338,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,mean_asymmetric_cost,0.0085314563314167202,-0.021126935154526474,0.038389314500890226,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,ordinal_mae,0.019064028605971339,-0.0064189236797147107,0.043811851020310009,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,qwk,-0.0035346466278343147,-0.029508155368010026,0.022652820354003365,independent_true_class_stratified,2000
cas,1103,lightgbm_revised,serious_or_fatal_recall,-0.042636327185244682,-0.078913993584602993,-0.0071938652766639676,independent_true_class_stratified,2000
cas,1103,logistic_weighted,accuracy,0.00084889475393756797,-0.015839219927562709,0.018181051117812388,independent_true_class_stratified,2000
cas,1103,logistic_weighted,fatal_recall,-0.019305019305019377,-0.12172322698638482,0.082915057915057863,independent_true_class_stratified,2000
cas,1103,logistic_weighted,macro_f1,-0.001081175417724678,-0.01521882434337583,0.013220032536639942,independent_true_class_stratified,2000
cas,1103,logistic_weighted,mean_asymmetric_cost,-0.0054659318818153224,-0.036051281442093935,0.025062553434425053,independent_true_class_stratified,2000
cas,1103,logistic_weighted,ordinal_mae,0.0015716606810792788,-0.024918623323071761,0.028677948034224625,independent_true_class_stratified,2000
cas,1103,logistic_weighted,qwk,-0.0032952128960370697,-0.026738061242541956,0.018717404596954788,independent_true_class_stratified,2000
cas,1103,logistic_weighted,serious_or_fatal_recall,-0.017534081796311107,-0.053324478748997532,0.016680332798716849,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,accuracy,0.00010074001401505495,0.00010074001401505495,0.00010074001401505495,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,macro_f1,2.1197338917866571e-05,2.1197338917866571e-05,2.1197338917866571e-05,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,mean_asymmetric_cost,-0.007738521781796126,-0.007738521781796126,-0.007738521781796126,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,ordinal_mae,-0.002545927255927033,-0.002545927255927033,-0.002545927255927033,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
cas,2207,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,accuracy,-2.9115610987062723e-05,-0.017488055902904798,0.01666337951418629,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,fatal_recall,0.084738874212558379,-0.017679333468807179,0.18411400121926436,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,macro_f1,0.003010942244137893,-0.011632196841037234,0.016797527165096752,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,mean_asymmetric_cost,-0.0054263346508729438,-0.034716698990818071,0.024181798923164979,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,ordinal_mae,-0.0032020766651305044,-0.028350464376525889,0.021811504311614369,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,qwk,0.0057882081606107638,-0.020296938216461703,0.03130571807719465,independent_true_class_stratified,2000
cas,2207,lightgbm_revised,serious_or_fatal_recall,-0.015655573376102683,-0.053907377706495563,0.019058239775461019,independent_true_class_stratified,2000
cas,2207,logistic_weighted,accuracy,-0.00013358242320843372,-0.016611825957592093,0.016299514444778663,independent_true_class_stratified,2000
cas,2207,logistic_weighted,fatal_recall,0.048567364356838061,-0.050416581995529307,0.15526315789473674,independent_true_class_stratified,2000
cas,2207,logistic_weighted,macro_f1,0.0018283538096752205,-0.011593491980255768,0.015702715984953323,independent_true_class_stratified,2000
cas,2207,logistic_weighted,mean_asymmetric_cost,-0.011291616252986247,-0.042129887302786807,0.017657977520186052,independent_true_class_stratified,2000
cas,2207,logistic_weighted,ordinal_mae,-0.009118951129912789,-0.036000035055195716,0.016991416368493766,independent_true_class_stratified,2000
