evaluation_group,evaluation_design,model_protocol,seed,cohort_role,cohort_rows,cohort_years,model,macro_f1,qwk,ordinal_mae,accuracy,minor_recall,serious_recall,fatal_recall,minor_precision,serious_precision,fatal_precision,serious_or_fatal_recall,mean_asymmetric_cost
random_seed_1103_2025_diagnostic,random_2025_diagnostic,random_reference,1103,locked_temporal_test,10542,2025,dummy_most_frequent,0.29211966176366094,0,0.24464048567634225,0.77992790741794726,1,0,0,0.77992790741794726,0,0,0,0.51384936444697404
random_seed_1103_2025_diagnostic,random_2025_diagnostic,random_reference,1103,locked_temporal_test,10542,2025,logistic_weighted,0.32654761580063402,0.099661574246413531,0.73781066211345092,0.47694934547524187,0.53077110192167354,0.24793789422610382,0.59073359073359077,0.83826354206684595,0.23111714156490276,0.048959999999999997,0.63706896551724135,0.83779169038133183
random_seed_1103_internal_test,random_internal_test,random_reference,1103,test,4887,2022;2023;2024,dummy_most_frequent,0.29214085910257886,0,0.24718641293226928,0.78002864743196232,1,0,0,0.78002864743196232,0,0,0,0.52158788622877017
random_seed_1103_internal_test,random_internal_test,random_reference,1103,test,4887,2022;2023;2024,logistic_weighted,0.32546644038290934,0.096366361350376351,0.73623900143237164,0.47779824022917944,0.53410283315844698,0.23673036093418259,0.5714285714285714,0.83271983640081804,0.22079207920792079,0.053072625698324022,0.61953488372093024,0.84325762226314716
random_seed_2207_2025_diagnostic,random_2025_diagnostic,random_reference,2207,locked_temporal_test,10542,2025,dummy_most_frequent,0.29211966176366094,0,0.24464048567634225,0.77992790741794726,1,0,0,0.77992790741794726,0,0,0,0.51384936444697404
random_seed_2207_2025_diagnostic,random_2025_diagnostic,random_reference,2207,locked_temporal_test,10542,2025,logistic_weighted,0.32783848742662824,0.10377574560943981,0.73714665148928094,0.47486245494213619,0.52468985648260769,0.26249393498301793,0.58301158301158296,0.8430721125659566,0.23298880275624462,0.048662584595552692,0.6538793103448276,0.83380762663631192
random_seed_2207_internal_test,random_internal_test,random_reference,2207,test,4887,2022;2023;2024,dummy_most_frequent,0.29214085910257886,0,0.24718641293226928,0.78002864743196232,1,0,0,0.78002864743196232,0,0,0,0.52158788622877017
random_seed_2207_internal_test,random_internal_test,random_reference,2207,test,4887,2022;2023;2024,logistic_weighted,0.32966684123630347,0.10163089326613706,0.74626560261919372,0.47472887251892776,0.525183630640084,0.24840764331210191,0.63157894736842102,0.83870967741935487,0.23099703849950642,0.05648957632817754,0.64186046511627903,0.84509924288929816
random_seed_3301_2025_diagnostic,random_2025_diagnostic,random_reference,3301,locked_temporal_test,10542,2025,dummy_most_frequent,0.29211966176366094,0,0.24464048567634225,0.77992790741794726,1,0,0,0.77992790741794726,0,0,0,0.51384936444697404
random_seed_3301_2025_diagnostic,random_2025_diagnostic,random_reference,3301,locked_temporal_test,10542,2025,logistic_weighted,0.32768939746585452,0.098593991256192171,0.7360083475621324,0.478561942705369,0.5319873510094868,0.25473071324599711,0.56370656370656369,0.83970051833365333,0.23606115107913669,0.046960437439691222,0.64008620689655171,0.8366533864541833
