seed,class,internal_count,future_count,internal_proportion,future_proportion,future_record_weight
1103,Slight,75156,75858,0.77956186208613398,0.75161255164623941,1.037185795232767
1103,Serious,19854,23567,0.20593726661687828,0.23350540489660843,0.88193790078676437
1103,Fatal,1398,1502,0.014500871296987803,0.014882043457152199,0.9743871087823488
2207,Slight,75156,75858,0.77956186208613398,0.75161255164623941,1.037185795232767
2207,Serious,19854,23567,0.20593726661687828,0.23350540489660843,0.88193790078676437
2207,Fatal,1398,1502,0.014500871296987803,0.014882043457152199,0.9743871087823488
3301,Slight,75157,75858,0.77957223466932202,0.75161255164623941,1.0371995956717901
3301,Serious,19854,23567,0.20593726661687828,0.23350540489660843,0.88193790078676437
3301,Fatal,1397,1502,0.014490498713799685,0.014882043457152199,0.9736901222953801
4409,Slight,75157,75858,0.77957223466932202,0.75161255164623941,1.0371995956717901
4409,Serious,19854,23567,0.20593726661687828,0.23350540489660843,0.88193790078676437
4409,Fatal,1397,1502,0.014490498713799685,0.014882043457152199,0.9736901222953801
5501,Slight,75157,75858,0.77957223466932202,0.75161255164623941,1.0371995956717901
5501,Serious,19854,23567,0.20593726661687828,0.23350540489660843,0.88193790078676437
5501,Fatal,1397,1502,0.014490498713799685,0.014882043457152199,0.9736901222953801
