dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
cas,1103,internal,dummy_most_frequent,macro_f1,0.29214085910257881,0.29214085910257881,0.29214085910257881
cas,1103,internal,logistic_weighted,macro_f1,0.32546644038290934,0.31361301871082475,0.33693140896544943
cas,1103,internal,lightgbm_legacy,macro_f1,0.34435399215273432,0.33236485262410576,0.35646199461174483
cas,1103,internal,lightgbm_revised,macro_f1,0.3448000841926584,0.33282607168800432,0.35711093290249668
cas,1103,internal,dummy_most_frequent,qwk,0,0,0
cas,1103,internal,logistic_weighted,qwk,0.096366361350376462,0.078072838838246172,0.11489677695662982
cas,1103,internal,lightgbm_legacy,qwk,0.093652506605004682,0.072381216500631756,0.11606823917220334
cas,1103,internal,lightgbm_revised,qwk,0.093599895990080006,0.072085850041478439,0.11548211207301058
cas,1103,internal,dummy_most_frequent,ordinal_mae,0.24718641293226928,0.24718641293226928,0.24718641293226928
cas,1103,internal,logistic_weighted,ordinal_mae,0.73623900143237164,0.71373030489052591,0.7577245754041334
cas,1103,internal,lightgbm_legacy,ordinal_mae,0.62696951094741149,0.60650194393288315,0.64763658686310621
cas,1103,internal,lightgbm_revised,ordinal_mae,0.63024350317167999,0.60977593615715164,0.65132494372825867
cas,1103,internal,dummy_most_frequent,accuracy,0.78002864743196232,0.78002864743196232,0.78002864743196232
cas,1103,internal,logistic_weighted,accuracy,0.47779824022917944,0.46408839779005523,0.49171270718232046
cas,1103,internal,lightgbm_legacy,accuracy,0.53611622672396153,0.52261100879885414,0.54941682013505222
cas,1103,internal,lightgbm_revised,accuracy,0.53366073255576019,0.51995089011663598,0.54716595048086758
cas,1103,internal,dummy_most_frequent,fatal_recall,0,0,0
cas,1103,internal,logistic_weighted,fatal_recall,0.5714285714285714,0.48872180451127817,0.65413533834586468
cas,1103,internal,lightgbm_legacy,fatal_recall,0.45864661654135336,0.37593984962406013,0.54135338345864659
cas,1103,internal,lightgbm_revised,fatal_recall,0.45864661654135336,0.37593984962406013,0.54135338345864659
cas,1103,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,1103,internal,logistic_weighted,serious_or_fatal_recall,0.61953488372093024,0.59160465116279071,0.64744186046511631
cas,1103,internal,lightgbm_legacy,serious_or_fatal_recall,0.5106976744186047,0.48093023255813955,0.53953488372093028
cas,1103,internal,lightgbm_revised,serious_or_fatal_recall,0.51813953488372089,0.48930232558139536,0.54793023255813944
cas,1103,internal,dummy_most_frequent,mean_asymmetric_cost,0.52158788622877017,0.52158788622877017,0.52158788622877017
cas,1103,internal,logistic_weighted,mean_asymmetric_cost,0.84325762226314716,0.81829343155310008,0.86843155310006137
cas,1103,internal,lightgbm_legacy,mean_asymmetric_cost,0.76406793533865358,0.73992224268467366,0.78882750153468384
cas,1103,internal,lightgbm_revised,mean_asymmetric_cost,0.76570493145078777,0.7407407407407407,0.79067423777368528
cas,1103,future,dummy_most_frequent,macro_f1,0.29211966176366094,0.29211966176366094,0.29211966176366094
cas,1103,future,logistic_weighted,macro_f1,0.32654761580063402,0.31871580440793945,0.3342944931294865
cas,1103,future,lightgbm_legacy,macro_f1,0.33682196305520923,0.32901368688981858,0.34508757682911878
cas,1103,future,lightgbm_revised,macro_f1,0.33700950736655716,0.32944768766458177,0.34510535556043431
cas,1103,future,dummy_most_frequent,qwk,0,0,0
cas,1103,future,logistic_weighted,qwk,0.099661574246413531,0.08760940912583233,0.11254642350676729
cas,1103,future,lightgbm_legacy,qwk,0.096807787102043186,0.082752621866443402,0.11186930956965108
cas,1103,future,lightgbm_revised,qwk,0.097134542617914321,0.083513151198109564,0.11199370993633469
cas,1103,future,dummy_most_frequent,ordinal_mae,0.24464048567634225,0.24464048567634225,0.24464048567634225
cas,1103,future,logistic_weighted,ordinal_mae,0.73781066211345092,0.72310519825460062,0.75280070195408832
cas,1103,future,lightgbm_legacy,ordinal_mae,0.64741035856573703,0.63327404667046094,0.66135932460633651
cas,1103,future,lightgbm_revised,ordinal_mae,0.64930753177765133,0.63507636122177946,0.66325175488522103
cas,1103,future,dummy_most_frequent,accuracy,0.77992790741794726,0.77992790741794726,0.77992790741794726
cas,1103,future,logistic_weighted,accuracy,0.47694934547524187,0.46755596660975146,0.48634272434073228
cas,1103,future,lightgbm_legacy,accuracy,0.51982546006450392,0.51071902864731555,0.52893189148169228
cas,1103,future,lightgbm_revised,accuracy,0.5180231455131854,0.50872699677480548,0.52675251375450571
cas,1103,future,dummy_most_frequent,fatal_recall,0,0,0
cas,1103,future,logistic_weighted,fatal_recall,0.59073359073359077,0.53281853281853286,0.65250965250965254
cas,1103,future,lightgbm_legacy,fatal_recall,0.42857142857142855,0.37065637065637064,0.49034749034749037
cas,1103,future,lightgbm_revised,fatal_recall,0.42471042471042469,0.36679536679536678,0.48648648648648651
cas,1103,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
cas,1103,future,logistic_weighted,serious_or_fatal_recall,0.63706896551724135,0.61594827586206902,0.65646551724137936
cas,1103,future,lightgbm_legacy,serious_or_fatal_recall,0.55431034482758623,0.53405172413793101,0.57544181034482755
cas,1103,future,lightgbm_revised,serious_or_fatal_recall,0.56077586206896557,0.54008620689655173,0.5818965517241379
cas,1103,future,dummy_most_frequent,mean_asymmetric_cost,0.51384936444697404,0.51384936444697404,0.51384936444697404
cas,1103,future,logistic_weighted,mean_asymmetric_cost,0.83779169038133183,0.82062227281350786,0.85467890343388342
cas,1103,future,lightgbm_legacy,mean_asymmetric_cost,0.77357237715803451,0.75706697021438052,0.78960586226522478
cas,1103,future,lightgbm_revised,mean_asymmetric_cost,0.77423638778220449,0.75792069815974195,0.7904595902105862
cas,2207,internal,dummy_most_frequent,macro_f1,0.29214085910257881,0.29214085910257881,0.29214085910257881
