dataset,seed,cohort,candidate,reference,metric,delta,ci_lower,ci_upper,design
cas,1103,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.052659225090079587,0.040685212585425519,0.064970073799917885,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,macro_f1,0.019333643809749057,0.0061824931213474319,0.032526126272911633,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0.00044609203992407309,-0.0017665445826203689,0.002766674873284226,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,qwk,0.093599895990080006,0.072085850041478439,0.11548211207301058,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,qwk,-0.0027664653602964551,-0.021171977927783546,0.015875571123980733,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,qwk,-5.2610614924675225e-05,-0.002948751841784991,0.0028407713847515966,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.3830570902394107,0.36258952322488236,0.40413853079598933,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.10599549826069166,-0.12482095355023526,-0.086960302844280732,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0.003273992224268496,0.00061387354205033606,0.0063433599345201763,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.24636791487620213,-0.26007775731532634,-0.23286269695109474,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,accuracy,0.055862492326580748,0.042561898915490115,0.068753836709637806,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,accuracy,-0.0024554941682013443,-0.0049109883364026885,-0.00020462451401670467,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.45864661654135336,0.37593984962406013,0.54135338345864659,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.11278195488721804,-0.18796992481203006,-0.037593984962406068,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.51813953488372089,0.48930232558139536,0.54793023255813944,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.10139534883720935,-0.13116279069767445,-0.071627906976744149,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0.0074418604651161901,0.0018604651162790198,0.013953488372093092,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.2441170452220176,0.21915285451197053,0.26908635154491506,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.077552690812359382,-0.099861878453038719,-0.055033763044812757,paired_true_class_stratified
cas,1103,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0.0016369961121341925,-0.0018416206261510082,0.0053202373644362089,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.044889845602896217,0.037328025900920825,0.052985693796773384,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,macro_f1,0.010461891565923143,0.0017271272711250217,0.018956097373898678,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,macro_f1,0.00018754431134793137,-0.0014371110175897123,0.0018274772828158184,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,qwk,0.097134542617914321,0.083513151198109564,0.11199370993633469,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,qwk,-0.00252703162849921,-0.014106788141215718,0.0091177824962892298,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,qwk,0.00032675551587113549,-0.0018892148531898356,0.0024397832220927479,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.4046670461013091,0.39043587554543729,0.41861126920887881,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.088503130335799596,-0.10140627964333145,-0.076074274331246416,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0.0018971732119142937,-0.00018971732119133221,0.0038892050844242521,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.26190476190476186,-0.27120091064314178,-0.25317539366344149,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,accuracy,0.041073800037943531,0.032059855814835884,0.050562037564029598,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,accuracy,-0.0018023145513185179,-0.0036046291026370358,0,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.42471042471042469,0.36679536679536678,0.48648648648648651,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.16602316602316608,-0.22007722007722003,-0.11583011583011588,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,fatal_recall,-0.0038610038610038533,-0.011583011583011615,0,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.56077586206896557,0.54008620689655173,0.5818965517241379,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.076293103448275779,-0.096551724137931005,-0.056465517241379271,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0.0064655172413793371,0.0025862068965517571,0.010775862068965525,paired_true_class_stratified
cas,1103,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.26038702333523045,0.2440713337127679,0.27661022576361222,paired_true_class_stratified
cas,1103,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.063555302599127339,-0.078735059760956239,-0.04809096945551123,paired_true_class_stratified
cas,1103,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0.00066401062416998613,-0.0019944033390249579,0.0033200531208499307,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.049993886101520169,0.03804739203833607,0.061800697932546896,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,macro_f1,0.012467903967795513,-0.0012111654878814103,0.02575871796484077,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0.0084212002658225482,-6.3869245299608094e-05,0.015901840998506066,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,qwk,0.096545898819996867,0.074685790574232622,0.11876289433620042,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,qwk,-0.0050849944461400787,-0.0240138365272957,0.013728128893582096,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,qwk,0.00030730115846389072,-0.012064155862855966,0.011514343030176117,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.39963167587476978,0.37834561080417428,0.42070800081849802,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.099447513812154664,-0.12052383875588291,-0.077961939840392902,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,-0.029875179046449762,-0.041334151831389443,-0.017802332719459857,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.27521997135256804,-0.28913443830570901,-0.26151012891344383,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,accuracy,0.030079803560466523,0.015341722938408039,0.044408635154491512,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,accuracy,0.020871700429711426,0.010845099242889344,0.030079803560466467,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.43609022556390975,0.35338345864661652,0.51879699248120303,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.19548872180451127,-0.27819548872180455,-0.11278195488721804,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,-0.037593984962406013,-0.075187969924812081,0,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.58046511627906971,0.54976744186046511,0.60932558139534865,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.061395348837209318,-0.0911860465116279,-0.031627906976744224,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,-0.024186046511627923,-0.046511627906976716,-0.0046511627906976605,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.24820953550235325,0.22385921833435651,0.27317372621240033,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.075301821158174742,-0.099038264784121144,-0.050946388377327616,paired_true_class_stratified
cas,2207,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,-0.02250869654184573,-0.036013914466953123,-0.0075659914057704591,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.047004141196300142,0.039109949888981858,0.055332884123134571,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,macro_f1,0.01128531553333284,0.0026333694293046981,0.019974188332875491,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,macro_f1,0.012609695990296377,0.0070775454408019498,0.018305944882551335,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,qwk,0.090757690659386103,0.076352216573419271,0.10601386017642737,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,qwk,-0.013018054950053481,-0.025704652212497917,0.00043312075247266263,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,qwk,0.013907908390269563,0.00595621691246932,0.021648171595496386,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.39897552646556633,0.38559571238854107,0.41358850313033579,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.09353063934737238,-0.10766457977613353,-0.079396698918611341,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,-0.044204135837601966,-0.052456839309428904,-0.03547713906279637,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.27509011572756592,-0.28486292923543921,-0.26569910832859045,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,accuracy,0.029975336748245152,0.020107664579776131,0.039461202807816287,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,accuracy,0.030259912730032257,0.022860937203566689,0.037279453614114944,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.35135135135135137,0.29343629343629346,0.40926640926640928,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.23166023166023159,-0.28957528957528955,-0.16988416988416993,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,fatal_recall,-0.034749034749034735,-0.061776061776061764,-0.0077220077220077066,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.5961206896551724,0.57586206896551728,0.6155172413793103,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.057758620689655205,-0.076724137931034497,-0.037499999999999978,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,-0.015948275862068928,-0.030172413793103425,-0.0017241379310345417,paired_true_class_stratified
cas,2207,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.25052172263327643,0.234203661544299,0.26731170555871753,paired_true_class_stratified
cas,2207,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.069436539556061438,-0.085752229178523987,-0.053784860557768988,paired_true_class_stratified
cas,2207,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,-0.038986909504837741,-0.049041927527983309,-0.028742174160500952,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.041034218465775429,0.028760378536634386,0.053337355821365375,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,macro_f1,0.0051281420535388422,-0.0073769153388154856,0.017889226036450438,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,macro_f1,-0.0011389975365629912,-0.0036962297515884383,0.0013197120552508725,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,qwk,0.092588744874734008,0.071500068183602036,0.11429377522475216,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,qwk,-0.01962053175987144,-0.037185942378504339,-0.002126021194457566,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,qwk,-0.0019208220943578436,-0.005969075681710464,0.001874764691603687,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.4102721506036423,0.38816758747697977,0.43073971761817059,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.064456721915285509,-0.084515039901780317,-0.045421526498874591,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0.0012277470841006721,-0.0030744833231021004,0.0055248618784530246,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.27276447718436669,-0.28565582156742375,-0.2590495191323921,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,accuracy,0.022304072027828914,0.0090034786167382808,0.035809289952936363,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,accuracy,-0.00061387354205033606,-0.0036832412523020164,0.0022508696541846396,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.43609022556390975,0.36090225563909772,0.51879699248120303,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.22556390977443608,-0.30827067669172936,-0.14285714285714285,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.55255813953488375,0.52279069767441866,0.58232558139534885,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.061395348837209318,-0.089302325581395392,-0.035325581395348908,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,-0.0046511627906976605,-0.012093023255813962,0.0018604651162791308,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.26498874565172914,0.23961019030079814,0.28872518927767554,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.038674033149171283,-0.061806834458768188,-0.016160220994475165,paired_true_class_stratified
cas,3301,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0.0022508696541846396,-0.0024606097810518698,0.0071618579905873281,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.040928129105777034,0.032717391805161852,0.048665377037011522,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,macro_f1,0.0053583934035834613,-0.0025570532209573961,0.013376679054015336,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,macro_f1,-0.001060772159552581,-0.0031767707993611794,0.00086834456381521615,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,qwk,0.096417361476691221,0.083168665987129922,0.1102797073437433,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,qwk,-0.0021766297795010603,-0.014742241254435623,0.0096866336605796726,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,qwk,-0.00068248168534057463,-0.0037956769331576406,0.002453800644704112,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.42544109277177011,0.41197116296717895,0.4397647505217227,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.065926769114020067,-0.079022007209258241,-0.052833902485296909,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0.0015177385695314127,-0.0016125972301270775,0.0048377916903813434,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.28021248339973442,-0.2897007209258205,-0.2711985391766269,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,accuracy,0.021153481312843836,0.012236767216846856,0.030070195408840816,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,accuracy,-9.4858660595720234e-05,-0.0023714665148928393,0.0020892619996206114,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.39382239382239381,0.3359073359073359,0.45945945945945948,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.16988416988416988,-0.23166023166023164,-0.10810810810810811,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,fatal_recall,-0.0038610038610038533,-0.019305019305019266,0.0077220077220077621,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.60344827586206895,0.58362068965517244,0.62328663793103445,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.036637931034482762,-0.056034482758620774,-0.018534482758620685,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,-0.0021551724137931494,-0.0073275862068965525,0.0030172413793103647,paired_true_class_stratified
cas,3301,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.2732878011762474,0.25649544678429143,0.28979320811990128,paired_true_class_stratified
cas,3301,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.049516220830961855,-0.065357617150445746,-0.034433693796243503,paired_true_class_stratified
cas,3301,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0.0021817491937013989,-0.0016125972301270775,0.0061658129387213156,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.036627736708610636,0.024681841813980521,0.048453705762314933,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,macro_f1,0.0010539307132830245,-0.010133591995161782,0.012304745651795337,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,macro_f1,-0.011354798638046504,-0.019583645358939538,-0.0027409430408553573,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,qwk,0.084091760235218027,0.064169853774572724,0.10286812580925113,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,qwk,-0.0066436086393976135,-0.02312823290826704,0.0083972787042993751,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,qwk,-0.0028691726745813106,-0.01481255123252056,0.0099579850374870906,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.43482709228565586,0.41354102721506036,0.45692653979946796,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.04276652342950682,-0.060364231634949861,-0.024549826069163054,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0.036013914466953123,0.024350317167996738,0.046859013709842356,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.28176795580110492,-0.29486392469817879,-0.26825762226314714,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,accuracy,0.019234704317577289,0.0065479844485369365,0.031716799672600771,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,accuracy,-0.018825455289543713,-0.026396562308164506,-0.010845099242889233,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.49624060150375937,0.41353383458646614,0.57894736842105265,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.097744360902255689,-0.17293233082706766,-0.03007518796992481,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,-0.060150375939849676,0.060150375939849621,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.54418604651162794,0.51534883720930236,0.57395348837209303,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.052093023255813886,-0.07906976744186045,-0.025116279069767433,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0.024186046511627923,0.0083720930232558111,0.040000000000000036,paired_true_class_stratified
cas,4409,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.28811131573562521,0.26417024759566199,0.31266625741763865,paired_true_class_stratified
