dataset,seed,cohort,true_class,predicted_class,count
cas,1103,internal,0,0,2321
cas,1103,internal,0,1,730
cas,1103,internal,0,2,761
cas,1103,internal,1,0,478
cas,1103,internal,1,1,226
cas,1103,internal,1,2,238
cas,1103,internal,2,0,40
cas,1103,internal,2,1,32
cas,1103,internal,2,2,61
cas,1103,future,0,0,4821
cas,1103,future,0,1,1725
cas,1103,future,0,2,1676
cas,1103,future,1,0,931
cas,1103,future,1,1,530
cas,1103,future,1,2,600
cas,1103,future,2,0,88
cas,1103,future,2,1,61
cas,1103,future,2,2,110
cas,2207,internal,0,0,2113
cas,2207,internal,0,1,995
cas,2207,internal,0,2,704
cas,2207,internal,1,0,414
cas,2207,internal,1,1,296
cas,2207,internal,1,2,232
cas,2207,internal,2,0,37
cas,2207,internal,2,1,38
cas,2207,internal,2,2,58
cas,2207,future,0,0,4528
cas,2207,future,0,1,2216
cas,2207,future,0,2,1478
cas,2207,future,1,0,850
cas,2207,future,1,1,703
cas,2207,future,1,2,508
cas,2207,future,2,0,87
cas,2207,future,2,1,81
cas,2207,future,2,2,91
cas,3301,internal,0,0,2181
cas,3301,internal,0,1,863
cas,3301,internal,0,2,768
cas,3301,internal,1,0,444
cas,3301,internal,1,1,240
cas,3301,internal,1,2,258
cas,3301,internal,2,0,37
cas,3301,internal,2,1,38
cas,3301,internal,2,2,58
cas,3301,future,0,0,4562
cas,3301,future,0,1,1960
cas,3301,future,0,2,1700
cas,3301,future,1,0,830
cas,3301,future,1,1,604
cas,3301,future,1,2,627
cas,3301,future,2,0,90
cas,3301,future,2,1,67
cas,3301,future,2,2,102
cas,4409,internal,0,0,2148
cas,4409,internal,0,1,814
cas,4409,internal,0,2,850
cas,4409,internal,1,0,459
cas,4409,internal,1,1,221
cas,4409,internal,1,2,262
cas,4409,internal,2,0,31
cas,4409,internal,2,1,36
cas,4409,internal,2,2,66
cas,4409,future,0,0,4630
cas,4409,future,0,1,1728
cas,4409,future,0,2,1864
cas,4409,future,1,0,841
cas,4409,future,1,1,546
cas,4409,future,1,2,674
cas,4409,future,2,0,80
cas,4409,future,2,1,57
cas,4409,future,2,2,122
cas,5501,internal,0,0,2248
cas,5501,internal,0,1,848
cas,5501,internal,0,2,716
cas,5501,internal,1,0,446
cas,5501,internal,1,1,236
cas,5501,internal,1,2,260
cas,5501,internal,2,0,33
cas,5501,internal,2,1,45
cas,5501,internal,2,2,55
cas,5501,future,0,0,4799
cas,5501,future,0,1,1810
cas,5501,future,0,2,1613
cas,5501,future,1,0,938
cas,5501,future,1,1,559
cas,5501,future,1,2,564
cas,5501,future,2,0,98
cas,5501,future,2,1,62
cas,5501,future,2,2,99
