dataset,seed,cohort,start,rows,max_additivity_error
cas,1103,internal,0,1000,3.1974423109204508e-14
cas,1103,internal,1000,1000,3.730349362740526e-14
cas,1103,internal,2000,1000,3.3750779948604759e-14
cas,1103,internal,3000,1000,3.730349362740526e-14
cas,1103,internal,4000,887,4.0856207306205761e-14
cas,1103,future,0,1000,3.730349362740526e-14
cas,1103,future,1000,1000,3.730349362740526e-14
cas,1103,future,2000,1000,3.730349362740526e-14
cas,1103,future,3000,1000,3.730349362740526e-14
cas,1103,future,4000,887,3.730349362740526e-14
cas,2207,internal,0,1000,6.2172489379008766e-14
cas,2207,internal,1000,1000,7.815970093361102e-14
cas,2207,internal,2000,1000,7.815970093361102e-14
cas,2207,internal,3000,1000,7.460698725481052e-14
cas,2207,internal,4000,887,7.460698725481052e-14
cas,2207,future,0,1000,7.9936057773011271e-14
cas,2207,future,1000,1000,6.5725203057809267e-14
cas,2207,future,2000,1000,7.9936057773011271e-14
cas,2207,future,3000,1000,6.5725203057809267e-14
cas,2207,future,4000,887,9.1482377229112899e-14
cas,3301,internal,0,1000,3.3750779948604759e-14
cas,3301,internal,1000,1000,3.9968028886505635e-14
cas,3301,internal,2000,1000,4.1744385725905886e-14
cas,3301,internal,3000,1000,3.4638958368304884e-14
cas,3301,internal,4000,887,3.1086244689504383e-14
cas,3301,future,0,1000,2.7533531010703882e-14
cas,3301,future,1000,1000,3.730349362740526e-14
cas,3301,future,2000,1000,3.1974423109204508e-14
cas,3301,future,3000,1000,4.3520742565306136e-14
cas,3301,future,4000,887,3.730349362740526e-14
cas,4409,internal,0,1000,2.8421709430404007e-14
cas,4409,internal,1000,1000,3.5527136788005009e-14
cas,4409,internal,2000,1000,4.4408920985006262e-14
cas,4409,internal,3000,1000,2.7533531010703882e-14
cas,4409,internal,4000,887,3.1974423109204508e-14
cas,4409,future,0,1000,4.0856207306205761e-14
cas,4409,future,1000,1000,3.730349362740526e-14
cas,4409,future,2000,1000,3.3750779948604759e-14
cas,4409,future,3000,1000,4.4408920985006262e-14
cas,4409,future,4000,887,3.3750779948604759e-14
cas,5501,internal,0,1000,7.1054273576010019e-14
cas,5501,internal,1000,1000,9.4146912488213275e-14
cas,5501,internal,2000,1000,9.2370555648813024e-14
cas,5501,internal,3000,1000,6.7501559897209518e-14
cas,5501,internal,4000,887,6.4837024638109142e-14
cas,5501,future,0,1000,7.1054273576010019e-14
cas,5501,future,1000,1000,7.460698725481052e-14
cas,5501,future,2000,1000,1.0480505352461478e-13
cas,5501,future,3000,1000,9.8587804586713901e-14
cas,5501,future,4000,887,6.3948846218409017e-14
