dataset,seed,scope,rho,ci_lower,ci_upper,internal_rows,future_rows,iterations
cas,1103,overall,0.99642857142857122,0.98928571428571432,1,4887,4887,2000
cas,1103,Minor,0.99642857142857122,0.97857142857142854,0.99642857142857144,4887,4887,2000
cas,1103,Serious,1,0.98571428571428577,1,4887,4887,2000
cas,1103,Fatal,0.99642857142857122,0.98928571428571432,1,4887,4887,2000
cas,2207,overall,1,0.98928571428571432,1,4887,4887,2000
cas,2207,Minor,0.99285714285714277,0.9821428571428571,1,4887,4887,2000
cas,2207,Serious,0.99285714285714277,0.98205357142857141,1,4887,4887,2000
cas,2207,Fatal,1,0.99285714285714288,1,4887,4887,2000
cas,3301,overall,1,0.99285714285714288,1,4887,4887,2000
cas,3301,Minor,0.99285714285714277,0.9821428571428571,1,4887,4887,2000
cas,3301,Serious,0.99642857142857122,0.98928571428571432,1,4887,4887,2000
cas,3301,Fatal,1,0.99642857142857144,1,4887,4887,2000
cas,4409,overall,1,0.98928571428571432,1,4887,4887,2000
cas,4409,Minor,1,0.99285714285714288,1,4887,4887,2000
cas,4409,Serious,0.99285714285714277,0.97499999999999998,0.99642857142857144,4887,4887,2000
cas,4409,Fatal,1,0.99285714285714288,1,4887,4887,2000
cas,5501,overall,1,0.99285714285714288,1,4887,4887,2000
cas,5501,Minor,0.98571428571428543,0.9642857142857143,1,4887,4887,2000
cas,5501,Serious,0.99642857142857122,0.98571428571428577,0.99642857142857144,4887,4887,2000
cas,5501,Fatal,0.97857142857142843,0.97499999999999998,0.99642857142857144,4887,4887,2000
