dataset,seed,model,metric,gap,ci_lower,ci_upper,design,iterations
stats19,1103,dummy_most_frequent,macro_f1,0.0059776254618021385,0.0059776254618021385,0.0059776254618021385,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,macro_f1,-0.024541097291562397,-0.028329610515830324,-0.020817074818003885,independent_true_class_stratified,2000
stats19,1103,lightgbm_legacy,macro_f1,-0.0096067121690074364,-0.014500126870267076,-0.0050885926864366292,independent_true_class_stratified,2000
stats19,1103,lightgbm_revised,macro_f1,-0.0096067121690074364,-0.014500126870267076,-0.0050885926864366292,independent_true_class_stratified,2000
stats19,1103,dummy_most_frequent,qwk,0,0,0,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,qwk,0.022025674951806407,0.01446205016296738,0.030072714629770115,independent_true_class_stratified,2000
stats19,1103,lightgbm_legacy,qwk,0.045857928782610857,0.0375699878197846,0.054871752503320624,independent_true_class_stratified,2000
stats19,1103,lightgbm_revised,qwk,0.045857928782610857,0.0375699878197846,0.054871752503320624,independent_true_class_stratified,2000
stats19,1103,dummy_most_frequent,ordinal_mae,0.028330482600058993,0.028330482600058993,0.028330482600058993,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,ordinal_mae,-0.24211302009148739,-0.24809504044240452,-0.2359698047675963,independent_true_class_stratified,2000
stats19,1103,lightgbm_legacy,ordinal_mae,-0.14719188762442509,-0.15217338148825246,-0.14189422284254519,independent_true_class_stratified,2000
stats19,1103,lightgbm_revised,ordinal_mae,-0.14719188762442509,-0.15217338148825246,-0.14189422284254519,independent_true_class_stratified,2000
stats19,1103,dummy_most_frequent,accuracy,0.02794931043989457,0.02794931043989457,0.02794931043989457,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,accuracy,-0.1415874622352033,-0.14565665556852164,-0.1376341844639935,independent_true_class_stratified,2000
stats19,1103,lightgbm_legacy,accuracy,-0.10114819197937863,-0.10514562785270389,-0.097027179385573814,independent_true_class_stratified,2000
stats19,1103,lightgbm_revised,accuracy,-0.10114819197937863,-0.10514562785270389,-0.097027179385573814,independent_true_class_stratified,2000
stats19,1103,dummy_most_frequent,fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,fatal_recall,0.34588217141093708,0.3109055355853616,0.37864316343111415,independent_true_class_stratified,2000
stats19,1103,lightgbm_legacy,fatal_recall,0.26085200657587687,0.22957658743992274,0.28946052378421522,independent_true_class_stratified,2000
stats19,1103,lightgbm_revised,fatal_recall,0.26085200657587687,0.22957658743992274,0.28946052378421522,independent_true_class_stratified,2000
stats19,1103,dummy_most_frequent,serious_or_fatal_recall,0,0,0,independent_true_class_stratified,2000
stats19,1103,logistic_weighted,serious_or_fatal_recall,0.32842179600864768,0.32005595766863576,0.33720299313439422,independent_true_class_stratified,2000
