dataset,seed,cohort,model,metric,estimate,ci_lower,ci_upper
stats19,1103,internal,dummy_most_frequent,macro_f1,0.29204261966379891,0.29204261966379891,0.29204261966379891
stats19,1103,internal,logistic_weighted,macro_f1,0.32364379636096402,0.32105181441883834,0.32606493413817539
stats19,1103,internal,lightgbm_legacy,macro_f1,0.35311614153981535,0.35017246519748069,0.35596411665284666
stats19,1103,internal,lightgbm_revised,macro_f1,0.35311614153981535,0.35017246519748069,0.35596411665284666
stats19,1103,internal,dummy_most_frequent,qwk,0,0,0
stats19,1103,internal,logistic_weighted,qwk,0.098091633192830541,0.093811183759111183,0.10236051979358507
stats19,1103,internal,lightgbm_legacy,qwk,0.11647039804804415,0.11117919074127953,0.12189162811451724
stats19,1103,internal,lightgbm_revised,qwk,0.11647039804804415,0.11117919074127953,0.12189162811451724
stats19,1103,internal,dummy_most_frequent,ordinal_mae,0.23493900921085387,0.23493900921085387,0.23493900921085387
stats19,1103,internal,logistic_weighted,ordinal_mae,0.69876981163388929,0.69392555597045891,0.70369730727740432
stats19,1103,internal,lightgbm_legacy,ordinal_mae,0.53986183719193426,0.5357851526844245,0.54383453655298319
stats19,1103,internal,lightgbm_revised,ordinal_mae,0.53986183719193426,0.5357851526844245,0.54383453655298319
stats19,1103,internal,dummy_most_frequent,accuracy,0.77956186208613398,0.77956186208613398,0.77956186208613398
stats19,1103,internal,logistic_weighted,accuracy,0.48240809891295328,0.47929554601277902,0.4855722554144884
stats19,1103,internal,lightgbm_legacy,accuracy,0.54357522197328023,0.54048341423948221,0.54666651107791886
stats19,1103,internal,lightgbm_revised,accuracy,0.54357522197328023,0.54048341423948221,0.54666651107791886
stats19,1103,internal,dummy_most_frequent,fatal_recall,0,0,0
stats19,1103,internal,logistic_weighted,fatal_recall,0.65879828326180256,0.63304721030042921,0.68240343347639487
stats19,1103,internal,lightgbm_legacy,fatal_recall,0.38268955650929898,0.35622317596566522,0.40629470672389129
stats19,1103,internal,lightgbm_revised,fatal_recall,0.38268955650929898,0.35622317596566522,0.40629470672389129
stats19,1103,internal,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,1103,internal,logistic_weighted,serious_or_fatal_recall,0.61650668172407308,0.61034255599472986,0.62314252776209289
stats19,1103,internal,lightgbm_legacy,serious_or_fatal_recall,0.54799548277809151,0.54126670431018253,0.55453722002635042
stats19,1103,internal,lightgbm_revised,serious_or_fatal_recall,0.54799548277809151,0.54126670431018253,0.55453722002635042
stats19,1103,internal,dummy_most_frequent,mean_asymmetric_cost,0.48437888971869553,0.48437888971869553,0.48437888971869553
stats19,1103,internal,logistic_weighted,mean_asymmetric_cost,0.79320180897850801,0.78783892415567169,0.79882426769562687
stats19,1103,internal,lightgbm_legacy,mean_asymmetric_cost,0.65740394987967798,0.65266342004812883,0.66216574350676294
stats19,1103,internal,lightgbm_revised,mean_asymmetric_cost,0.65740394987967798,0.65266342004812883,0.66216574350676294
stats19,1103,future,dummy_most_frequent,macro_f1,0.28606499420199677,0.28606499420199677,0.28606499420199677
stats19,1103,future,logistic_weighted,macro_f1,0.34818489365252642,0.34527516893114324,0.35113764902461403
stats19,1103,future,lightgbm_legacy,macro_f1,0.36272285370882279,0.3591354369194909,0.3664582073227452
stats19,1103,future,lightgbm_revised,macro_f1,0.36272285370882279,0.3591354369194909,0.3664582073227452
stats19,1103,future,dummy_most_frequent,qwk,0,0,0
stats19,1103,future,logistic_weighted,qwk,0.076065958241024134,0.069634413874816475,0.082363547081451161
stats19,1103,future,lightgbm_legacy,qwk,0.070612469265433297,0.063412497426738726,0.07746225474613222
stats19,1103,future,lightgbm_revised,qwk,0.070612469265433297,0.063412497426738726,0.07746225474613222
stats19,1103,future,dummy_most_frequent,ordinal_mae,0.26326949181091286,0.26326949181091286,0.26326949181091286
stats19,1103,future,logistic_weighted,ordinal_mae,0.45665679154240191,0.45293033578725217,0.4603431192842351
stats19,1103,future,lightgbm_legacy,ordinal_mae,0.39266994956750917,0.38965787153090847,0.39589009878426984
stats19,1103,future,lightgbm_revised,ordinal_mae,0.39266994956750917,0.38965787153090847,0.39589009878426984
stats19,1103,future,dummy_most_frequent,accuracy,0.75161255164623941,0.75161255164623941,0.75161255164623941
stats19,1103,future,logistic_weighted,accuracy,0.62399556114815657,0.62151827558532402,0.62642454447273777
stats19,1103,future,lightgbm_legacy,accuracy,0.64472341395265886,0.64218667948120922,0.6471509110545246
stats19,1103,future,lightgbm_revised,accuracy,0.64472341395265886,0.64218667948120922,0.6471509110545246
stats19,1103,future,dummy_most_frequent,fatal_recall,0,0,0
stats19,1103,future,logistic_weighted,fatal_recall,0.31291611185086549,0.28961384820239683,0.33754993342210388
stats19,1103,future,lightgbm_legacy,fatal_recall,0.12183754993342211,0.1051930758988016,0.1384820239680426
stats19,1103,future,lightgbm_revised,fatal_recall,0.12183754993342211,0.1051930758988016,0.1384820239680426
stats19,1103,future,dummy_most_frequent,serious_or_fatal_recall,0,0,0
stats19,1103,future,logistic_weighted,serious_or_fatal_recall,0.2880848857154254,0.28241752762375844,0.29379013921576447
stats19,1103,future,lightgbm_legacy,serious_or_fatal_recall,0.27667637320994054,0.27117056922892818,0.28202162032789502
stats19,1103,future,lightgbm_revised,serious_or_fatal_recall,0.27667637320994054,0.27117056922892818,0.28202162032789502
stats19,1103,future,dummy_most_frequent,mean_asymmetric_cost,0.54142102707897788,0.54142102707897788,0.54142102707897788
stats19,1103,future,logistic_weighted,mean_asymmetric_cost,0.65393799478831238,0.64937974972009471,0.6584372863554846
stats19,1103,future,lightgbm_legacy,mean_asymmetric_cost,0.59847216304854001,0.59467709334469465,0.60253500054494835
