dataset,seed,cohort,candidate,reference,metric,delta,ci_lower,ci_upper,design
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.061073521876016446,0.058129845533681765,0.063921496989047755,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,macro_f1,0.029472345178851334,0.026538501428926345,0.032446263924089315,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,qwk,0.11647039804804415,0.11117919074127953,0.12189162811451724,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,qwk,0.018378764855213614,0.013782083151839292,0.022856833938828151,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.30492282798108039,0.30084614347357064,0.30889552734212933,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.15890797444195504,-0.16305700771720189,-0.15470578167786905,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.23598664011285375,-0.23907844784665178,-0.23289535100821512,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,accuracy,0.061167123060326956,0.058003485187951176,0.064206549249024913,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.38268955650929898,0.35622317596566522,0.40629470672389129,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.27610872675250359,-0.30044706723891279,-0.25178826895565093,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.54799548277809151,0.54126670431018253,0.55453722002635042,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.068511198945981566,-0.074816487859966085,-0.062300018821757952,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.17302506016098246,0.1682845303294333,0.17778685378806741,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.13579785909883002,-0.1407147228445772,-0.13077675089204222,paired_true_class_stratified
stats19,1103,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.07665785950682602,0.073070442717494147,0.08039321312074843,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,macro_f1,0.014537960056296373,0.011130045071353034,0.017927593233328105,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,qwk,0.070612469265433297,0.063412497426738726,0.07746225474613222,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,qwk,-0.0054534889755908367,-0.011390308705971089,0.000521250854516661,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.12940045775659631,0.12638837971999561,0.13262060697335698,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.063986841974892739,-0.067128221387735734,-0.060716408889593468,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.10688913769358055,-0.10942587216503016,-0.10446164059171481,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,accuracy,0.020727852804502289,0.018161393878743957,0.023194982512112716,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.12183754993342211,0.1051930758988016,0.1384820239680426,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.19107856191744338,-0.21304926764314247,-0.17110519307589878,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.27667637320994054,0.27117056922892818,0.28202162032789502,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.011408512505484858,-0.016714866967170637,-0.0060233754836651054,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.057051135969562128,0.053256066265716794,0.061113973465970424,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.055465831739772375,-0.059459064472341373,-0.051462938559552973,paired_true_class_stratified
stats19,1103,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.062320496660602798,0.059530787492327819,0.06528162545630023,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,macro_f1,0.031316832818621354,0.028478424664940844,0.034113772404595386,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,qwk,0.11751024104997509,0.11229350872740335,0.12265666626371595,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,qwk,0.018269043564943854,0.013891560229217736,0.02262281715608945,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.30417600199153594,0.30002645008712969,0.3081800784167289,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.15893909219151936,-0.16293305534810398,-0.15491452991452992,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.23287486515641864,-0.2358520558459879,-0.2297317131358394,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,accuracy,0.062951207368683038,0.059974016679113722,0.065855789975935553,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.39413447782546496,0.3698140200286123,0.42060085836909872,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.24535050071530762,-0.26968884120171677,-0.22103004291845496,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.54503105590062106,0.53825522303783169,0.55147750799924711,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.071757952192734842,-0.078017363071710866,-0.06549971767363072,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.17259978425026973,0.16787999958509664,0.17748527093187288,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.13600531076259226,-0.14082882125964657,-0.13128500746825988,paired_true_class_stratified
stats19,2207,internal,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,macro_f1,0.072366602768515031,0.068553920660251538,0.076000935522244961,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,macro_f1,0.020566800873538016,0.016988472415933084,0.023986966837460263,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,qwk,0.063984669481974343,0.057305586606299148,0.070400572833530753,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,qwk,0.01729232115753021,0.010950685931502202,0.02317838411231584,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.12295025117163888,0.12008654770279506,0.12592269660249483,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,ordinal_mae,-0.044903742308797456,-0.047846710989130771,-0.04190157242363296,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,accuracy,-0.10041911480575072,-0.10283670375618026,-0.09798121414487708,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,accuracy,0.009878426981878019,0.007371416964736888,0.012187026266509471,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,fatal_recall,0.1151797603195739,0.098518641810918781,0.13117509986684411,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,fatal_recall,-0.10719041278295606,-0.12583222370173103,-0.089214380825565917,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.25186485300570427,0.24671805815947984,0.25713032031592803,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,0.02880051059076949,0.023614823088276365,0.033746858670070601,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,serious_or_fatal_recall,0,0,0,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,dummy_most_frequent,mean_asymmetric_cost,0.05696196260663644,0.053156984751354906,0.060707986960872692,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,logistic_weighted,mean_asymmetric_cost,-0.048867002883272059,-0.052612531829936499,-0.044953283065978344,paired_true_class_stratified
stats19,2207,future,lightgbm_revised,lightgbm_legacy,mean_asymmetric_cost,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,macro_f1,0.061248946930264059,0.058505222735138231,0.064050912216406464,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,macro_f1,0.029764715076590065,0.026835308818914466,0.032485200190532353,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,macro_f1,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,qwk,0.11200004965455745,0.10655427777238574,0.11714046474252733,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,qwk,0.016141411550702811,0.011922197027485718,0.020447233950511234,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,qwk,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,ordinal_mae,0.30801385777113938,0.30391642809725333,0.31223575844328272,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,ordinal_mae,-0.15251846319807483,-0.15641907310596637,-0.14824469960999087,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,ordinal_mae,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,accuracy,-0.23488714629491325,-0.23794705833540786,-0.23178522529250678,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,accuracy,0.05914446933864409,0.056001576632644545,0.061934694216247588,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,accuracy,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,fatal_recall,0.3750894774516822,0.35073371510379386,0.40085898353614891,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,fatal_recall,-0.25196850393700787,-0.27560844667143886,-0.22691481746599856,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,lightgbm_legacy,fatal_recall,0,0,0,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,dummy_most_frequent,serious_or_fatal_recall,0.5474095336690038,0.54086866500399977,0.55395275516446285,paired_true_class_stratified
stats19,3301,internal,lightgbm_revised,logistic_weighted,serious_or_fatal_recall,-0.061644157921980192,-0.067903863347607188,-0.055570326102301004,paired_true_class_stratified
