dataset,seed,cohort,true_class,predicted_class,count
stats19,1103,internal,0,0,44629
stats19,1103,internal,0,1,22841
stats19,1103,internal,0,2,7686
stats19,1103,internal,1,0,9248
stats19,1103,internal,1,1,7241
stats19,1103,internal,1,2,3365
stats19,1103,internal,2,0,358
stats19,1103,internal,2,1,505
stats19,1103,internal,2,2,535
stats19,1103,future,0,0,59628
stats19,1103,future,0,1,13373
stats19,1103,future,0,2,2857
stats19,1103,future,1,0,17216
stats19,1103,future,1,1,5259
stats19,1103,future,1,2,1092
stats19,1103,future,2,0,917
stats19,1103,future,2,1,402
stats19,1103,future,2,2,183
stats19,2207,internal,0,0,45039
stats19,2207,internal,0,1,22219
stats19,2207,internal,0,2,7898
stats19,2207,internal,1,0,9295
stats19,2207,internal,1,1,7115
stats19,2207,internal,1,2,3444
stats19,2207,internal,2,0,374
stats19,2207,internal,2,1,473
stats19,2207,internal,2,2,551
stats19,2207,future,0,0,60849
stats19,2207,future,0,1,12176
stats19,2207,future,0,2,2833
stats19,2207,future,1,0,17812
stats19,2207,future,1,1,4701
stats19,2207,future,1,2,1054
stats19,2207,future,2,0,943
stats19,2207,future,2,1,386
stats19,2207,future,2,2,173
stats19,3301,internal,0,0,44728
stats19,3301,internal,0,1,22378
stats19,3301,internal,0,2,8051
stats19,3301,internal,1,0,9222
stats19,3301,internal,1,1,7260
stats19,3301,internal,1,2,3372
stats19,3301,internal,2,0,396
stats19,3301,internal,2,1,477
stats19,3301,internal,2,2,524
stats19,3301,future,0,0,62533
stats19,3301,future,0,1,10563
stats19,3301,future,0,2,2762
stats19,3301,future,1,0,18699
stats19,3301,future,1,1,3827
stats19,3301,future,1,2,1041
stats19,3301,future,2,0,1063
stats19,3301,future,2,1,272
stats19,3301,future,2,2,167
stats19,4409,internal,0,0,45002
stats19,4409,internal,0,1,22256
stats19,4409,internal,0,2,7899
stats19,4409,internal,1,0,9202
stats19,4409,internal,1,1,7326
stats19,4409,internal,1,2,3326
stats19,4409,internal,2,0,372
stats19,4409,internal,2,1,483
stats19,4409,internal,2,2,542
stats19,4409,future,0,0,60533
stats19,4409,future,0,1,12278
stats19,4409,future,0,2,3047
stats19,4409,future,1,0,17778
stats19,4409,future,1,1,4564
stats19,4409,future,1,2,1225
stats19,4409,future,2,0,954
stats19,4409,future,2,1,346
stats19,4409,future,2,2,202
stats19,5501,internal,0,0,44918
stats19,5501,internal,0,1,22570
stats19,5501,internal,0,2,7669
stats19,5501,internal,1,0,9134
stats19,5501,internal,1,1,7359
stats19,5501,internal,1,2,3361
stats19,5501,internal,2,0,360
stats19,5501,internal,2,1,522
stats19,5501,internal,2,2,515
stats19,5501,future,0,0,60150
stats19,5501,future,0,1,12912
stats19,5501,future,0,2,2796
stats19,5501,future,1,0,17446
stats19,5501,future,1,1,5086
stats19,5501,future,1,2,1035
stats19,5501,future,2,0,914
stats19,5501,future,2,1,434
stats19,5501,future,2,2,154
