dataset,seed,cohort,start,rows,max_additivity_error
stats19,1103,internal,0,1000,4.6185277824406512e-14
stats19,1103,internal,1000,1000,4.7073456244106637e-14
stats19,1103,internal,2000,1000,6.4837024638109142e-14
stats19,1103,internal,3000,1000,5.6843418860808015e-14
stats19,1103,internal,4000,1000,3.907985046680551e-14
stats19,1103,internal,5000,1000,4.9737991503207013e-14
stats19,1103,internal,6000,1000,5.1514348342607263e-14
stats19,1103,internal,7000,1000,6.2172489379008766e-14
stats19,1103,internal,8000,1000,5.4178883601707639e-14
stats19,1103,internal,9000,1000,4.7961634663806763e-14
stats19,1103,future,0,1000,6.0396132539608516e-14
stats19,1103,future,1000,1000,5.5067062021407764e-14
stats19,1103,future,2000,1000,5.6843418860808015e-14
stats19,1103,future,3000,1000,3.907985046680551e-14
stats19,1103,future,4000,1000,5.4178883601707639e-14
stats19,1103,future,5000,1000,7.1054273576010019e-14
stats19,1103,future,6000,1000,5.6843418860808015e-14
stats19,1103,future,7000,1000,5.5067062021407764e-14
stats19,1103,future,8000,1000,4.8849813083506888e-14
stats19,1103,future,9000,1000,5.6843418860808015e-14
stats19,2207,internal,0,1000,7.815970093361102e-14
stats19,2207,internal,1000,1000,4.4408920985006262e-14
stats19,2207,internal,2000,1000,7.9936057773011271e-14
stats19,2207,internal,3000,1000,4.0856207306205761e-14
stats19,2207,internal,4000,1000,6.0396132539608516e-14
stats19,2207,internal,5000,1000,6.7501559897209518e-14
stats19,2207,internal,6000,1000,6.3948846218409017e-14
stats19,2207,internal,7000,1000,7.815970093361102e-14
stats19,2207,internal,8000,1000,7.638334409421077e-14
stats19,2207,internal,9000,1000,6.3948846218409017e-14
stats19,2207,future,0,1000,6.9277916736609768e-14
stats19,2207,future,1000,1000,5.4178883601707639e-14
stats19,2207,future,2000,1000,4.7961634663806763e-14
stats19,2207,future,3000,1000,4.9737991503207013e-14
stats19,2207,future,4000,1000,6.5725203057809267e-14
stats19,2207,future,5000,1000,6.3948846218409017e-14
stats19,2207,future,6000,1000,5.9507954119908391e-14
stats19,2207,future,7000,1000,6.5725203057809267e-14
stats19,2207,future,8000,1000,5.8619775700208265e-14
stats19,2207,future,9000,1000,6.5725203057809267e-14
stats19,3301,internal,0,1000,7.638334409421077e-14
stats19,3301,internal,1000,1000,4.2632564145606011e-14
stats19,3301,internal,2000,1000,5.8619775700208265e-14
stats19,3301,internal,3000,1000,5.1514348342607263e-14
stats19,3301,internal,4000,1000,4.4408920985006262e-14
stats19,3301,internal,5000,1000,5.9507954119908391e-14
stats19,3301,internal,6000,1000,5.5067062021407764e-14
stats19,3301,internal,7000,1000,6.2172489379008766e-14
stats19,3301,internal,8000,1000,5.8619775700208265e-14
stats19,3301,internal,9000,1000,7.9936057773011271e-14
stats19,3301,future,0,1000,5.5067062021407764e-14
stats19,3301,future,1000,1000,7.638334409421077e-14
stats19,3301,future,2000,1000,6.9277916736609768e-14
stats19,3301,future,3000,1000,5.1514348342607263e-14
stats19,3301,future,4000,1000,8.6153306710912148e-14
stats19,3301,future,5000,1000,5.2402526762307389e-14
stats19,3301,future,6000,1000,6.5725203057809267e-14
stats19,3301,future,7000,1000,5.773159728050814e-14
stats19,3301,future,8000,1000,5.6843418860808015e-14
stats19,3301,future,9000,1000,6.3948846218409017e-14
stats19,4409,internal,0,1000,5.3290705182007514e-14
stats19,4409,internal,1000,1000,7.5495165674510645e-14
stats19,4409,internal,2000,1000,4.7961634663806763e-14
stats19,4409,internal,3000,1000,5.8619775700208265e-14
stats19,4409,internal,4000,1000,8.0824236192711396e-14
stats19,4409,internal,5000,1000,4.7961634663806763e-14
stats19,4409,internal,6000,1000,8.8817841970012523e-14
stats19,4409,internal,7000,1000,6.5725203057809267e-14
stats19,4409,internal,8000,1000,6.7501559897209518e-14
stats19,4409,internal,9000,1000,6.3948846218409017e-14
stats19,4409,future,0,1000,5.8619775700208265e-14
stats19,4409,future,1000,1000,5.8619775700208265e-14
stats19,4409,future,2000,1000,7.460698725481052e-14
stats19,4409,future,3000,1000,6.3948846218409017e-14
stats19,4409,future,4000,1000,5.8619775700208265e-14
stats19,4409,future,5000,1000,6.7501559897209518e-14
stats19,4409,future,6000,1000,6.2172489379008766e-14
stats19,4409,future,7000,1000,8.7041485130612273e-14
stats19,4409,future,8000,1000,6.7501559897209518e-14
stats19,4409,future,9000,1000,6.9277916736609768e-14
stats19,5501,internal,0,1000,3.8635761256955448e-14
stats19,5501,internal,1000,1000,4.7073456244106637e-14
stats19,5501,internal,2000,1000,4.4408920985006262e-14
stats19,5501,internal,3000,1000,5.1514348342607263e-14
stats19,5501,internal,4000,1000,5.5067062021407764e-14
stats19,5501,internal,5000,1000,5.5067062021407764e-14
stats19,5501,internal,6000,1000,5.3290705182007514e-14
stats19,5501,internal,7000,1000,5.1514348342607263e-14
stats19,5501,internal,8000,1000,5.6843418860808015e-14
stats19,5501,internal,9000,1000,6.9277916736609768e-14
stats19,5501,future,0,1000,6.0396132539608516e-14
stats19,5501,future,1000,1000,4.6185277824406512e-14
stats19,5501,future,2000,1000,4.7961634663806763e-14
stats19,5501,future,3000,1000,4.9737991503207013e-14
stats19,5501,future,4000,1000,5.1514348342607263e-14
stats19,5501,future,5000,1000,5.8619775700208265e-14
stats19,5501,future,6000,1000,5.5067062021407764e-14
stats19,5501,future,7000,1000,4.8849813083506888e-14
stats19,5501,future,8000,1000,6.0396132539608516e-14
stats19,5501,future,9000,1000,8.1712414612411521e-14
