dataset,seed,cohort,scope,feature,mean_abs_shap,rank,mean_signed_shap,positive_fraction,negative_fraction
stats19,1103,internal,overall,feature_day_of_week,0.053636265591463395,12,0.0010368768123527388,0.52229999999999999,0.47770000000000001
stats19,1103,internal,overall,feature_first_road_class,0.078540936821857865,8,-0.0083771182883579272,0.49309999999999998,0.50690000000000002
stats19,1103,internal,overall,feature_road_type,0.1414744470862766,2,0.008499304809367593,0.7893,0.2107
stats19,1103,internal,overall,feature_junction_detail,0.06515230311697702,11,0.001694943494552703,0.76729999999999998,0.23269999999999999
stats19,1103,internal,overall,feature_junction_control,0.10087840959726865,5,0.0076528878010292825,0.83640000000000003,0.1636
stats19,1103,internal,overall,feature_second_road_class,0.09939269130767113,6,-0.0098047579615133645,0.53420000000000001,0.46579999999999999
stats19,1103,internal,overall,feature_pedestrian_crossing,0.097516751487425321,7,0.0068654980399212246,0.80830000000000002,0.19170000000000001
stats19,1103,internal,overall,feature_light_conditions,0.042085839369971116,16,0.0027689171370890477,0.68810000000000004,0.31190000000000001
stats19,1103,internal,overall,feature_weather_conditions,0.14000630804815015,3,0.0057479670846213521,0.81289999999999996,0.18709999999999999
stats19,1103,internal,overall,feature_road_surface_conditions,0.043245981496784471,15,-0.0024828068651497458,0.77270000000000005,0.2273
stats19,1103,internal,overall,feature_special_conditions_at_site,0.025327094270682179,17,-0.0021733171836040514,0.93589999999999995,0.064100000000000004
stats19,1103,internal,overall,feature_carriageway_hazards,0.050692613814274166,13,0.00033317815142833341,0.94330000000000003,0.0567
stats19,1103,internal,overall,feature_urban_or_rural_area,0.067688563060761583,10,-0.0023349783698009166,0.33360000000000001,0.66639999999999999
stats19,1103,internal,overall,feature_trunk_road_flag,0.04707424345457413,14,0.0060394573151981426,0.85309999999999997,0.1469
stats19,1103,internal,overall,feature_speed_limit,0.16969697321329966,1,-0.0053913841051822778,0.54320000000000002,0.45679999999999998
stats19,1103,internal,overall,feature_month,0.076771467857704515,9,-0.00071308486686792109,0.49409999999999998,0.50590000000000002
stats19,1103,internal,overall,feature_hour,0.12517610468562865,4,-0.00095897671166604646,0.49149999999999999,0.50849999999999995
stats19,1103,internal,Slight,feature_day_of_week,0.042693889734602301,14,8.7956502585420976e-05,0.54100000000000004,0.45900000000000002
stats19,1103,internal,Slight,feature_first_road_class,0.050098857030402622,10,0.0017641031425140816,0.47999999999999998,0.52000000000000002
stats19,1103,internal,Slight,feature_road_type,0.1041012942447244,3,-0.0049116517315766954,0.2576,0.74239999999999995
