model,true,predicted,count
main_logistic_weighted,0,0,48575
main_logistic_weighted,0,1,13077
main_logistic_weighted,0,2,14206
main_logistic_weighted,1,0,12403
main_logistic_weighted,1,1,4770
main_logistic_weighted,1,2,6394
main_logistic_weighted,2,0,448
main_logistic_weighted,2,1,198
main_logistic_weighted,2,2,856
main_lightgbm_weighted,0,0,51562
main_lightgbm_weighted,0,1,18539
main_lightgbm_weighted,0,2,5757
main_lightgbm_weighted,1,0,13627
main_lightgbm_weighted,1,1,7255
main_lightgbm_weighted,1,2,2685
main_lightgbm_weighted,2,0,656
main_lightgbm_weighted,2,1,441
main_lightgbm_weighted,2,2,405
exclude2020_logistic_weighted,0,0,46765
exclude2020_logistic_weighted,0,1,13410
exclude2020_logistic_weighted,0,2,15683
exclude2020_logistic_weighted,1,0,11699
exclude2020_logistic_weighted,1,1,4838
exclude2020_logistic_weighted,1,2,7030
exclude2020_logistic_weighted,2,0,395
exclude2020_logistic_weighted,2,1,203
exclude2020_logistic_weighted,2,2,904
exclude2020_lightgbm_weighted,0,0,50908
exclude2020_lightgbm_weighted,0,1,19212
exclude2020_lightgbm_weighted,0,2,5738
exclude2020_lightgbm_weighted,1,0,13442
exclude2020_lightgbm_weighted,1,1,7463
exclude2020_lightgbm_weighted,1,2,2662
exclude2020_lightgbm_weighted,2,0,608
exclude2020_lightgbm_weighted,2,1,478
exclude2020_lightgbm_weighted,2,2,416
