model,metric,estimate,ci_lower,ci_upper
main_logistic_weighted,macro_f1,0.33716295512088096,0.33475507707251484,0.33963952762835498
main_lightgbm_weighted,macro_f1,0.36578988815018154,0.36268408336510544,0.36895896068500666
exclude2020_logistic_weighted,macro_f1,0.33217661950173322,0.32979542253971256,0.33467831249814151
exclude2020_lightgbm_weighted,macro_f1,0.36598698418484549,0.36291443883270719,0.36912718968769553
main_logistic_weighted,qwk,0.10518005372175343,0.10032192318183081,0.11012132215435491
main_lightgbm_weighted,qwk,0.10465569181872225,0.098574892989828591,0.11102824423122426
exclude2020_logistic_weighted,qwk,0.10429492662892692,0.099469355247110258,0.10890376832216543
exclude2020_lightgbm_weighted,qwk,0.10572797845046977,0.099830248218947065,0.1119047056315283
main_logistic_weighted,ordinal_mae,0.60816233515313045,0.60359343882211891,0.61261159055555015
main_lightgbm_weighted,ordinal_mae,0.47676043080642444,0.47298492970166556,0.48039697008729082
exclude2020_logistic_weighted,ordinal_mae,0.63905595133116011,0.63449795396672837,0.64357406838606124
exclude2020_lightgbm_weighted,ordinal_mae,0.48040663053494109,0.47659149682443747,0.4840032895062768
main_logistic_weighted,accuracy,0.53703171599274724,0.53427700218970142,0.54003388587791179
main_lightgbm_weighted,accuracy,0.58678054435383986,0.5839369048916544,0.58971360488273705
exclude2020_logistic_weighted,accuracy,0.52024730745984726,0.51741332844531196,0.52317045983730814
exclude2020_lightgbm_weighted,accuracy,0.58247049847909871,0.57959713456260464,0.58540331130420997
main_logistic_weighted,fatal_recall,0.56990679094540608,0.54459054593874834,0.59653794940079896
main_lightgbm_weighted,fatal_recall,0.26964047936085217,0.24633821571238348,0.29161118508655126
exclude2020_logistic_weighted,fatal_recall,0.60186418109187745,0.57789613848202392,0.6271637816245007
exclude2020_lightgbm_weighted,fatal_recall,0.2769640479360852,0.25366178428761649,0.29893475366178429
main_logistic_weighted,serious_or_fatal_recall,0.48737484542662252,0.48154992221468751,0.49320076588615425
main_lightgbm_weighted,serious_or_fatal_recall,0.43025250309146756,0.42402868084087919,0.43639754278192189
exclude2020_logistic_weighted,serious_or_fatal_recall,0.51757150265267859,0.51138757030595561,0.52367465794407431
exclude2020_lightgbm_weighted,serious_or_fatal_recall,0.43954685069208982,0.43308468626590607,0.44576967569508158
main_logistic_weighted,mean_asymmetric_cost,0.74829332091511691,0.74314083446451396,0.75331700139704938
main_lightgbm_weighted,mean_asymmetric_cost,0.64001704202047027,0.63526979896360736,0.6445958465029179
exclude2020_logistic_weighted,mean_asymmetric_cost,0.77073528391807944,0.765503532255987,0.77591873334192041
exclude2020_lightgbm_weighted,mean_asymmetric_cost,0.6411366631327593,0.63644985979965718,0.6455861662389647
