contrast,metric,delta,ci_lower,ci_upper,iterations,design
main_LightGBM_minus_Logistic,macro_f1,0.028626933029300583,0.025425493540371158,0.031922315136971781,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,macro_f1,0.033810364683112271,0.030695953593516928,0.036976386839502717,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,macro_f1,-0.0049863356191477415,-0.0059406732899405902,-0.0040432521473963198,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,macro_f1,0.0001970960346639461,-0.0024276592543792568,0.0026699055941996298,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,macro_f1,0.0051834316538116876,0.0025161438673114919,0.0078307073901265501,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,qwk,-0.00052436190303117858,-0.0056969857387963816,0.0048825609475187373,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,qwk,0.0014330518215428523,-0.0037281664961837904,0.0065780271818804492,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,qwk,-0.00088512709282650981,-0.0028162542945368101,0.00113963857827099,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,qwk,0.001072286631747521,-0.0031606443125427514,0.005316702320951233,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,qwk,0.0019574137245740308,-0.0025350894231046918,0.0064593132375675892,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,ordinal_mae,-0.13140190434670601,-0.13527599155825493,-0.12752633091244167,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,ordinal_mae,-0.15864932079621902,-0.16252464652669746,-0.15473510557135356,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,ordinal_mae,0.030893616178029659,0.029199074578655806,0.032647606686020597,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,ordinal_mae,0.0036461997285166525,0.0011193734085031769,0.0064011612353482936,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,ordinal_mae,-0.027247416449513062,-0.030299127091858391,-0.024254907011998748,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,accuracy,0.049748828361092623,0.047063719321886133,0.052573642335549411,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,accuracy,0.062223191019251445,0.059379056149494167,0.065047261882350535,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,accuracy,-0.016784408532899975,-0.017884956453674428,-0.01572374092165623,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,accuracy,-0.004310045874741153,-0.006579507961199724,-0.0020705559463770852,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,accuracy,0.012474362658158822,0.010017141101984702,0.014912263319032674,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,fatal_recall,-0.30026631158455391,-0.3249167776298269,-0.27563249001331563,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,fatal_recall,-0.32490013315579225,-0.34955059920106524,-0.29893475366178435,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,fatal_recall,0.031957390146471365,0.022636484687083902,0.041944074567243694,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,fatal_recall,0.0073235685752330304,-0.0099866844207723293,0.025299600532623145,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,fatal_recall,-0.024633821571238335,-0.044607190412782993,-0.0046604527296937853,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,serious_or_fatal_recall,-0.057122342335154952,-0.062548366508436717,-0.051455981491084629,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,serious_or_fatal_recall,-0.078024651960588776,-0.084008137540388494,-0.07216083609238505,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,serious_or_fatal_recall,0.030196657226056078,0.027762375842674193,0.032550161554110668,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,serious_or_fatal_recall,0.0092943476006222547,0.0044676692329171912,0.013921576449000772,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,serious_or_fatal_recall,-0.020902309625433824,-0.026087997127926976,-0.015994854202401362,2000,paired_common_2024_true_class_stratified
main_LightGBM_minus_Logistic,mean_asymmetric_cost,-0.10827627889464664,-0.11298289853062113,-0.10365908032538362,2000,paired_common_2024_true_class_stratified
exclude2020_LightGBM_minus_Logistic,mean_asymmetric_cost,-0.12959862078532014,-0.13442413823852881,-0.12490141389320993,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_Logistic,mean_asymmetric_cost,0.022441963002962528,0.020420700109980535,0.024383960684455034,2000,paired_common_2024_true_class_stratified
exclude2020_minus_main_LightGBM,mean_asymmetric_cost,0.0011196211122890265,-0.002130500262566093,0.004716775491196595,2000,paired_common_2024_true_class_stratified
change_in_model_contrast,mean_asymmetric_cost,-0.021322341890673502,-0.025097595291646544,-0.017684564090877628,2000,paired_common_2024_true_class_stratified
