group,model,true,predicted,count
temporal_2024,dummy_most_frequent,0,0,75858
temporal_2024,dummy_most_frequent,0,1,0
temporal_2024,dummy_most_frequent,0,2,0
temporal_2024,dummy_most_frequent,1,0,23567
temporal_2024,dummy_most_frequent,1,1,0
temporal_2024,dummy_most_frequent,1,2,0
temporal_2024,dummy_most_frequent,2,0,1502
temporal_2024,dummy_most_frequent,2,1,0
temporal_2024,dummy_most_frequent,2,2,0
temporal_2024,logistic_unweighted,0,0,75858
temporal_2024,logistic_unweighted,0,1,0
temporal_2024,logistic_unweighted,0,2,0
temporal_2024,logistic_unweighted,1,0,23567
temporal_2024,logistic_unweighted,1,1,0
temporal_2024,logistic_unweighted,1,2,0
temporal_2024,logistic_unweighted,2,0,1502
temporal_2024,logistic_unweighted,2,1,0
temporal_2024,logistic_unweighted,2,2,0
temporal_2024,logistic_weighted,0,0,48575
temporal_2024,logistic_weighted,0,1,13077
temporal_2024,logistic_weighted,0,2,14206
temporal_2024,logistic_weighted,1,0,12403
temporal_2024,logistic_weighted,1,1,4770
temporal_2024,logistic_weighted,1,2,6394
temporal_2024,logistic_weighted,2,0,448
temporal_2024,logistic_weighted,2,1,198
temporal_2024,logistic_weighted,2,2,856
temporal_2024,lightgbm_weighted,0,0,51562
temporal_2024,lightgbm_weighted,0,1,18539
temporal_2024,lightgbm_weighted,0,2,5757
temporal_2024,lightgbm_weighted,1,0,13627
temporal_2024,lightgbm_weighted,1,1,7255
temporal_2024,lightgbm_weighted,1,2,2685
temporal_2024,lightgbm_weighted,2,0,656
temporal_2024,lightgbm_weighted,2,1,441
temporal_2024,lightgbm_weighted,2,2,405
random_seed_1103_internal,dummy_most_frequent,0,0,75156
random_seed_1103_internal,dummy_most_frequent,0,1,0
random_seed_1103_internal,dummy_most_frequent,0,2,0
random_seed_1103_internal,dummy_most_frequent,1,0,19854
random_seed_1103_internal,dummy_most_frequent,1,1,0
random_seed_1103_internal,dummy_most_frequent,1,2,0
random_seed_1103_internal,dummy_most_frequent,2,0,1398
random_seed_1103_internal,dummy_most_frequent,2,1,0
random_seed_1103_internal,dummy_most_frequent,2,2,0
random_seed_1103_internal,logistic_unweighted,0,0,75152
random_seed_1103_internal,logistic_unweighted,0,1,4
random_seed_1103_internal,logistic_unweighted,0,2,0
random_seed_1103_internal,logistic_unweighted,1,0,19853
random_seed_1103_internal,logistic_unweighted,1,1,1
random_seed_1103_internal,logistic_unweighted,1,2,0
random_seed_1103_internal,logistic_unweighted,2,0,1398
random_seed_1103_internal,logistic_unweighted,2,1,0
random_seed_1103_internal,logistic_unweighted,2,2,0
random_seed_1103_internal,logistic_weighted,0,0,40237
random_seed_1103_internal,logistic_weighted,0,1,17540
random_seed_1103_internal,logistic_weighted,0,2,17379
random_seed_1103_internal,logistic_weighted,1,0,7948
random_seed_1103_internal,logistic_weighted,1,1,5285
random_seed_1103_internal,logistic_weighted,1,2,6621
random_seed_1103_internal,logistic_weighted,2,0,244
random_seed_1103_internal,logistic_weighted,2,1,231
random_seed_1103_internal,logistic_weighted,2,2,923
random_seed_1103_internal,lightgbm_weighted,0,0,44545
random_seed_1103_internal,lightgbm_weighted,0,1,23026
random_seed_1103_internal,lightgbm_weighted,0,2,7585
random_seed_1103_internal,lightgbm_weighted,1,0,9206
random_seed_1103_internal,lightgbm_weighted,1,1,7356
random_seed_1103_internal,lightgbm_weighted,1,2,3292
random_seed_1103_internal,lightgbm_weighted,2,0,368
random_seed_1103_internal,lightgbm_weighted,2,1,506
random_seed_1103_internal,lightgbm_weighted,2,2,524
random_seed_1103_2024,dummy_most_frequent,0,0,75858
random_seed_1103_2024,dummy_most_frequent,0,1,0
random_seed_1103_2024,dummy_most_frequent,0,2,0
random_seed_1103_2024,dummy_most_frequent,1,0,23567
random_seed_1103_2024,dummy_most_frequent,1,1,0
random_seed_1103_2024,dummy_most_frequent,1,2,0
random_seed_1103_2024,dummy_most_frequent,2,0,1502
random_seed_1103_2024,dummy_most_frequent,2,1,0
random_seed_1103_2024,dummy_most_frequent,2,2,0
random_seed_1103_2024,logistic_unweighted,0,0,75858
random_seed_1103_2024,logistic_unweighted,0,1,0
random_seed_1103_2024,logistic_unweighted,0,2,0
random_seed_1103_2024,logistic_unweighted,1,0,23567
random_seed_1103_2024,logistic_unweighted,1,1,0
random_seed_1103_2024,logistic_unweighted,1,2,0
random_seed_1103_2024,logistic_unweighted,2,0,1502
random_seed_1103_2024,logistic_unweighted,2,1,0
random_seed_1103_2024,logistic_unweighted,2,2,0
random_seed_1103_2024,logistic_weighted,0,0,48814
random_seed_1103_2024,logistic_weighted,0,1,13651
random_seed_1103_2024,logistic_weighted,0,2,13393
random_seed_1103_2024,logistic_weighted,1,0,12609
random_seed_1103_2024,logistic_weighted,1,1,4985
random_seed_1103_2024,logistic_weighted,1,2,5973
random_seed_1103_2024,logistic_weighted,2,0,474
random_seed_1103_2024,logistic_weighted,2,1,209
random_seed_1103_2024,logistic_weighted,2,2,819
random_seed_1103_2024,lightgbm_weighted,0,0,52295
random_seed_1103_2024,lightgbm_weighted,0,1,19403
random_seed_1103_2024,lightgbm_weighted,0,2,4160
random_seed_1103_2024,lightgbm_weighted,1,0,14070
random_seed_1103_2024,lightgbm_weighted,1,1,7610
random_seed_1103_2024,lightgbm_weighted,1,2,1887
random_seed_1103_2024,lightgbm_weighted,2,0,692
random_seed_1103_2024,lightgbm_weighted,2,1,535
random_seed_1103_2024,lightgbm_weighted,2,2,275
random_seed_2207_internal,dummy_most_frequent,0,0,75156
random_seed_2207_internal,dummy_most_frequent,0,1,0
random_seed_2207_internal,dummy_most_frequent,0,2,0
random_seed_2207_internal,dummy_most_frequent,1,0,19854
random_seed_2207_internal,dummy_most_frequent,1,1,0
random_seed_2207_internal,dummy_most_frequent,1,2,0
random_seed_2207_internal,dummy_most_frequent,2,0,1398
random_seed_2207_internal,dummy_most_frequent,2,1,0
random_seed_2207_internal,dummy_most_frequent,2,2,0
random_seed_2207_internal,logistic_unweighted,0,0,75150
random_seed_2207_internal,logistic_unweighted,0,1,6
random_seed_2207_internal,logistic_unweighted,0,2,0
random_seed_2207_internal,logistic_unweighted,1,0,19854
random_seed_2207_internal,logistic_unweighted,1,1,0
random_seed_2207_internal,logistic_unweighted,1,2,0
random_seed_2207_internal,logistic_unweighted,2,0,1397
random_seed_2207_internal,logistic_unweighted,2,1,1
random_seed_2207_internal,logistic_unweighted,2,2,0
random_seed_2207_internal,logistic_weighted,0,0,40281
random_seed_2207_internal,logistic_weighted,0,1,17391
random_seed_2207_internal,logistic_weighted,0,2,17484
random_seed_2207_internal,logistic_weighted,1,0,7889
random_seed_2207_internal,logistic_weighted,1,1,5234
random_seed_2207_internal,logistic_weighted,1,2,6731
random_seed_2207_internal,logistic_weighted,2,0,235
random_seed_2207_internal,logistic_weighted,2,1,267
random_seed_2207_internal,logistic_weighted,2,2,896
random_seed_2207_internal,lightgbm_weighted,0,0,44655
random_seed_2207_internal,lightgbm_weighted,0,1,22460
random_seed_2207_internal,lightgbm_weighted,0,2,8041
random_seed_2207_internal,lightgbm_weighted,1,0,9178
random_seed_2207_internal,lightgbm_weighted,1,1,7193
random_seed_2207_internal,lightgbm_weighted,1,2,3483
random_seed_2207_internal,lightgbm_weighted,2,0,360
random_seed_2207_internal,lightgbm_weighted,2,1,510
random_seed_2207_internal,lightgbm_weighted,2,2,528
random_seed_2207_2024,dummy_most_frequent,0,0,75858
random_seed_2207_2024,dummy_most_frequent,0,1,0
random_seed_2207_2024,dummy_most_frequent,0,2,0
random_seed_2207_2024,dummy_most_frequent,1,0,23567
random_seed_2207_2024,dummy_most_frequent,1,1,0
random_seed_2207_2024,dummy_most_frequent,1,2,0
random_seed_2207_2024,dummy_most_frequent,2,0,1502
random_seed_2207_2024,dummy_most_frequent,2,1,0
random_seed_2207_2024,dummy_most_frequent,2,2,0
random_seed_2207_2024,logistic_unweighted,0,0,75858
random_seed_2207_2024,logistic_unweighted,0,1,0
random_seed_2207_2024,logistic_unweighted,0,2,0
random_seed_2207_2024,logistic_unweighted,1,0,23567
random_seed_2207_2024,logistic_unweighted,1,1,0
random_seed_2207_2024,logistic_unweighted,1,2,0
random_seed_2207_2024,logistic_unweighted,2,0,1502
random_seed_2207_2024,logistic_unweighted,2,1,0
random_seed_2207_2024,logistic_unweighted,2,2,0
random_seed_2207_2024,logistic_weighted,0,0,50190
random_seed_2207_2024,logistic_weighted,0,1,13324
random_seed_2207_2024,logistic_weighted,0,2,12344
random_seed_2207_2024,logistic_weighted,1,0,13226
random_seed_2207_2024,logistic_weighted,1,1,4798
random_seed_2207_2024,logistic_weighted,1,2,5543
random_seed_2207_2024,logistic_weighted,2,0,562
random_seed_2207_2024,logistic_weighted,2,1,199
random_seed_2207_2024,logistic_weighted,2,2,741
random_seed_2207_2024,lightgbm_weighted,0,0,52356
random_seed_2207_2024,lightgbm_weighted,0,1,18325
random_seed_2207_2024,lightgbm_weighted,0,2,5177
random_seed_2207_2024,lightgbm_weighted,1,0,14055
random_seed_2207_2024,lightgbm_weighted,1,1,7157
random_seed_2207_2024,lightgbm_weighted,1,2,2355
random_seed_2207_2024,lightgbm_weighted,2,0,675
random_seed_2207_2024,lightgbm_weighted,2,1,468
random_seed_2207_2024,lightgbm_weighted,2,2,359
random_seed_3301_internal,dummy_most_frequent,0,0,75157
random_seed_3301_internal,dummy_most_frequent,0,1,0
random_seed_3301_internal,dummy_most_frequent,0,2,0
random_seed_3301_internal,dummy_most_frequent,1,0,19854
random_seed_3301_internal,dummy_most_frequent,1,1,0
random_seed_3301_internal,dummy_most_frequent,1,2,0
random_seed_3301_internal,dummy_most_frequent,2,0,1397
random_seed_3301_internal,dummy_most_frequent,2,1,0
random_seed_3301_internal,dummy_most_frequent,2,2,0
random_seed_3301_internal,logistic_unweighted,0,0,75156
random_seed_3301_internal,logistic_unweighted,0,1,1
random_seed_3301_internal,logistic_unweighted,0,2,0
random_seed_3301_internal,logistic_unweighted,1,0,19853
random_seed_3301_internal,logistic_unweighted,1,1,1
random_seed_3301_internal,logistic_unweighted,1,2,0
random_seed_3301_internal,logistic_unweighted,2,0,1396
random_seed_3301_internal,logistic_unweighted,2,1,1
random_seed_3301_internal,logistic_unweighted,2,2,0
random_seed_3301_internal,logistic_weighted,0,0,40371
random_seed_3301_internal,logistic_weighted,0,1,17483
random_seed_3301_internal,logistic_weighted,0,2,17303
random_seed_3301_internal,logistic_weighted,1,0,7996
random_seed_3301_internal,logistic_weighted,1,1,5304
random_seed_3301_internal,logistic_weighted,1,2,6554
random_seed_3301_internal,logistic_weighted,2,0,273
random_seed_3301_internal,logistic_weighted,2,1,247
random_seed_3301_internal,logistic_weighted,2,2,877
random_seed_3301_internal,lightgbm_weighted,0,0,44647
random_seed_3301_internal,lightgbm_weighted,0,1,22396
random_seed_3301_internal,lightgbm_weighted,0,2,8114
random_seed_3301_internal,lightgbm_weighted,1,0,9262
random_seed_3301_internal,lightgbm_weighted,1,1,7197
