split,cohort,start,rows,max_additivity_error
temporal,future,0,1000,6.3948846218409017e-14
temporal,future,1000,1000,6.3948846218409017e-14
temporal,future,2000,1000,7.460698725481052e-14
temporal,future,3000,1000,7.815970093361102e-14
temporal,future,4000,1000,6.4837024638109142e-14
temporal,future,5000,1000,6.2172489379008766e-14
temporal,future,6000,1000,7.638334409421077e-14
temporal,future,7000,1000,7.815970093361102e-14
temporal,future,8000,1000,5.8619775700208265e-14
temporal,future,9000,1000,6.5725203057809267e-14
random_seed_1103,internal,0,1000,5.8619775700208265e-14
random_seed_1103,internal,1000,1000,5.3290705182007514e-14
random_seed_1103,internal,2000,1000,3.9523939676655573e-14
random_seed_1103,internal,3000,1000,5.773159728050814e-14
random_seed_1103,internal,4000,1000,5.0626169922907138e-14
random_seed_1103,internal,5000,1000,8.8817841970012523e-14
random_seed_1103,internal,6000,1000,6.2172489379008766e-14
random_seed_1103,internal,7000,1000,4.6185277824406512e-14
random_seed_1103,internal,8000,1000,6.2172489379008766e-14
random_seed_1103,internal,9000,1000,7.2830630415410269e-14
random_seed_1103,future,0,1000,6.3948846218409017e-14
random_seed_1103,future,1000,1000,5.773159728050814e-14
random_seed_1103,future,2000,1000,5.3290705182007514e-14
random_seed_1103,future,3000,1000,5.8619775700208265e-14
random_seed_1103,future,4000,1000,4.9737991503207013e-14
random_seed_1103,future,5000,1000,5.6843418860808015e-14
random_seed_1103,future,6000,1000,6.0396132539608516e-14
random_seed_1103,future,7000,1000,6.1284310959308641e-14
random_seed_1103,future,8000,1000,6.0396132539608516e-14
random_seed_1103,future,9000,1000,5.4178883601707639e-14
random_seed_2207,internal,0,1000,8.8817841970012523e-14
random_seed_2207,internal,1000,1000,5.5067062021407764e-14
random_seed_2207,internal,2000,1000,5.8619775700208265e-14
random_seed_2207,internal,3000,1000,8.5265128291212022e-14
random_seed_2207,internal,4000,1000,5.1514348342607263e-14
random_seed_2207,internal,5000,1000,5.1514348342607263e-14
random_seed_2207,internal,6000,1000,9.7699626167013776e-14
random_seed_2207,internal,7000,1000,6.5725203057809267e-14
random_seed_2207,internal,8000,1000,6.7501559897209518e-14
random_seed_2207,internal,9000,1000,5.773159728050814e-14
random_seed_2207,future,0,1000,5.6843418860808015e-14
