split,cohort,output_class,feature,mean_signed_shap,positive_fraction,negative_fraction
temporal,future,Slight,feature_day_of_week,0.00030215595898557939,0.57720000000000005,0.42280000000000001
temporal,future,Slight,feature_first_road_class,0.0022047252675273031,0.4874,0.51259999999999994
temporal,future,Slight,feature_road_type,0.0015734832774648587,0.25869999999999999,0.74129999999999996
temporal,future,Slight,feature_junction_detail,0.046771295277602556,0.61809999999999998,0.38190000000000002
temporal,future,Slight,feature_junction_control,-0.0063303721304465823,0.21240000000000001,0.78759999999999997
temporal,future,Slight,feature_second_road_class,0.075902538280004775,0.75270000000000004,0.24729999999999999
temporal,future,Slight,feature_pedestrian_crossing,0.012054689594402451,0.53920000000000001,0.46079999999999999
temporal,future,Slight,feature_light_conditions,-0.0069395835633536277,0.58120000000000005,0.41880000000000001
temporal,future,Slight,feature_weather_conditions,-0.002370335763414303,0.20599999999999999,0.79400000000000004
temporal,future,Slight,feature_road_surface_conditions,0.0053227565905789621,0.48170000000000002,0.51829999999999998
temporal,future,Slight,feature_urban_or_rural_area,-0.013975726713640909,0.6643,0.3357
temporal,future,Slight,feature_trunk_road_flag,-0.0018409990287432038,0.35160000000000002,0.64839999999999998
temporal,future,Slight,feature_speed_limit,0.013893902678597848,0.72199999999999998,0.27800000000000002
temporal,future,Slight,feature_month,0.0058520601292015029,0.52900000000000003,0.47099999999999997
temporal,future,Slight,feature_hour,0.0034996715412170501,0.56859999999999999,0.43140000000000001
temporal,future,Serious,feature_day_of_week,0.00016186344745085089,0.49680000000000002,0.50319999999999998
temporal,future,Serious,feature_first_road_class,0.0027412399590805792,0.48049999999999998,0.51949999999999996
temporal,future,Serious,feature_road_type,0.00053075625573635609,0.61009999999999998,0.38990000000000002
temporal,future,Serious,feature_junction_detail,-0.012373870551460752,0.36130000000000001,0.63870000000000005
temporal,future,Serious,feature_junction_control,0.0079897774006101232,0.5786,0.4214
temporal,future,Serious,feature_second_road_class,-0.010170358146616766,0.49769999999999998,0.50229999999999997
temporal,future,Serious,feature_pedestrian_crossing,0.0012602322688240121,0.46029999999999999,0.53969999999999996
temporal,future,Serious,feature_light_conditions,0.00093827162542926498,0.35649999999999998,0.64349999999999996
temporal,future,Serious,feature_weather_conditions,0.002403740994707978,0.38769999999999999,0.61229999999999996
temporal,future,Serious,feature_road_surface_conditions,-0.003013540127423513,0.2908,0.70920000000000005
temporal,future,Serious,feature_urban_or_rural_area,-0.0028851873125341405,0.36649999999999999,0.63349999999999995
temporal,future,Serious,feature_trunk_road_flag,-0.00033165317652461719,0.23799999999999999,0.76200000000000001
temporal,future,Serious,feature_speed_limit,-0.0068352670447463211,0.62739999999999996,0.37259999999999999
temporal,future,Serious,feature_month,7.3512139911259495e-05,0.53129999999999999,0.46870000000000001
temporal,future,Serious,feature_hour,0.0030618374504994676,0.51380000000000003,0.48620000000000002
temporal,future,Fatal,feature_day_of_week,0.0017807006218919796,0.50239999999999996,0.49759999999999999
temporal,future,Fatal,feature_first_road_class,-0.028176561572166536,0.501,0.499
temporal,future,Fatal,feature_road_type,0.0078536588866035591,0.74690000000000001,0.25309999999999999
temporal,future,Fatal,feature_junction_detail,-0.16596719428423407,0.51639999999999997,0.48359999999999997
temporal,future,Fatal,feature_junction_control,0.046400656163065102,0.84470000000000001,0.15529999999999999
temporal,future,Fatal,feature_second_road_class,-0.098699846798565721,0.49859999999999999,0.50139999999999996
temporal,future,Fatal,feature_pedestrian_crossing,-0.056430909393121009,0.7762,0.2238
temporal,future,Fatal,feature_light_conditions,0.012948256914336542,0.72819999999999996,0.27179999999999999
temporal,future,Fatal,feature_weather_conditions,0.019604335921746849,0.79159999999999997,0.2084
temporal,future,Fatal,feature_road_surface_conditions,-0.030851513660536966,0.53690000000000004,0.46310000000000001
temporal,future,Fatal,feature_urban_or_rural_area,0.0072231066984513445,0.33829999999999999,0.66169999999999995
temporal,future,Fatal,feature_trunk_road_flag,0.03261184444867412,0.89419999999999999,0.10580000000000001
temporal,future,Fatal,feature_speed_limit,-0.10784327257256542,0.3498,0.6502
temporal,future,Fatal,feature_month,-0.0058069679524271221,0.49170000000000003,0.50829999999999997
temporal,future,Fatal,feature_hour,0.0011961829779457223,0.50119999999999998,0.49880000000000002
random_seed_1103,internal,Slight,feature_day_of_week,0.00037542533691125538,0.53439999999999999,0.46560000000000001
random_seed_1103,internal,Slight,feature_first_road_class,0.0020636804275277363,0.45429999999999998,0.54569999999999996
random_seed_1103,internal,Slight,feature_road_type,-0.0049540789799395061,0.25640000000000002,0.74360000000000004
random_seed_1103,internal,Slight,feature_junction_detail,0.00059891695587235003,0.46150000000000002,0.53849999999999998
random_seed_1103,internal,Slight,feature_junction_control,0.0099259423490924061,0.2984,0.7016
random_seed_1103,internal,Slight,feature_second_road_class,-0.020928355923835663,0.53449999999999998,0.46550000000000002
random_seed_1103,internal,Slight,feature_pedestrian_crossing,0.0069245949848083044,0.45639999999999997,0.54359999999999997
random_seed_1103,internal,Slight,feature_light_conditions,-0.0090905931908025726,0.52429999999999999,0.47570000000000001
random_seed_1103,internal,Slight,feature_weather_conditions,-0.0018687906593395909,0.19159999999999999,0.80840000000000001
random_seed_1103,internal,Slight,feature_road_surface_conditions,-0.0033093463371201858,0.2964,0.7036
random_seed_1103,internal,Slight,feature_urban_or_rural_area,-0.0080900983324991103,0.66569999999999996,0.33429999999999999
random_seed_1103,internal,Slight,feature_trunk_road_flag,-0.0057589465481168341,0.28349999999999997,0.71650000000000003
random_seed_1103,internal,Slight,feature_speed_limit,0.0074748753379129144,0.6976,0.3024
random_seed_1103,internal,Slight,feature_month,0.0031148674888013921,0.49530000000000002,0.50470000000000004
random_seed_1103,internal,Slight,feature_hour,0.0079597296665272349,0.57840000000000003,0.42159999999999997
random_seed_1103,internal,Serious,feature_day_of_week,0.00063262520875208381,0.48420000000000002,0.51580000000000004
random_seed_1103,internal,Serious,feature_first_road_class,0.0020794082986143971,0.46879999999999999,0.53120000000000001
random_seed_1103,internal,Serious,feature_road_type,0.00082655089658504135,0.52490000000000003,0.47510000000000002
random_seed_1103,internal,Serious,feature_junction_detail,0.0025089813627324309,0.3725,0.62749999999999995
random_seed_1103,internal,Serious,feature_junction_control,-0.00080398743923946212,0.45679999999999998,0.54320000000000002
random_seed_1103,internal,Serious,feature_second_road_class,0.0043398764468562208,0.61699999999999999,0.38300000000000001
random_seed_1103,internal,Serious,feature_pedestrian_crossing,-0.00038738424116976792,0.42680000000000001,0.57320000000000004
random_seed_1103,internal,Serious,feature_light_conditions,0.0023645575105059415,0.31950000000000001,0.68049999999999999
